Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,ethanol treatment,ribosome-protected,substrain,GEO Accession
SRR1211035,11412800,582052800,51,431,SRX505555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584879,SAMN02713611,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360030,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T0 RNA rep 1,Aerobic culture,K-12,no ethanol exposure,No,MG1655,GSM1360030
SRR1211036,10517967,536416317,51,391,SRX505556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584880,SAMN02713607,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360031,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T0 RNA rep 2,Aerobic culture,K-12,no ethanol exposure,No,MG1655,GSM1360031
SRR1211037,11081856,565174656,51,419,SRX505557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584881,SAMN02713615,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360032,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T1 RNA rep 1,Aerobic culture,K-12,"40 g EtOH/L, 10 min",No,MG1655,GSM1360032
SRR1211038,15604456,795827256,51,581,SRX505558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584882,SAMN02713610,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360033,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T1 RNA rep 2,Aerobic culture,K-12,"40 g EtOH/L, 10 min",No,MG1655,GSM1360033
SRR1211039,15977399,814847349,51,595,SRX505559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584883,SAMN02713619,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360034,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T2 RNA rep 1,Aerobic culture,K-12,"40 g EtOH/L, 70 min",No,MG1655,GSM1360034
SRR1211040,14884894,759129594,51,553,SRX505560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584884,SAMN02713608,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1360035,GEO,SRA150440,06,2014,Haft,Aerobic culture,Wild-type (MG1655) T2 RNA rep 2,Aerobic culture,K-12,"40 g EtOH/L, 70 min",No,MG1655,GSM1360035
SRR1211041,17852007,910452357,51,669,SRX505561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584885,SAMN02713609,simple,562,Escherichia coli,GSM1360036,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T0 RNA rep 1,Aerobic culture,EP61,no ethanol exposure,No,,GSM1360036
SRR1211042,15032966,766681266,51,559,SRX505562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584886,SAMN02713618,simple,562,Escherichia coli,GSM1360037,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T0 RNA rep 2,Aerobic culture,EP61,no ethanol exposure,No,,GSM1360037
SRR1211043,16695952,851493552,51,623,SRX505563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584887,SAMN02713614,simple,562,Escherichia coli,GSM1360038,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T1 RNA rep 1,Aerobic culture,EP61,"40 g EtOH/L, 10 min",No,,GSM1360038
SRR1211044,14712844,750355044,51,549,SRX505564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040770,PRJNA243254,24927582,"",SRS584888,SAMN02713612,simple,562,Escherichia coli,GSM1360039,GEO,SRA150440,06,2014,Haft,Aerobic culture,Mutant (EP61) T1 RNA rep 2,Aerobic culture,EP61,"40 g EtOH/L, 10 min",No,,GSM1360039
