Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,growth,molecule,strain
SRR014368,4485329,161471844,36,119,SRX003184,Footprints-starved-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002321,SAMN00002139,simple,4932,Saccharomyces cerevisiae,Footprints-starved-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014369,4588611,165189996,36,119,SRX003184,Footprints-starved-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002321,SAMN00002139,simple,4932,Saccharomyces cerevisiae,Footprints-starved-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014370,4323096,155631456,36,114,SRX003185,Footprints-starved-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002322,SAMN00002140,simple,4932,Saccharomyces cerevisiae,Footprints-starved-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014371,4223635,152050860,36,119,SRX003185,Footprints-starved-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002322,SAMN00002140,simple,4932,Saccharomyces cerevisiae,Footprints-starved-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014372,5222229,182778015,35,159,SRX003185,Footprints-starved-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002322,SAMN00002140,simple,4932,Saccharomyces cerevisiae,Footprints-starved-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014373,5072716,177545060,35,155,SRX003185,Footprints-starved-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002322,SAMN00002140,simple,4932,Saccharomyces cerevisiae,Footprints-starved-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014374,4601558,165656088,36,122,SRX003186,Footprints-rich-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002323,SAMN00002141,simple,4932,Saccharomyces cerevisiae,Footprints-rich-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014375,4737798,170560728,36,123,SRX003186,Footprints-rich-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002323,SAMN00002141,simple,4932,Saccharomyces cerevisiae,Footprints-rich-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014376,4221683,151980588,36,115,SRX003186,Footprints-rich-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002323,SAMN00002141,simple,4932,Saccharomyces cerevisiae,Footprints-rich-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014377,4237384,152545824,36,112,SRX003187,Footprints-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002324,SAMN00002142,simple,4932,Saccharomyces cerevisiae,Footprints-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014378,4211315,151607340,36,111,SRX003187,Footprints-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002324,SAMN00002142,simple,4932,Saccharomyces cerevisiae,Footprints-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014379,4758893,166561255,35,145,SRX003187,Footprints-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002324,SAMN00002142,simple,4932,Saccharomyces cerevisiae,Footprints-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014380,5322596,186290860,35,163,SRX003187,Footprints-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002324,SAMN00002142,simple,4932,Saccharomyces cerevisiae,Footprints-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014381,5468170,191385950,35,166,SRX003187,Footprints-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002324,SAMN00002142,simple,4932,Saccharomyces cerevisiae,Footprints-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014382,4135727,148886172,36,107,SRX003188,mRNA-starved-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002325,SAMN00002143,simple,4932,Saccharomyces cerevisiae,mRNA-starved-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014383,4915502,176958072,36,114,SRX003189,mRNA-starved-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002326,SAMN00002144,simple,4932,Saccharomyces cerevisiae,mRNA-starved-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014384,5743864,201035240,35,166,SRX003189,mRNA-starved-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002326,SAMN00002144,simple,4932,Saccharomyces cerevisiae,mRNA-starved-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014385,4700324,169211664,36,118,SRX003190,mRNA-rich-1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002327,SAMN00002145,simple,4932,Saccharomyces cerevisiae,mRNA-rich-1,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014386,4912441,176847876,36,112,SRX003191,mRNA-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002328,SAMN00002146,simple,4932,Saccharomyces cerevisiae,mRNA-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR014387,1762132,63436752,36,55,SRX003191,mRNA-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002328,SAMN00002146,simple,4932,Saccharomyces cerevisiae,mRNA-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,log-phase,polysomal RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
SRR028774,6343497,222022395,35,180,SRX003191,mRNA-rich-2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000637,PRJNA109405,19213877,"",SRS002328,SAMN00002146,simple,4932,Saccharomyces cerevisiae,mRNA-rich-2,GEO,SRA008252,10,2009,Ingolia,"",Generic sample from Saccharomyces cerevisiae,acute amino acid starvation,polyA RNA,BY4741 (leu2D0 ura3D0 met15D0 his3D1)
