Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell_line,cell_type,time_point,tissue source,disease,disease_stage,ethinicity,GEO Accession
SRR10533435,32389425,9781606350,151,3568,SRX7217402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720050,SAMN13387541,simple,9606,Homo sapiens,GSM4192408,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T0,U251_RNAseq_T0_replicate_1 [U251_L1_T0_S13],U251_RNAseq_T0,U251,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192408
SRR10533436,37343768,11277817936,151,4099,SRX7217403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720051,SAMN13387540,simple,9606,Homo sapiens,GSM4192409,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T1,U251_RNAseq_T1_replicate_1 [U251_L1_T1_S14],U251_RNAseq_T1,U251,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192409
SRR10533437,34386373,10384684646,151,3805,SRX7217404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720052,SAMN13387539,simple,9606,Homo sapiens,GSM4192410,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T24,U251_RNAseq_T24_replicate_1 [U251_L1_T24_S15],U251_RNAseq_T24,U251,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192410
SRR10533438,33473173,10108898246,151,3764,SRX7217405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720053,SAMN13387538,simple,9606,Homo sapiens,GSM4192411,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T0,U251_RNAseq_T0_replicate_2 [U251_L2_T0_b_S16],U251_RNAseq_T0,U251,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192411
SRR10533439,40602544,12261968288,151,4483,SRX7217406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720054,SAMN13387537,simple,9606,Homo sapiens,GSM4192412,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T1,U251_RNAseq_T1_replicate_2 [U251_L2_T1_S17],U251_RNAseq_T1,U251,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192412
SRR10533440,35456891,10707981082,151,4023,SRX7217407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720055,SAMN13387536,simple,9606,Homo sapiens,GSM4192413,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T24,U251_RNAseq_T24_replicate_2 [U251_L2_T24_S18],U251_RNAseq_T24,U251,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192413
SRR10533441,37526411,11332976122,151,4159,SRX7217408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720056,SAMN13387534,simple,9606,Homo sapiens,GSM4192414,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T1,U251_RNAseq_T1_replicate_3 [U251_L3_T1_a_S20],U251_RNAseq_T1,U251,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192414
SRR10533442,32712404,9879146008,151,3627,SRX7217409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720057,SAMN13387533,simple,9606,Homo sapiens,GSM4192415,GEO,SRA1003111,11,2019,Choudhary,U251_RNAseq_T24,U251_RNAseq_T24_replicate_3 [U251_L3_T24_S21],U251_RNAseq_T24,U251,glioblastoma cell line,T24,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192415
SRR10533443,33253896,10042676592,151,3670,SRX7217410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720058,SAMN13387532,simple,9606,Homo sapiens,GSM4192416,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T0,U343_RNAseq_T0_replicate_1 [U343_L1_T0_S22],U343_RNAseq_T0,U343,glioblastoma cell line,T0,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192416
SRR10533445,43323179,13083600058,151,4764,SRX7217411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP233276,PRJNA591767,32488114,"",SRS5720059,SAMN13387531,simple,9606,Homo sapiens,GSM4192417,GEO,SRA1003111,11,2019,Choudhary,U343_RNAseq_T1,U343_RNAseq_T1_replicate_1 [U343_L1_T1_S23],U343_RNAseq_T1,U343,glioblastoma cell line,T1,brain/CNS,"Glioblastoma,ud",Grade IV,caucasian,GSM4192417
