Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,tissue,genotype,development stage,genetic background,GEO Accession
SRR392966,2749964,197997408,72,122,SRX113340,GSM854422: Input mRNA-Seq MZdicer 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284284,SAMN00769028,simple,7955,Danio rerio,GSM854422,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 2hpf,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,2hpf,TUAB,GSM854422
SRR392967,11406706,821282832,72,497,SRX113340,GSM854422: Input mRNA-Seq MZdicer 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284284,SAMN00769028,simple,7955,Danio rerio,GSM854422,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 2hpf,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,4hpf,TUAB,GSM854423
SRR392968,5755843,414420696,72,254,SRX113341,GSM854423: Input mRNA-Seq MZdicer 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284285,SAMN00769029,simple,7955,Danio rerio,GSM854423,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 4hpf,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,4hpf,TUAB,GSM854424
SRR392969,10399486,748762992,72,486,SRX113341,GSM854423: Input mRNA-Seq MZdicer 4hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284285,SAMN00769029,simple,7955,Danio rerio,GSM854423,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 4hpf,"Whole embryo, MZdicer",input mRNA,whole embryo,MZdicer mutant,6hpf,TUAB,GSM854425
SRR392970,2631917,189498024,72,118,SRX113342,GSM854424: Input mRNA-Seq MZdicer 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284286,SAMN00769030,simple,7955,Danio rerio,GSM854424,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 4hpf-2,"Whole embryo, wild type",input mRNA,whole embryo,wild type,2hpf,TUAB,GSM854426
SRR392971,8105299,583581528,,360,SRX113342,GSM854424: Input mRNA-Seq MZdicer 4hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284286,SAMN00769030,simple,7955,Danio rerio,GSM854424,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 4hpf-2,"Whole embryo, wild type",input mRNA,whole embryo,wild type,2hpf,TUAB,GSM854427
SRR392972,2894714,208419408,72,134,SRX113343,GSM854425: Input mRNA-Seq MZdicer 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284287,SAMN00769031,simple,7955,Danio rerio,GSM854425,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 6hpf,"Whole embryo, wild type",input mRNA,whole embryo,wild type,4hpf,TUAB,GSM854428
SRR392973,14621240,1052729280,72,651,SRX113343,GSM854425: Input mRNA-Seq MZdicer 6hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284287,SAMN00769031,simple,7955,Danio rerio,GSM854425,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, MZdicer",Input mRNA-Seq MZdicer 6hpf,"Whole embryo, wild type",input mRNA,whole embryo,wild type,4hpf,TUAB,GSM854429
SRR392974,4376731,315124632,72,197,SRX113344,GSM854426: Input mRNA-Seq Wild type 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284288,SAMN00769032,simple,7955,Danio rerio,GSM854426,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 2hpf,"Whole embryo, wild type",input mRNA,whole embryo,wild type,6hpf,TUAB,GSM854430
SRR392975,18981709,1366683048,72,857,SRX113344,GSM854426: Input mRNA-Seq Wild type 2hpf,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284288,SAMN00769032,simple,7955,Danio rerio,GSM854426,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 2hpf,"Whole embryo, wild type",input mRNA,whole embryo,wild type,6hpf,TUAB,GSM854431
SRR392976,5486456,395024832,72,246,SRX113345,GSM854427: Input mRNA-Seq Wild type 2hpf-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010040,PRJNA150397,22422859,"",SRS284289,SAMN00769033,simple,7955,Danio rerio,GSM854427,GEO,SRA048903,03,2012,Bazzini,"Whole embryo, wild type",Input mRNA-Seq Wild type 2hpf-2,"Whole embryo, MZdicer",ribosome protected fragments,whole embryo,MZdicer mutant,2hpf,,GSM854432
