Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype/variation,GEO Accession
SRR12993020,7618246,220802312,28,161,SRX9444520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658444,SAMN16676326,simple,10090,Mus musculus,GSM4886534,GEO,SRA1154694,01,2021,Makar,gastrocnemius,Ribosome profiling Rep1,gastrocnemius,C57BL/6,9 week old,WT,GSM4886534
SRR12993021,9321836,267093588,28,197,SRX9444521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658446,SAMN16676325,simple,10090,Mus musculus,GSM4886535,GEO,SRA1154694,01,2021,Makar,gastrocnemius,Ribosome profiling Rep2,gastrocnemius,C57BL/6,9 week old,WT,GSM4886535
SRR12993022,9946729,285132017,28,208,SRX9444522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658447,SAMN16676324,simple,10090,Mus musculus,GSM4886536,GEO,SRA1154694,01,2021,Makar,gastrocnemius,Ribosome profiling Rep3,gastrocnemius,C57BL/6,9 week old,WT,GSM4886536
SRR12993023,41615368,1461790441,35,1020,SRX9444523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658445,SAMN16676323,simple,10090,Mus musculus,GSM4886537,GEO,SRA1154694,01,2021,Makar,gastrocnemius,mRNA-seq Rep1,gastrocnemius,C57BL/6,9 week old,WT,GSM4886537
SRR12993024,54797968,1930564513,35,1379,SRX9444524,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658448,SAMN16676322,simple,10090,Mus musculus,GSM4886538,GEO,SRA1154694,01,2021,Makar,gastrocnemius,mRNA-seq Rep2,gastrocnemius,C57BL/6,9 week old,WT,GSM4886538
SRR12993025,50638366,1644154361,32,892,SRX9444525,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658449,SAMN16676321,simple,10090,Mus musculus,GSM4886539,GEO,SRA1154694,01,2021,Makar,gastrocnemius,mRNA-seq Rep3,gastrocnemius,C57BL/6,9 week old,WT,GSM4886539
SRR12993026,7947156,226608279,28,117,SRX9444526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658450,SAMN16676320,simple,9606,Homo sapiens,GSM4886540,GEO,SRA1154694,01,2021,Makar,293T,NTC Ribosome profiling Rep1,293T,,,WT,GSM4886540
SRR12993027,4792155,141229155,29,72,SRX9444527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658451,SAMN16676319,simple,9606,Homo sapiens,GSM4886541,GEO,SRA1154694,01,2021,Makar,293T,NTC Ribosome profiling Rep2,293T,,,WT,GSM4886541
SRR12993028,7268938,215751238,29,110,SRX9444528,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658452,SAMN16676318,simple,9606,Homo sapiens,GSM4886542,GEO,SRA1154694,01,2021,Makar,293T,sgDROSHA Ribosome profiling Rep1,293T,,,DROSHA KO,GSM4886542
SRR12993029,8279734,244512733,29,125,SRX9444529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658454,SAMN16676459,simple,9606,Homo sapiens,GSM4886543,GEO,SRA1154694,01,2021,Makar,293T,sgDROSHA Ribosome profiling Rep2,293T,,,DROSHA KO,GSM4886543
SRR12993030,8137916,341753200,42,164,SRX9444530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658453,SAMN16676458,simple,9606,Homo sapiens,GSM4886544,GEO,SRA1154694,01,2021,Makar,293T,NTC mRNA-seq Rep1,293T,,,WT,GSM4886544
SRR12993031,6362547,265888204,41,127,SRX9444531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658455,SAMN16676457,simple,9606,Homo sapiens,GSM4886545,GEO,SRA1154694,01,2021,Makar,293T,NTC mRNA-seq Rep2,293T,,,WT,GSM4886545
SRR12993032,6600520,277510310,42,132,SRX9444532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658456,SAMN16676456,simple,9606,Homo sapiens,GSM4886546,GEO,SRA1154694,01,2021,Makar,293T,sgDROSHA mRNA-seq Rep1,293T,,,DROSHA KO,GSM4886546
SRR12993033,5856466,242491333,41,117,SRX9444533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291315,PRJNA674837,1,"",SRS7658458,SAMN16676455,simple,9606,Homo sapiens,GSM4886547,GEO,SRA1154694,01,2021,Makar,293T,sgDROSHA mRNA-seq Rep2,293T,,,DROSHA KO,GSM4886547
