Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,media,molecule subtype,substrain,plasmid,GEO Accession
SRR1425199,24051215,728027202,30,533,SRX610790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS641791,SAMN02866374,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1415867,GEO,SRA171605,07,2014,Guo,mRNA-seq in rich defined media,mRNA-seq Vector t0,mRNA-seq in rich defined media,K-12,fully supplemented MOPS glucose media,mRNA,MG1655,,GSM1415867
SRR1425200,30674892,837640649,27,628,SRX610791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS641790,SAMN02866372,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1415868,GEO,SRA171605,07,2014,Guo,mRNA-seq in rich defined media,mRNA-seq Vector t20,mRNA-seq in rich defined media,K-12,fully supplemented MOPS glucose media,mRNA,MG1655,,GSM1415868
SRR1425201,21188230,666811666,31,512,SRX610792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS641792,SAMN02866370,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1415869,GEO,SRA171605,07,2014,Guo,mRNA-seq in rich defined media,mRNA-seq MicL t0,mRNA-seq in rich defined media,K-12,fully supplemented MOPS glucose media,mRNA,MG1655,,GSM1415869
SRR1425202,34484324,1111103636,32,846,SRX610793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS641793,SAMN02866375,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1415870,GEO,SRA171605,07,2014,Guo,mRNA-seq in rich defined media,mRNA-seq MicL t20,mRNA-seq in rich defined media,K-12,fully supplemented MOPS glucose media,mRNA,MG1655,,GSM1415870
SRR1425203,18782455,595176034,31,454,SRX610794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS641794,SAMN02866373,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1415871,GEO,SRA171605,07,2014,Guo,ribosome profiling in rich defined media,ribosome profiling MicL t0,ribosome profiling in rich defined media,K-12,fully supplemented MOPS glucose media,ribosome protected mRNA,MG1655,,GSM1415871
SRR1425204,28587329,869137845,30,664,SRX610795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS641795,SAMN02866371,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1415872,GEO,SRA171605,07,2014,Guo,ribosome profiling in rich defined media,ribosome profiling MicL t20,ribosome profiling in rich defined media,K-12,fully supplemented MOPS glucose media,ribosome protected mRNA,MG1655,,GSM1415872
SRR1509171,23496974,714637123,30,525,SRX648118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655381,SAMN02905013,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430425,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq WT t4,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,empty vector,GSM1430425
SRR1509172,23593477,695613752,29,514,SRX648119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655382,SAMN02905014,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430426,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq WT t10,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,empty vector,GSM1430426
SRR1509173,40224257,1178587807,29,914,SRX648120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655383,SAMN02905015,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430427,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq MicL-S t0,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,pMicL-S,GSM1430427
SRR1509174,30225465,840764871,27,628,SRX648121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655384,SAMN02905016,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430428,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq MicL-S t4,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,pMicL-S,GSM1430428
SRR1509175,23973669,711363958,29,523,SRX648122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655386,SAMN02905017,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430429,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq MicL-S t10,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,pMicL-S,GSM1430429
SRR1509176,32555115,1000369141,30,770,SRX648123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655385,SAMN02905018,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430430,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq MicL-S t20,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,pMicL-S,GSM1430430
SRR1509177,23523840,727502089,30,561,SRX648124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655388,SAMN02905019,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430431,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq MicL t4,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,pMicL,GSM1430431
SRR1509178,34222484,1065538751,31,815,SRX648125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043387,PRJNA253056,25030700,"",SRS655387,SAMN02905020,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1430432,GEO,SRA171605,07,2014,Guo,bacteria,mRNA-seq MicL t10,bacteria,K-12,fully supplemented MOPS glucose media,,MG1655,pMicL,GSM1430432
