Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,experiment type,genotype,timepoint after treatment,treatment,GEO Accession
SRR1758372,39298817,2004239667,51,1306,SRX842622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818796,SAMN03284301,simple,9606,Homo sapiens,GSM1585204,GEO,SRA231648,01,2016,Xu,Human fibroblast,1_wt d-leucine rep1 total RNA,Human fibroblast,RNA-seq,wt,24 hours,d-leucine,GSM1585204
SRR1758373,38914059,1984617009,51,1304,SRX842623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818797,SAMN03284304,simple,9606,Homo sapiens,GSM1585205,GEO,SRA231648,01,2016,Xu,Human fibroblast,2_wt l-leucine rep1 total RNA,Human fibroblast,RNA-seq,wt,24 hours,l-leucine,GSM1585205
SRR1758374,41867732,2135254332,51,1392,SRX842624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818798,SAMN03284290,simple,9606,Homo sapiens,GSM1585206,GEO,SRA231648,01,2016,Xu,Human fibroblast,5_corr d-leucine rep1 total RNA,Human fibroblast,RNA-seq,corrected,24 hours,d-leucine,GSM1585206
SRR1758375,48175326,2456941626,51,1605,SRX842625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818799,SAMN03284298,simple,9606,Homo sapiens,GSM1585207,GEO,SRA231648,01,2016,Xu,Human fibroblast,6_corr l-leucine rep1 total RNA,Human fibroblast,RNA-seq,corrected,24 hours,l-leucine,GSM1585207
SRR1758376,34216329,1745032779,51,1143,SRX842626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818800,SAMN03284305,simple,9606,Homo sapiens,GSM1585208,GEO,SRA231648,01,2016,Xu,Human fibroblast,9_mut d-leucine rep1 total RNA,Human fibroblast,RNA-seq,esco2 mutant,24 hours,d-leucine,GSM1585208
SRR1758377,33388257,1702801107,51,1116,SRX842627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818801,SAMN03284308,simple,9606,Homo sapiens,GSM1585209,GEO,SRA231648,01,2016,Xu,Human fibroblast,10_mut l-leucine rep1 total RNA,Human fibroblast,RNA-seq,esco2 mutant,24 hours,l-leucine,GSM1585209
SRR1758378,42264580,2155493580,51,1416,SRX842628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818802,SAMN03284312,simple,9606,Homo sapiens,GSM1585210,GEO,SRA231648,01,2016,Xu,Human fibroblast,1_wt d-leucine rep1 RPF,Human fibroblast,Ribosomal profiling,wt,24 hours,d-leucine,GSM1585210
SRR1758379,37584656,1916817456,51,1263,SRX842629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818803,SAMN03284297,simple,9606,Homo sapiens,GSM1585211,GEO,SRA231648,01,2016,Xu,Human fibroblast,2_wt l-leucine rep1 RPF,Human fibroblast,Ribosomal profiling,wt,24 hours,l-leucine,GSM1585211
SRR1758380,40212200,2050822200,51,1353,SRX842630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818804,SAMN03284299,simple,9606,Homo sapiens,GSM1585212,GEO,SRA231648,01,2016,Xu,Human fibroblast,5_corr d-leucine rep1 RPF,Human fibroblast,Ribosomal profiling,corrected,24 hours,d-leucine,GSM1585212
SRR1758381,37334118,1904040018,51,1249,SRX842631,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP052229,PRJNA272597,26729373,"",SRS818805,SAMN03284310,simple,9606,Homo sapiens,GSM1585213,GEO,SRA231648,01,2016,Xu,Human fibroblast,6_corr l-leucine rep1 RPF,Human fibroblast,Ribosomal profiling,corrected,24 hours,l-leucine,GSM1585213
