Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,batch,molecule subtype
SRR16220070,5278623,394683691,74,140,SRX12501921,GSM5615628,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463507,SAMN22091622,simple,4932,Saccharomyces cerevisiae,GSM5615628,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_wt_3_b3_s1,yeast cell,wt,3,Total RNA
SRR16220069,7081275,529456596,74,188,SRX12501923,GSM5615629,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463510,SAMN22091621,simple,4932,Saccharomyces cerevisiae,GSM5615629,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_wt_4_b4_s1,yeast cell,wt,4,Total RNA
SRR16220068,6480062,484537486,74,172,SRX12501925,GSM5615630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463512,SAMN22091620,simple,4932,Saccharomyces cerevisiae,GSM5615630,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_tma46_1_b1_s1,yeast cell,tma46-delta,1,Total RNA
SRR16220067,7653116,572177432,74,204,SRX12501927,GSM5615631,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463515,SAMN22091619,simple,4932,Saccharomyces cerevisiae,GSM5615631,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_tma46_2_b2_s1,yeast cell,tma46-delta,2,Total RNA
SRR16220066,8335479,623263806,74,221,SRX12501929,GSM5615632,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463516,SAMN22091618,simple,4932,Saccharomyces cerevisiae,GSM5615632,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_tma46_3_b3_s1,yeast cell,tma46-delta,3,Total RNA
SRR16220064,6279987,469600170,74,166,SRX12501931,GSM5615633,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463518,SAMN22091617,simple,4932,Saccharomyces cerevisiae,GSM5615633,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_tma46_4_b5_s1,yeast cell,tma46-delta,5,Total RNA
SRR16220062,6781805,507136847,74,180,SRX12501933,GSM5615634,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463520,SAMN22091616,simple,4932,Saccharomyces cerevisiae,GSM5615634,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_eif2a_1_b3_s1,yeast cell,eif2a-delta,3,Total RNA
SRR16220060,5637497,421541292,74,150,SRX12501935,GSM5615635,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463522,SAMN22091615,simple,4932,Saccharomyces cerevisiae,GSM5615635,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_eif2a_2_b4_s1,yeast cell,eif2a-delta,4,Total RNA
SRR16220058,5823229,435408732,74,154,SRX12501937,GSM5615636,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463523,SAMN22091614,simple,4932,Saccharomyces cerevisiae,GSM5615636,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_eif2a_3_b5_s1,yeast cell,eif2a-delta,5,Total RNA
SRR16220056,5918120,442508065,74,157,SRX12501939,GSM5615637,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP340281,PRJNA769126,34900236,"",SRS10463526,SAMN22091613,simple,4932,Saccharomyces cerevisiae,GSM5615637,Lomonosov Moscow State University,SRA1307061,10,2021,Egorov,yeast cell,rna_eif2a_4_b6_s1,yeast cell,eif2a-delta,6,Total RNA
