Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR7776744,188958,270194659,1429,235,ERX7344791,CBF5GAL,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069585,SAMEA10417800,simple,4932,Saccharomyces cerevisiae,SAMEA10417800,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20190610_R941_CBF5GAL,2021-12-04,2021-12-04,SAMEA10417800,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20190610_R941_CBF5GAL,baker's yeast,20190610_R941_CBF5GAL
ERR7776745,899114,1058187932,1176,931,ERX7344792,CBF5GLU,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069586,SAMEA10417801,simple,4932,Saccharomyces cerevisiae,SAMEA10417801,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20190611_R941_CBF5GLU,2021-12-04,2021-12-04,SAMEA10417801,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20190611_R941_CBF5GLU,baker's yeast,20190611_R941_CBF5GLU
ERR7776746,951265,1135426375,1193,1000,ERX7344793,NOP58GAL,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069587,SAMEA10417802,simple,4932,Saccharomyces cerevisiae,SAMEA10417802,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20190617_R941_NOP58GAL,2021-12-04,2021-12-04,SAMEA10417802,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20190617_R941_NOP58GAL,baker's yeast,20190617_R941_NOP58GAL
ERR7776747,830503,1010896909,1217,887,ERX7344794,NOP58GLU,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069588,SAMEA10417803,simple,4932,Saccharomyces cerevisiae,SAMEA10417803,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20190619_R941_NOP58GLU,2021-12-04,2021-12-04,SAMEA10417803,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20190619_R941_NOP58GLU,baker's yeast,20190619_R941_NOP58GLU
ERR7776748,430437,662043970,1538,575,ERX7344795,IVT,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069589,SAMEA10417804,simple,4932,Saccharomyces cerevisiae,SAMEA10417804,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20191014_R941_IVT,2021-12-04,2021-12-04,SAMEA10417804,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20191014_R941_IVT,baker's yeast,20191014_R941_IVT
ERR7776749,1506,2660461,1766,2,ERX7344796,mutant448,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069590,SAMEA10417805,simple,4932,Saccharomyces cerevisiae,SAMEA10417805,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20210405_R941_mutant448,2021-12-04,2021-12-04,SAMEA10417805,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20210405_R941_mutant448,baker's yeast,20210405_R941_mutant448
ERR7776750,9394,17007639,1810,14,ERX7344797,WT_YPD,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069591,SAMEA10417806,simple,4932,Saccharomyces cerevisiae,SAMEA10417806,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20210410_R941_WT_YPD,2021-12-04,2021-12-04,SAMEA10417806,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20210410_R941_WT_YPD,baker's yeast,20210410_R941_WT_YPD
ERR7776751,11202,19754202,1763,17,ERX7344798,WT_KOAC,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069592,SAMEA10417807,simple,4932,Saccharomyces cerevisiae,SAMEA10417807,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20210412_R941_WT_KOAC,2021-12-04,2021-12-04,SAMEA10417807,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20210412_R941_WT_KOAC,baker's yeast,20210412_R941_WT_KOAC
ERR7776752,7005,12776031,1823,11,ERX7344799,mutant452,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069593,SAMEA10417808,simple,4932,Saccharomyces cerevisiae,SAMEA10417808,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20210413_R941_mutant452,2021-12-04,2021-12-04,SAMEA10417808,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20210413_R941_mutant452,baker's yeast,20210413_R941_mutant452
ERR7776753,4558,8640119,1895,7,ERX7344800,WT_CY,ncRNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,ERP132517,PRJEB48183,1,"",ERS8069594,SAMEA10417809,simple,4932,Saccharomyces cerevisiae,SAMEA10417809,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ",ERA8013608,12,2021,Makar,"",20210414_R941_WT_CY,2021-12-04,2021-12-04,SAMEA10417809,"UNIVERISTY OF CALIFORNIA, SANTA CRUZ","UNIVERISTY OF CALIFORNIA, SANTA CRUZ",2021-12-04T04:13:23Z,2021-12-04T04:13:23Z,public,20210414_R941_WT_CY,baker's yeast,20210414_R941_WT_CY
