Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,overexpression,rna isolation,library preparation,genotype,GEO Accession
SRR13780863,22805409,2873481534,126,1648,SRX10166359,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316975,SAMN18053596,simple,3702,Arabidopsis thaliana,GSM5106022,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.EVD.Col-0 RIBO-seq,inflorescence,inflorescence,EVD,TRIzol,Lexogen small RNA kit,,GSM5106022
SRR13780864,34987489,4408423614,126,2538,SRX10166360,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316976,SAMN18053595,simple,3702,Arabidopsis thaliana,GSM5106023,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.EVD.rdr6 RIBO-seq,inflorescence,inflorescence,EVD,TRIzol,Lexogen small RNA kit,,GSM5106023
SRR13780865,71754751,9041098626,126,3618,SRX10166361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316977,SAMN18053594,simple,3702,Arabidopsis thaliana,GSM5106024,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.GFP-EVD-GUS.Col-0 RIBO-seq,inflorescence,inflorescence,GFP-EVD-GUS,TRIzol,Lexogen small RNA kit,,GSM5106024
SRR13780866,94965691,11965677066,126,4777,SRX10166362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316978,SAMN18053593,simple,3702,Arabidopsis thaliana,GSM5106025,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.GFP-EVD-GUS.rdr6 RIBO-seq,inflorescence,inflorescence,GFP-EVD-GUS,TRIzol,Lexogen small RNA kit,,GSM5106025
SRR13780867,44770215,5641047090,126,2235,SRX10166363,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316979,SAMN18053592,simple,3702,Arabidopsis thaliana,GSM5106026,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.EVD.Col-0 sRNA-seq,inflorescence,inflorescence,EVD,TRIzol,Lexogen small RNA kit,,GSM5106026
SRR13780868,46879013,5906755638,126,2341,SRX10166364,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316980,SAMN18053591,simple,3702,Arabidopsis thaliana,GSM5106027,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.EVD.rdr6 sRNA-seq,inflorescence,inflorescence,EVD,TRIzol,Lexogen small RNA kit,,GSM5106027
SRR13780869,54910938,6918778188,126,2719,SRX10166365,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316982,SAMN18053590,simple,3702,Arabidopsis thaliana,GSM5106028,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.GFP-EVD-GUS.Col-0 sRNA-seq,inflorescence,inflorescence,GFP-EVD-GUS,TRIzol,Lexogen small RNA kit,,GSM5106028
SRR13780870,50090401,6311390526,126,2521,SRX10166366,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8316981,SAMN18053589,simple,3702,Arabidopsis thaliana,GSM5106029,GEO,SRA1199948,08,2021,Oberlin,inflorescence,35S.GFP-EVD-GUS.rdr6 sRNA-seq,inflorescence,inflorescence,GFP-EVD-GUS,TRIzol,Lexogen small RNA kit,,GSM5106029
SRR14084288,8042759,804275900,50,272,SRX10458489,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8589441,SAMN18510985,simple,3702,Arabidopsis thaliana,GSM5213534,GEO,SRA1199948,08,2021,Oberlin,inflorescence,col0_total_SMARTseq_1,inflorescence,inflorescence,,TRIzol,SMART-seq2,wildtype (col0),GSM5213534
SRR14084289,16651011,1665101100,50,568,SRX10458490,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP308027,PRJNA704712,34931432,"",SRS8589442,SAMN18511126,simple,3702,Arabidopsis thaliana,GSM5213535,GEO,SRA1199948,08,2021,Oberlin,inflorescence,col0_total_SMARTseq_2,inflorescence,inflorescence,,TRIzol,SMART-seq2,wildtype (col0),GSM5213535
