Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,transfection,GEO Accession
SRR1806643,11337017,2290077434,101,1551,SRX879548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846949,SAMN03352107,simple,9606,Homo sapiens,GSM1612420,GEO,SRA243105,12,2015,Lin,HEK293,EV.01,HEK293,HEK293,Control (empty vector),GSM1612420
SRR1806644,29326961,4692313760,101,3182,SRX879548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846949,SAMN03352107,simple,9606,Homo sapiens,GSM1612420,GEO,SRA243105,12,2015,Lin,HEK293,EV.01,HEK293,HEK293,Control (empty vector),GSM1612421
SRR1806645,10374129,2095574058,101,1419,SRX879549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846947,SAMN03352108,simple,9606,Homo sapiens,GSM1612421,GEO,SRA243105,12,2015,Lin,HEK293,EV.02,HEK293,HEK293,Control (empty vector),GSM1612422
SRR1806646,31099514,4975922240,101,3375,SRX879549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846947,SAMN03352108,simple,9606,Homo sapiens,GSM1612421,GEO,SRA243105,12,2015,Lin,HEK293,EV.02,HEK293,HEK293,ADARB1 long isoform,GSM1612423
SRR1806647,11992285,2422441570,101,1647,SRX879550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846948,SAMN03352113,simple,9606,Homo sapiens,GSM1612422,GEO,SRA243105,12,2015,Lin,HEK293,EV.03,HEK293,HEK293,ADARB1 long isoform,GSM1612424
SRR1806648,34617428,5538788480,101,3771,SRX879550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846948,SAMN03352113,simple,9606,Homo sapiens,GSM1612422,GEO,SRA243105,12,2015,Lin,HEK293,EV.03,HEK293,HEK293,ADARB1 long isoform,GSM1612425
SRR1806649,10770586,2175658372,101,1474,SRX879551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846946,SAMN03352105,simple,9606,Homo sapiens,GSM1612423,GEO,SRA243105,12,2015,Lin,HEK293,ADARB1.Long.01,HEK293,HEK293,ADARB1 short isoform,GSM1612426
SRR1806650,29820980,4771356800,101,3240,SRX879551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846946,SAMN03352105,simple,9606,Homo sapiens,GSM1612423,GEO,SRA243105,12,2015,Lin,HEK293,ADARB1.Long.01,HEK293,HEK293,ADARB1 short isoform,GSM1612427
SRR1806651,10695618,2160514836,101,1466,SRX879552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846945,SAMN03352109,simple,9606,Homo sapiens,GSM1612424,GEO,SRA243105,12,2015,Lin,HEK293,ADARB1.Long.02,HEK293,HEK293,ADARB1 short isoform,GSM1612428
SRR1806652,29355107,4696817120,101,3186,SRX879552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846945,SAMN03352109,simple,9606,Homo sapiens,GSM1612424,GEO,SRA243105,12,2015,Lin,HEK293,ADARB1.Long.02,HEK293,HEK293,Control (empty vector),GSM1612420
SRR1806653,12551847,2535473094,101,1716,SRX879553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055105,PRJNA275667,26821878,"",SRS846944,SAMN03352110,simple,9606,Homo sapiens,GSM1612425,GEO,SRA243105,12,2015,Lin,HEK293,ADARB1.Long.03,HEK293,HEK293,Control (empty vector),GSM1612421
