Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,sample_type,biomaterial_provider,temp,cell_lysate_batch,nuclease_digestion,cushion_gradient,rna_size_selection,library_method,UMI,cdna_size_selection,replicate,knock_down,BioSampleModel
SRR23242266,110954211,11206375311,101,3363,SRX19188599,McGlincy,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599351,SAMN32928056,simple,4932,Saccharomyces cerevisiae,McGlincy,University of California at Berkeley,SRA1580467,03,2023,Makar,"",Ligation based ribosome profiling from a pool of yeast RNase I digested RPFs (technical replicate 1 with linker CGTAA and 2 with linker GCATA),S288c MATa his3(delta)1 leu2(delta)0 met15(delta)0 ura3(delta)0,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 1,RNase I,sucrose cushion,"denaturing gel, 25 to 34 nt",ligation-based,"yes, not used",80 nt to 120 nt,library technical 1 and 2,NA,"Microbe, viral or environmental"
SRR23242265,70394782,7109872982,101,2160,SRX19188600,OTTR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599352,SAMN32928057,simple,4932,Saccharomyces cerevisiae,OTTR1,University of California at Berkeley,SRA1580467,03,2023,Makar,"",OTTR ribosome profiling from a pool of yeast RNase I digested RPFs (technical replicate 1),S288c MATa his3(delta)1 leu2(delta)0 met15(delta)0 ura3(delta)0,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 1,RNase I,sucrose cushion,"denaturing gel, 25 to 34 nt","OTTR, F753-labeling WT-jumping",no,92 nt to 104 nt,library technical 1,NA,"Microbe, viral or environmental"
SRR23242264,50822512,5133073712,101,1482,SRX19188601,M5,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599354,SAMN32928066,simple,4932,Saccharomyces cerevisiae,M5,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Monosome-sized RPFs from monosome fraction of a polysome profile after P1 nuclease digestion, biological replicate 2 of anhydrotetracycline treated cells (HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 5,P1 nuclease,"sucrose gradient, monosome fraction","denaturing gel, 30 to 40 nt","OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 2,HTS1,"Microbe, viral or environmental"
SRR23242263,34459637,3480423337,101,1015,SRX19188602,DM2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599353,SAMN32928067,simple,4932,Saccharomyces cerevisiae,DM2,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Monosome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 1 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 2,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 30 to 40 nt","OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 1,none,"Microbe, viral or environmental"
SRR23242262,28805906,2909396506,101,922,SRX19188603,DM3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599355,SAMN32928068,simple,4932,Saccharomyces cerevisiae,DM3,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Monosome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 2 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 3,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 30 to 40 nt","OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 2,none,"Microbe, viral or environmental"
SRR23242261,29842234,3014065634,101,892,SRX19188604,DM4,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599356,SAMN32928069,simple,4932,Saccharomyces cerevisiae,DM4,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Monosome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 1 of anhydrotetracycline treated cells (HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 4,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 30 to 40 nt","OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 1,HTS1,"Microbe, viral or environmental"
SRR23242260,47586971,4806284071,101,1492,SRX19188605,DM5,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599358,SAMN32928070,simple,4932,Saccharomyces cerevisiae,DM5,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Monosome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 2 of anhydrotetracycline treated cells (HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 5,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 30 to 40 nt","OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 2,HTS1,"Microbe, viral or environmental"
SRR23242259,50531193,5103650493,101,1450,SRX19188606,D2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599357,SAMN32928071,simple,4932,Saccharomyces cerevisiae,D2,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Disome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 1 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 2,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 45 to 80 nt","OTTR, F753-labeling, with UMI",yes,120 nt to 160 nt,biological 1,none,"Microbe, viral or environmental"
SRR23242258,76468275,7723295775,101,2198,SRX19188607,D3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599360,SAMN32928072,simple,4932,Saccharomyces cerevisiae,D3,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Disome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 2 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 3,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 45 to 80 nt","OTTR, F753-labeling, with UMI",yes,120 nt to 160 nt,biological 2,none,"Microbe, viral or environmental"
SRR23242257,50692098,5119901898,101,1462,SRX19188608,D4,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599359,SAMN32928073,simple,4932,Saccharomyces cerevisiae,D4,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Disome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 1 of anhydrotetracycline treated cells (HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 4,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 45 to 80 nt","OTTR, F753-labeling, with UMI",yes,120 nt to 160 nt,biological 1,HTS1,"Microbe, viral or environmental"
SRR23242256,65930928,6659023728,101,1898,SRX19188609,D5,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599361,SAMN32928074,simple,4932,Saccharomyces cerevisiae,D5,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Disome-sized RPFs from disome fraction of a polysome profile after P1 nuclease digestion, biological replicate 2 of anhydrotetracycline treated cells (HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 5,P1 nuclease,"sucrose gradient, disome fraction","denaturing gel, 45 to 80 nt","OTTR, F753-labeling, with UMI",yes,120 nt to 160 nt,biological 2,HTS1,"Microbe, viral or environmental"
SRR23242255,51539704,7730955600,150,2407,SRX19188610,TetMMRMonoR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599362,SAMN32928075,simple,4932,Saccharomyces cerevisiae,TetMMRMonoR1,University of California at Berkeley,SRA1580467,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 1 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 2,P1 nuclease,sucrose cushion,mirRICH enrichment,"OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 1,none,"Microbe, viral or environmental"
SRR23242254,87379538,8825333338,101,2620,SRX19188611,OTTR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599363,SAMN32928058,simple,4932,Saccharomyces cerevisiae,OTTR2,University of California at Berkeley,SRA1580467,03,2023,Makar,"",OTTR ribosome profiling from a pool of yeast RNase I digested RPFs (technical replicate 2),S288c MATa his3(delta)1 leu2(delta)0 met15(delta)0 ura3(delta)0,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 1,RNase I,sucrose cushion,"denaturing gel, 25 to 34 nt","OTTR, F753-labeling WT-jumping",no,92 nt to 104 nt,library technical 2,NA,"Microbe, viral or environmental"
SRR23242253,43844627,6576694050,150,2019,SRX19188612,TetMMRMonoR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599364,SAMN32928076,simple,4932,Saccharomyces cerevisiae,TetMMRMonoR2,University of California at Berkeley,SRA1580467,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 2 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 3,P1 nuclease,sucrose cushion,mirRICH enrichment,"OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 2,none,"Microbe, viral or environmental"
SRR23242252,25684232,3852634800,150,1178,SRX19188613,TetMDZMonoR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599366,SAMN32928077,simple,4932,Saccharomyces cerevisiae,TetMDZMonoR1,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Direct-Zol RNA purification and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 1 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 2,P1 nuclease,sucrose cushion,DirectZo RNA purification,"OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 1,none,"Microbe, viral or environmental"
SRR23242251,28113125,4216968750,150,1291,SRX19188614,TetMDZMonoR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599365,SAMN32928078,simple,4932,Saccharomyces cerevisiae,TetMDZMonoR2,University of California at Berkeley,SRA1580467,03,2023,Makar,"","Direct-Zol RNA purification and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 2 of untreated cells (no HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 3,P1 nuclease,sucrose cushion,DirectZo RNA purification,"OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 2,none,"Microbe, viral or environmental"
SRR23242250,66647505,9997125750,150,3256,SRX19188615,TetPMRMonoR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419250,PRJNA928370,1,"",SRS16599367,SAMN32928079,simple,4932,Saccharomyces cerevisiae,TetPMRMonoR1,University of California at Berkeley,SRA1580467,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 1 of anhydrotetracycline treated cells (HTS1 knock-down)",gcn2(delta) dCas9-Mxi1::TetR::kanMXsyn P(RPR1)Tet-HTS1sgRNA::KlLEU2 log-phase growth lysate,Ribosome profiling of cell lysate from log-phase growth yeast cell culture,Nicholas Ingolia,30 °C,Culture 4,P1 nuclease,sucrose cushion,mirRICH enrichment,"OTTR, F753-labeling, with UMI",yes,100 nt to 120 nt,biological 1,HTS1,"Microbe, viral or environmental"
