Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treat,GEO Accession
SRR15014897,42200672,3376053760,80,1141,SRX11326829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360255,SAMN19989681,simple,9606,Homo sapiens,GSM5412810,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib1_NT_rep1,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,untreat,GSM5412810
SRR15014898,39951042,3196083360,80,1043,SRX11326830,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360256,SAMN19989680,simple,9606,Homo sapiens,GSM5412811,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib1_NT_rep2,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,untreat,GSM5412811
SRR15014899,46974721,3757977680,80,1261,SRX11326831,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360257,SAMN19989679,simple,9606,Homo sapiens,GSM5412812,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib2_01G418_rep1,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"0.1mg/mL G418, 24 hours",GSM5412812
SRR15014900,38457883,3076630640,80,990,SRX11326832,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360258,SAMN19989678,simple,9606,Homo sapiens,GSM5412813,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib2_01G418_rep2,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"0.1mg/mL G418, 24 hours",GSM5412813
SRR15014901,33323040,2665843200,80,903,SRX11326833,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360259,SAMN19989677,simple,9606,Homo sapiens,GSM5412814,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib3_05G418_rep1,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"0.5mg/mL G418, 24 hours",GSM5412814
SRR15014902,38130765,3050461200,80,991,SRX11326834,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360260,SAMN19989676,simple,9606,Homo sapiens,GSM5412815,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib3_05G418_rep2,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"0.5mg/mL G418, 24 hours",GSM5412815
SRR15014903,43703327,3496266160,80,1165,SRX11326835,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360261,SAMN19989675,simple,9606,Homo sapiens,GSM5412816,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib4_EGFP_rep1,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"Lentivirus_EGFP, MOI200",GSM5412816
SRR15014904,32825114,2626009120,80,845,SRX11326836,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360262,SAMN19989674,simple,9606,Homo sapiens,GSM5412817,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib4_EGFP_rep2,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"Lentivirus_EGFP, MOI200",GSM5412817
SRR15014905,45688962,3655116960,80,1226,SRX11326837,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360263,SAMN19989673,simple,9606,Homo sapiens,GSM5412818,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib5_Tyr_rep1,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"Lentivirus_rAAV9.2xsup-tRNATyr, MOI200",GSM5412818
SRR15014906,34124958,2729996640,80,883,SRX11326838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP326500,PRJNA743042,35322228,"",SRS9360264,SAMN19989672,simple,9606,Homo sapiens,GSM5412819,GEO,SRA1253510,07,2021,Wang,Patient fibroblasts (PFB),Ribo_PFB_Lib5_Tyr_rep2,Patient fibroblasts (PFB),Patient fibroblasts cell line,Idua-W402X/W402X,"Lentivirus_rAAV9.2xsup-tRNATyr, MOI200",GSM5412819
