Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,tissue,treatment,GEO Accession
SRR16085680,40994652,3443550768,84,1449,SRX12372102,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343162,SAMN21855058,simple,9606,Homo sapiens,GSM5597832,GEO,SRA1300803,03,2023,Makar,BT-20,Ezra_seq_BT20_cells_Rep1,BT-20,BT-20,,,GSM5597832
SRR16085681,40611562,3411371208,84,1426,SRX12372103,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343161,SAMN21855059,simple,9606,Homo sapiens,GSM5597833,GEO,SRA1300803,03,2023,Makar,BT-20,Ezra_seq_BT20_cells_rep2,BT-20,BT-20,,,GSM5597833
SRR16085682,30389316,2583091860,85,1118,SRX12372104,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343163,SAMN21855060,simple,9606,Homo sapiens,GSM5597834,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_try1,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597834
SRR16085683,27980098,2378308330,85,1070,SRX12372105,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343164,SAMN21855061,simple,9606,Homo sapiens,GSM5597835,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_try2,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597835
SRR16085684,36601434,3111121890,85,1454,SRX12372106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343165,SAMN21855062,simple,9606,Homo sapiens,GSM5597836,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_try3,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597836
SRR16085685,64302613,5465722105,85,2390,SRX12372107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343166,SAMN21855063,simple,9606,Homo sapiens,GSM5597837,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_try4,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597837
SRR16085686,53643790,4559722150,85,2045,SRX12372108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343167,SAMN21855045,simple,9606,Homo sapiens,GSM5597838,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_CHX_treatment,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597838
SRR16085687,22103262,1878777270,85,878,SRX12372109,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343168,SAMN21855046,simple,10090,Mus musculus,GSM5597839,GEO,SRA1300803,03,2023,Makar,Mouse embryonic fibroblasts,Ezra_seq_MEF,Mouse embryonic fibroblasts,Mouse embryonic fibroblasts,,,GSM5597839
SRR16085688,26298241,2209052244,84,948,SRX12372110,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343169,SAMN21855047,simple,10090,Mus musculus,GSM5597840,GEO,SRA1300803,03,2023,Makar,Mouse heart,Ezra_seq_mouse_heart,Mouse heart,,Mouse heart,,GSM5597840
SRR16085689,36588518,3110024030,85,1365,SRX12372111,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343171,SAMN21855048,simple,9606,Homo sapiens,GSM5597841,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_shScram_rep1,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597841
SRR16085690,31681872,2692959120,85,1192,SRX12372111,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343171,SAMN21855048,simple,9606,Homo sapiens,GSM5597841,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_shScram_rep1,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597842
SRR16085691,35775878,3040949630,85,1350,SRX12372112,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343170,SAMN21855049,simple,9606,Homo sapiens,GSM5597842,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_sheIF5B_rep1,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597843
SRR16085692,35445346,3012854410,85,1335,SRX12372112,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338863,PRJNA766610,1,"",SRS10343170,SAMN21855049,simple,9606,Homo sapiens,GSM5597842,GEO,SRA1300803,03,2023,Makar,"HEK293, stably expressing H-2Kb",Ezra_seq_HEK293_sheIF5B_rep1,"HEK293, stably expressing H-2Kb","HEK293, stably expressing H-2Kb",,,GSM5597844
