Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,Sex,genotype,body weight,treatment,mouse id,GEO Accession
SRR15346859,21835366,6550609800,150,2024,SRX11650881,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683919,SAMN20584676,simple,10090,Mus musculus,GSM5503173,GEO,SRA1271687,01,2022,Çakır,BAT1,BAT1,BAT1,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,vehicle,1,GSM5503173
SRR15346860,22045289,6613586700,150,1995,SRX11650882,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683918,SAMN20584677,simple,10090,Mus musculus,GSM5503174,GEO,SRA1271687,01,2022,Çakır,BAT2,BAT2,BAT2,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,vehicle,2,GSM5503174
SRR15346861,23931572,7179471600,150,2225,SRX11650883,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683920,SAMN20584678,simple,10090,Mus musculus,GSM5503175,GEO,SRA1271687,01,2022,Çakır,BAT3,BAT3,BAT3,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,vehicle,3,GSM5503175
SRR15346862,27008939,8102681700,150,2448,SRX11650884,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683922,SAMN20584679,simple,10090,Mus musculus,GSM5503176,GEO,SRA1271687,01,2022,Çakır,BAT4,BAT4,BAT4,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,vehicle,4,GSM5503176
SRR15346863,22855824,6856747200,150,2117,SRX11650885,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683921,SAMN20584680,simple,10090,Mus musculus,GSM5503177,GEO,SRA1271687,01,2022,Çakır,BAT5,BAT5,BAT5,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,vehicle,5,GSM5503177
SRR15346864,21940234,6582070200,150,1986,SRX11650886,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683923,SAMN20584681,simple,10090,Mus musculus,GSM5503178,GEO,SRA1271687,01,2022,Çakır,BAT6,BAT6,BAT6,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,Sulforaphane,6,GSM5503178
SRR15346865,21486807,6446042100,150,1990,SRX11650887,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683924,SAMN20584682,simple,10090,Mus musculus,GSM5503179,GEO,SRA1271687,01,2022,Çakır,BAT7,BAT7,BAT7,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,Sulforaphane,7,GSM5503179
SRR15346866,21962758,6588827400,150,2023,SRX11650888,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683925,SAMN20584683,simple,10090,Mus musculus,GSM5503180,GEO,SRA1271687,01,2022,Çakır,BAT8,BAT8,BAT8,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,Sulforaphane,8,GSM5503180
SRR15346867,21370749,6411224700,150,1970,SRX11650889,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683927,SAMN20584684,simple,10090,Mus musculus,GSM5503181,GEO,SRA1271687,01,2022,Çakır,BAT9,BAT9,BAT9,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,Sulforaphane,9,GSM5503181
SRR15346868,20813816,6244144800,150,1962,SRX11650890,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP331158,PRJNA752135,35323110,"",SRS9683926,SAMN20584685,simple,10090,Mus musculus,GSM5503182,GEO,SRA1271687,01,2022,Çakır,BAT10,BAT10,BAT10,C57BL/6,Brown Adipose Tissue,male,wild type,diet-induced obesity,Sulforaphane,10,GSM5503182
