Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR1991269,42208331,1008187505,23,765,SRX1006944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921529,SAMN03565841,simple,565050,Caulobacter vibrioides NA1000,GSM1665588,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,swarmer M2G RNA-seq,Whole cell lystate,swarmer M2G,GSM1665588
SRR1991270,27881170,701402215,25,527,SRX1006945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921528,SAMN03565842,simple,565050,Caulobacter vibrioides NA1000,GSM1665589,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,early stalk M2G RNA-seq,Whole cell lystate,early stalk M2G,GSM1665589
SRR1991271,39248791,915047954,23,695,SRX1006946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921527,SAMN03565843,simple,565050,Caulobacter vibrioides NA1000,GSM1665590,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,late stalk M2G RNA-seq,Whole cell lystate,late stalk M2G,GSM1665590
SRR1991272,38217172,860370838,22,657,SRX1006947,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921526,SAMN03565844,simple,565050,Caulobacter vibrioides NA1000,GSM1665591,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,early prediv M2G RNA-seq,Whole cell lystate,early prediv M2G,GSM1665591
SRR1991273,21522058,447986917,20,346,SRX1006948,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921525,SAMN03565826,simple,565050,Caulobacter vibrioides NA1000,GSM1665592,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,late prediv M2G RNA-seq,Whole cell lystate,late prediv M2G,GSM1665592
SRR1991274,28861642,616983620,21,475,SRX1006949,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921524,SAMN03565827,simple,565050,Caulobacter vibrioides NA1000,GSM1665593,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,post division M2G RNA-seq,Whole cell lystate,post division M2G,GSM1665593
SRR1991275,20703090,660389778,31,485,SRX1006950,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921523,SAMN03565828,simple,565050,Caulobacter vibrioides NA1000,GSM1665594,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,swarmer M2G ribosome profiling,Whole cell lystate,swarmer M2G,GSM1665594
SRR1991276,80717688,2400826270,29,1607,SRX1006951,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921522,SAMN03565829,simple,565050,Caulobacter vibrioides NA1000,GSM1665595,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,early stalk M2G ribosome profiling,Whole cell lystate,early stalk M2G,GSM1665595
SRR1991277,22993484,674619628,29,498,SRX1006952,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921520,SAMN03565830,simple,565050,Caulobacter vibrioides NA1000,GSM1665596,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,late stalk M2G ribosome profiling,Whole cell lystate,late stalk M2G,GSM1665596
SRR1991278,17278060,518095336,29,367,SRX1006953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921521,SAMN03565832,simple,565050,Caulobacter vibrioides NA1000,GSM1665597,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,early prediv M2G ribosome profiling,Whole cell lystate,early prediv M2G,GSM1665597
SRR1991279,20443469,604238206,29,442,SRX1006954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921519,SAMN03565831,simple,565050,Caulobacter vibrioides NA1000,GSM1665598,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,late prediv M2G ribosome profiling,Whole cell lystate,late prediv M2G,GSM1665598
SRR1991280,13538820,382410272,28,279,SRX1006955,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057599,PRJNA282016,27791168,"",SRS921518,SAMN03565833,simple,565050,Caulobacter vibrioides NA1000,GSM1665599,GEO,SRA262024,04,2016,Schrader,Whole cell lystate,post division M2G ribosome profiling,Whole cell lystate,post division M2G,GSM1665599
