Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,transfected plasmids,expression of gene in pmta,treatment,GEO Accession
SRR12097343,18233691,1163811440,63,388,SRX8622783,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914752,SAMN15376583,simple,7227,Drosophila melanogaster,GSM4641402,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,1_GFP_only,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP,Uninduced,DMSO for 5 hrs,GSM4641402
SRR12097344,27234507,1740623991,63,547,SRX8622784,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914753,SAMN15376581,simple,7227,Drosophila melanogaster,GSM4641403,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,2_Hyper_only_replicate1,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-hyperADARcd,Induced the expression overnight,DMSO for 5 hrs,GSM4641403
SRR12097345,8714669,557043746,63,171,SRX8622785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914754,SAMN15376579,simple,7227,Drosophila melanogaster,GSM4641404,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,3_Hyper_only_replicate2,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-hyperADARcd,Induced the expression overnight,DMSO for 5 hrs,GSM4641404
SRR12097346,17435805,1113413823,63,367,SRX8622786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914755,SAMN15376577,simple,7227,Drosophila melanogaster,GSM4641405,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,4_Thor_Hyper_induced_replicate1,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,DMSO for 5 hrs,GSM4641405
SRR12097347,19637278,1254891305,63,412,SRX8622787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914756,SAMN15376575,simple,7227,Drosophila melanogaster,GSM4641406,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,5_Thor_Hyper_induced_replicate2,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,DMSO for 5 hrs,GSM4641406
SRR12097348,23786407,1518050368,63,499,SRX8622788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914757,SAMN15376574,simple,7227,Drosophila melanogaster,GSM4641407,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,6_Thor_Hyper_induced_-FBS_+Rapa_replicate1,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,Serum depletion and 50nM of Rapamycin for 5 hrs,GSM4641407
SRR12097349,34615321,2212459006,63,717,SRX8622789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914758,SAMN15376572,simple,7227,Drosophila melanogaster,GSM4641408,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,7_Thor_Hyper_induced_-FBS_+Rapa_replicate2,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,Serum depletion and 50nM of Rapamycin for 5 hrs,GSM4641408
SRR12097350,17254500,1102879712,63,355,SRX8622790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914759,SAMN15376569,simple,7227,Drosophila melanogaster,GSM4641409,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,8_Thor_Hyper_induced_+Rapa_replicate1,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,50nM of Rapamycin for 5 hrs,GSM4641409
SRR12097351,20257118,1294622111,63,420,SRX8622791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914760,SAMN15376643,simple,7227,Drosophila melanogaster,GSM4641410,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,9_Thor_Hyper_induced_+Rapa_replicate2,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,50nM of Rapamycin for 5 hrs,GSM4641410
SRR12097352,11556779,738505234,63,244,SRX8622792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914761,SAMN15376641,simple,7227,Drosophila melanogaster,GSM4641411,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,10_Thor_Hyper_induced_+Torin 1_replicate1,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,50nM of Torin-1 for 5 hrs,GSM4641411
SRR12097353,16670574,1065450867,63,346,SRX8622793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914762,SAMN15376639,simple,7227,Drosophila melanogaster,GSM4641412,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,11_Thor_Hyper_induced_+Torin 1_replicate2,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Induced the expression overnight,50nM of Torin-1 for 5 hrs,GSM4641412
SRR12097354,17021202,1086872720,63,359,SRX8622794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914763,SAMN15376637,simple,7227,Drosophila melanogaster,GSM4641413,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,12_Thor_Hyper_uninduced_replicate1,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Uninduced,DMSO for 5 hrs,GSM4641413
SRR12097355,14925597,952570373,63,330,SRX8622795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914764,SAMN15376636,simple,7227,Drosophila melanogaster,GSM4641414,GEO,SRA1091459,08,2020,Jin,late stage embryo-derived S2 cells,13_Thor_Hyper_uninduced_replicate2,late stage embryo-derived S2 cells,S2,pAC5.1-eGFP and pMTA-thor-hyperADARcd,Uninduced,DMSO for 5 hrs,GSM4641414
SRR12097371,22661101,1692351725,74,613,SRX8622811,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP269009,PRJNA642123,32851185,"",SRS6914779,SAMN15376740,simple,9606,Homo sapiens,GSM4641430,GEO,SRA1091459,08,2020,Jin,human prostate cancer cell PC3,1_Hyper_only_replicate1,human prostate cancer cell PC3,PC3,pAAV-CMV-eGFP3 and pCMV-hADAR2cd-E488Q,,DMSO for 5 hrs,GSM4641430
