Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,triton addition,strain,poly-a selection,GEO Accession
SRR788070,20389643,713637505,35,353,SRX252831,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403035,SAMN01985031,simple,4932,Saccharomyces cerevisiae,GSM1103176,GEO,SRA069892,07,2015,Zinshteyn,YWG11,WT Ribosome Footprint 1,YWG11,Before lysis,BY4741,,GSM1103176
SRR788071,19608026,686280910,35,413,SRX252832,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403036,SAMN01985032,simple,4932,Saccharomyces cerevisiae,GSM1103177,GEO,SRA069892,07,2015,Zinshteyn,YWG11,WT Ribosome Footprint 2,YWG11,After lysis,BY4741,,GSM1103177
SRR788072,18188339,636591865,35,348,SRX252833,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403037,SAMN01985033,simple,4932,Saccharomyces cerevisiae,GSM1103178,GEO,SRA069892,07,2015,Zinshteyn,YWG269,Δncs6 Ribosome Footprint 1,YWG269,Before lysis,BY4741,,GSM1103178
SRR788073,21039284,736374940,35,421,SRX252834,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403038,SAMN01985034,simple,4932,Saccharomyces cerevisiae,GSM1103179,GEO,SRA069892,07,2015,Zinshteyn,YWG385,Δncs6 Ribosome Footprint 2,YWG385,After lysis,BY4741,,GSM1103179
SRR788074,17756997,621494895,35,342,SRX252835,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403039,SAMN01985035,simple,4932,Saccharomyces cerevisiae,GSM1103180,GEO,SRA069892,07,2015,Zinshteyn,YWG271,Δuba4 Ribosome Footprint 1,YWG271,Before lysis,BY4741,,GSM1103180
SRR788075,20290334,710161690,35,452,SRX252836,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403040,SAMN01985036,simple,4932,Saccharomyces cerevisiae,GSM1103181,GEO,SRA069892,07,2015,Zinshteyn,YWG271,Δuba4 Ribosome Footprint 2,YWG271,After lysis,BY4741,,GSM1103181
SRR788076,20233740,708180900,35,444,SRX252837,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403041,SAMN01985037,simple,4932,Saccharomyces cerevisiae,GSM1103182,GEO,SRA069892,07,2015,Zinshteyn,YWG382,Δelp3 Ribosome Footprint,YWG382,After lysis,BY4741,,GSM1103182
SRR788077,20345135,712079725,35,414,SRX252838,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403042,SAMN01985038,simple,4932,Saccharomyces cerevisiae,GSM1103183,GEO,SRA069892,07,2015,Zinshteyn,YWG386,Δncs2 Ribosome Footprint,YWG386,After lysis,BY4741,,GSM1103183
SRR788078,19846796,694637860,35,357,SRX252839,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403043,SAMN01985039,simple,4932,Saccharomyces cerevisiae,GSM1103184,GEO,SRA069892,07,2015,Zinshteyn,YWG11,WT RNA-seq 1,YWG11,Before lysis,BY4741,oligo-dT DynaBeads,GSM1103184
SRR788079,18689925,654147375,35,382,SRX252840,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019833,PRJNA193543,23935536,"",SRS403044,SAMN01985040,simple,4932,Saccharomyces cerevisiae,GSM1103185,GEO,SRA069892,07,2015,Zinshteyn,YWG11,WT RNA-seq 2,YWG11,After lysis,BY4741,oligo-dT DynaBeads,GSM1103185
