Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cultivar,developmental stage,preservation,tissue,purification,GEO Accession
SRR1840398,89827739,4491386950,50,2764,SRX902510,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865196,SAMN03389610,simple,3847,Glycine max,GSM1625822,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (25-50 mg) control mRNA-Seq biorep 1,Cotyledon,Williams,Beans fresh weight 25-50 mg,Frozen,Cotyledon,Total RNA,GSM1625822
SRR1840399,51640489,2582024450,50,1612,SRX902511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865195,SAMN03389597,simple,3847,Glycine max,GSM1625823,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (25-50 mg) Ribosome Profiling biorep 1,Cotyledon,Williams,Beans fresh weight 25-50 mg,Frozen,Cotyledon,Ribosome bound mRNA,GSM1625823
SRR1840400,113415356,11341535600,100,7173,SRX902512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865194,SAMN03389609,simple,3847,Glycine max,GSM1625824,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (25-50 mg) Control mRNA-Seq biorep 2,Cotyledon,Williams,Beans fresh weight 25-50 mg,Frozen,Cotyledon,Total RNA,GSM1625824
SRR1840401,77525914,7752591400,100,4910,SRX902513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865193,SAMN03389589,simple,3847,Glycine max,GSM1625825,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (25-50 mg) Ribosome Profiling biorep 2,Cotyledon,Williams,Beans fresh weight 25-50 mg,Frozen,Cotyledon,Ribosome bound mRNA,GSM1625825
SRR1840402,117429021,5871451050,50,3921,SRX902514,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865192,SAMN03389606,simple,3847,Glycine max,GSM1625826,GEO,SRA245679,03,2018,Shamimuzzaman,Seed Coat,Seed Coat (25-50 mg) control mRNA-Seq biorep 1,Seed Coat,Williams,Beans fresh weight 25-50 mg,Frozen,Seed Coat,Total RNA,GSM1625826
SRR1840403,50150107,2507505350,50,1673,SRX902515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865191,SAMN03389599,simple,3847,Glycine max,GSM1625827,GEO,SRA245679,03,2018,Shamimuzzaman,Seed Coat,Seed Coat (25-50 mg) Ribosome Profiling biorep 1,Seed Coat,Williams,Beans fresh weight 25-50 mg,Frozen,Seed Coat,Ribosome bound mRNA,GSM1625827
SRR1840404,62003536,3100176800,50,1764,SRX902516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865190,SAMN03389605,simple,3847,Glycine max,GSM1625828,GEO,SRA245679,03,2018,Shamimuzzaman,Seed Coat,Seed Coat (25-50 mg) Control mRNA-Seq biorep 2,Seed Coat,Williams,Beans fresh weight 25-50 mg,Frozen,Seed Coat,Total RNA,GSM1625828
SRR1840405,58241888,2912094400,50,1632,SRX902517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865189,SAMN03389600,simple,3847,Glycine max,GSM1625829,GEO,SRA245679,03,2018,Shamimuzzaman,Seed Coat,Seed Coat (25-50 mg) Ribosome Profiling biorep 2,Seed Coat,Williams,Beans fresh weight 25-50 mg,Frozen,Seed Coat,Ribosome bound mRNA,GSM1625829
SRR1840406,49802836,2490141800,50,1609,SRX902518,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865188,SAMN03389587,simple,3847,Glycine max,GSM1625830,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (100-200 mg) control mRNA-Seq biorep 1,Cotyledon,Williams,Beans fresh weight 100-200 mg,Frozen,Cotyledon,Total RNA,GSM1625830
SRR1840407,86277212,4313860600,50,2777,SRX902519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865187,SAMN03389590,simple,3847,Glycine max,GSM1625831,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (100-200 mg) Ribosome Profiling biorep 1,Cotyledon,Williams,Beans fresh weight 100-200 mg,Frozen,Cotyledon,Ribosome bound mRNA,GSM1625831
SRR1840408,81333445,8133344500,100,5155,SRX902520,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865186,SAMN03389591,simple,3847,Glycine max,GSM1625832,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (100-200 mg) Control mRNA-Seq biorep 2,Cotyledon,Williams,Beans fresh weight 100-200 mg,Frozen,Cotyledon,Total RNA,GSM1625832
SRR1840409,100907777,10090777700,100,6127,SRX902521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865185,SAMN03389603,simple,3847,Glycine max,GSM1625833,GEO,SRA245679,03,2018,Shamimuzzaman,Cotyledon,Cotyledon (100-200 mg) Ribosome Profiling biorep 2,Cotyledon,Williams,Beans fresh weight 100-200 mg,Frozen,Cotyledon,Ribosome bound mRNA,GSM1625833
SRR1840410,87011298,4350564900,50,2754,SRX902522,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865184,SAMN03389607,simple,3847,Glycine max,GSM1625834,GEO,SRA245679,03,2018,Shamimuzzaman,Seed Coat,Seed Coat (100-200 mg) control mRNA-Seq biorep 1,Seed Coat,Williams,Beans fresh weight 100-200 mg,Frozen,Seed Coat,Total RNA,GSM1625834
SRR1840411,57960236,2898011800,50,1838,SRX902523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055880,PRJNA277363,29570733,"",SRS865183,SAMN03389594,simple,3847,Glycine max,GSM1625835,GEO,SRA245679,03,2018,Shamimuzzaman,Seed Coat,Seed Coat (100-200 mg) Ribosome Profiling biorep 1,Seed Coat,Williams,Beans fresh weight 100-200 mg,Frozen,Seed Coat,Ribosome bound mRNA,GSM1625835
