Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,diet,strain,tissue,GEO Accession
SRR5952328,202796598,10139829900,50,6328,SRX3110787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445869,SAMN07525042,simple,10090,Mus musculus,GSM2747838,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling H19:H391,Liver,Standard Chow,C57BL6,liver,GSM2747838
SRR5952329,202925674,10146283700,50,6286,SRX3110788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445870,SAMN07525041,simple,10090,Mus musculus,GSM2747839,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS1 deletion2,Liver,Standard Chow,C57BL6,liver,GSM2747839
SRR5952330,196597095,9829854750,50,6083,SRX3110789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445872,SAMN07525040,simple,10090,Mus musculus,GSM2747840,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS1 deletion3,Liver,Standard Chow,C57BL6,liver,GSM2747840
SRR5952331,202636712,10131835600,50,6357,SRX3110790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445871,SAMN07525039,simple,10090,Mus musculus,GSM2747841,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS1 WT1,Liver,Standard Chow,C57BL6,liver,GSM2747841
SRR5952332,189180961,9459048050,50,5752,SRX3110791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445873,SAMN07525038,simple,10090,Mus musculus,GSM2747842,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS1 WT2,Liver,Standard Chow,C57BL6,liver,GSM2747842
SRR5952333,175785634,8789281700,50,5311,SRX3110792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445874,SAMN07525037,simple,10090,Mus musculus,GSM2747843,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS1 WT3,Liver,Standard Chow,C57BL6,liver,GSM2747843
SRR5952334,66494407,3324720350,50,2068,SRX3110793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445875,SAMN07525036,simple,10090,Mus musculus,GSM2747844,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS1 deletion1,Liver,Standard Chow,C57BL6,liver,GSM2747844
SRR5952335,60847965,3042398250,50,1887,SRX3110794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445876,SAMN07525033,simple,10090,Mus musculus,GSM2747845,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS1 deletion2,Liver,Standard Chow,C57BL6,liver,GSM2747845
SRR5952336,76987244,3849362200,50,2381,SRX3110795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445877,SAMN07525034,simple,10090,Mus musculus,GSM2747846,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS1 deletion3,Liver,Standard Chow,C57BL6,liver,GSM2747846
SRR5952337,72731546,3636577300,50,2204,SRX3110796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445878,SAMN07525035,simple,10090,Mus musculus,GSM2747847,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS1 WT1,Liver,Standard Chow,C57BL6,liver,GSM2747847
SRR5952338,64115645,3205782250,50,1945,SRX3110797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445879,SAMN07525020,simple,10090,Mus musculus,GSM2747848,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS1 WT2,Liver,Standard Chow,C57BL6,liver,GSM2747848
SRR5952339,53317151,2665857550,50,1604,SRX3110798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445880,SAMN07525029,simple,10090,Mus musculus,GSM2747849,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS1 WT3,Liver,Standard Chow,C57BL6,liver,GSM2747849
SRR5952340,228456278,11422813900,50,5232,SRX3110799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445882,SAMN07525028,simple,10090,Mus musculus,GSM2747850,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS2 WT1,Liver,Standard Chow,C57BL6,liver,GSM2747850
SRR5952341,188204162,9410208100,50,4151,SRX3110800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445881,SAMN07525032,simple,10090,Mus musculus,GSM2747851,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS2 WT2,Liver,Standard Chow,C57BL6,liver,GSM2747851
SRR5952342,203369022,10168451100,50,4434,SRX3110801,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445883,SAMN07525031,simple,10090,Mus musculus,GSM2747852,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS2 WT3,Liver,Standard Chow,C57BL6,liver,GSM2747852
SRR5952343,202822349,10141117450,50,4367,SRX3110802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445884,SAMN07525030,simple,10090,Mus musculus,GSM2747853,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS2 deletion1,Liver,Standard Chow,C57BL6,liver,GSM2747853
SRR5952344,226331185,11316559250,50,5064,SRX3110803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445885,SAMN07525019,simple,10090,Mus musculus,GSM2747854,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS2 deletion2,Liver,Standard Chow,C57BL6,liver,GSM2747854
SRR5952345,197895247,9894762350,50,4308,SRX3110804,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445886,SAMN07525027,simple,10090,Mus musculus,GSM2747855,GEO,SRA601692,08,2017,Mariotti,Liver,Ribosome Profiling SECIS2 deletion3,Liver,Standard Chow,C57BL6,liver,GSM2747855
SRR5952346,64372111,3218605550,50,1455,SRX3110805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445887,SAMN07525026,simple,10090,Mus musculus,GSM2747856,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS2 WT1,Liver,Standard Chow,C57BL6,liver,GSM2747856
SRR5952347,64364926,3218246300,50,1441,SRX3110806,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445888,SAMN07525025,simple,10090,Mus musculus,GSM2747857,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS2 WT2,Liver,Standard Chow,C57BL6,liver,GSM2747857
SRR5952348,88247600,4412380000,50,1975,SRX3110807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445889,SAMN07525024,simple,10090,Mus musculus,GSM2747858,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS2 WT3,Liver,Standard Chow,C57BL6,liver,GSM2747858
SRR5952349,79496371,3974818550,50,1796,SRX3110808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445890,SAMN07525023,simple,10090,Mus musculus,GSM2747859,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS2 deletion1,Liver,Standard Chow,C57BL6,liver,GSM2747859
SRR5952350,66784504,3339225200,50,1506,SRX3110809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445891,SAMN07525022,simple,10090,Mus musculus,GSM2747860,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS2 deletion2,Liver,Standard Chow,C57BL6,liver,GSM2747860
SRR5952351,68473037,3423651850,50,1543,SRX3110810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115915,PRJNA399166,29069514,"",SRS2445892,SAMN07525021,simple,10090,Mus musculus,GSM2747861,GEO,SRA601692,08,2017,Mariotti,Liver,RNASeq SECIS2 deletion3,Liver,Standard Chow,C57BL6,liver,GSM2747861
