Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth rate,genotype,treatment,culture method,molecule subtype,GEO Accession
SRR15446740,10901656,817624200,75,387,SRX11746131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779326,SAMN20776188,simple,562,Escherichia coli,GSM5518452,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT C-lim 0.1 rep1,E. coli RNA-seq - WT C-lim 0.1 rep1,E. coli RNA-seq - WT C-lim 0.1 rep1,NCM3722,0.1 h-1,wild type,carbon limitation,chemostat,total mRNA,GSM5518452
SRR15446741,4239176,317938200,75,138,SRX11746132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779329,SAMN20776189,simple,562,Escherichia coli,GSM5518453,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT C-lim 0.1 rep2,E. coli RNA-seq - WT C-lim 0.1 rep2,E. coli RNA-seq - WT C-lim 0.1 rep2,NCM3722,0.1 h-1,wild type,carbon limitation,chemostat,total mRNA,GSM5518453
SRR15446742,4527622,339571650,75,142,SRX11746133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779330,SAMN20776190,simple,562,Escherichia coli,GSM5518454,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT C-lim 0.1 rep3,E. coli RNA-seq - WT C-lim 0.1 rep3,E. coli RNA-seq - WT C-lim 0.1 rep3,NCM3722,0.1 h-1,wild type,carbon limitation,chemostat,total mRNA,GSM5518454
SRR15446743,10333631,775022325,75,367,SRX11746134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779327,SAMN20776191,simple,562,Escherichia coli,GSM5518455,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT C-lim 0.6 rep1,E. coli RNA-seq - WT C-lim 0.6 rep1,E. coli RNA-seq - WT C-lim 0.6 rep1,NCM3722,0.6 h-1,wild type,carbon limitation,chemostat,total mRNA,GSM5518455
SRR15446744,4344910,325868250,75,142,SRX11746135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779328,SAMN20776192,simple,562,Escherichia coli,GSM5518456,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT C-lim 0.6 rep2,E. coli RNA-seq - WT C-lim 0.6 rep2,E. coli RNA-seq - WT C-lim 0.6 rep2,NCM3722,0.6 h-1,wild type,carbon limitation,chemostat,total mRNA,GSM5518456
SRR15446745,6972075,522905625,75,220,SRX11746136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779331,SAMN20776193,simple,562,Escherichia coli,GSM5518457,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT C-lim 0.6 rep3,E. coli RNA-seq - WT C-lim 0.6 rep3,E. coli RNA-seq - WT C-lim 0.6 rep3,NCM3722,0.6 h-1,wild type,carbon limitation,chemostat,total mRNA,GSM5518457
SRR15446746,8745318,655898850,75,312,SRX11746137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779334,SAMN20776194,simple,562,Escherichia coli,GSM5518458,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT N-lim 0.1 rep1,E. coli RNA-seq - WT N-lim 0.1 rep1,E. coli RNA-seq - WT N-lim 0.1 rep1,NCM3722,0.1 h-1,wild type,nitrogen limitation,chemostat,total mRNA,GSM5518458
SRR15446747,4644632,348347400,75,151,SRX11746138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779335,SAMN20776195,simple,562,Escherichia coli,GSM5518459,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT N-lim 0.1 rep2,E. coli RNA-seq - WT N-lim 0.1 rep2,E. coli RNA-seq - WT N-lim 0.1 rep2,NCM3722,0.1 h-1,wild type,nitrogen limitation,chemostat,total mRNA,GSM5518459
SRR15446748,6041577,453118275,75,189,SRX11746139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779337,SAMN20776196,simple,562,Escherichia coli,GSM5518460,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT N-lim 0.1 rep3,E. coli RNA-seq - WT N-lim 0.1 rep3,E. coli RNA-seq - WT N-lim 0.1 rep3,NCM3722,0.1 h-1,wild type,nitrogen limitation,chemostat,total mRNA,GSM5518460
SRR15446749,7018348,526376100,75,250,SRX11746140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP332494,PRJNA754447,36264977,"",SRS9779332,SAMN20776197,simple,562,Escherichia coli,GSM5518461,GEO,SRA1277944,11,2022,Zhang,E. coli RNA-seq - WT N-lim 0.6 rep1,E. coli RNA-seq - WT N-lim 0.6 rep1,E. coli RNA-seq - WT N-lim 0.6 rep1,NCM3722,0.6 h-1,wild type,nitrogen limitation,chemostat,total mRNA,GSM5518461
