Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,subtype,p53 status,Stage,molecule subtype,GEO Accession
SRR10868219,12171975,620770725,51,388,SRX7538242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976906,SAMN13819097,simple,9606,Homo sapiens,GSM4258813,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_1 [JJD35_B2319],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258813
SRR10868220,14449642,736931742,51,459,SRX7538243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976907,SAMN13819096,simple,9606,Homo sapiens,GSM4258814,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_2 [JJD36_B2320],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258814
SRR10868221,15533836,792225636,51,497,SRX7538244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976908,SAMN13819095,simple,9606,Homo sapiens,GSM4258815,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_3 [JJD37_B2321],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258815
SRR10868222,17978547,916905897,51,569,SRX7538245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976909,SAMN13819094,simple,9606,Homo sapiens,GSM4258816,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_4 [JJD39_B2323],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 3,ribosomal RNA,GSM4258816
SRR10868223,16281485,830355735,51,516,SRX7538246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976910,SAMN13819093,simple,9606,Homo sapiens,GSM4258817,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_5 [JJD41_B2325],RMS_breast tumor,primary breast tumour,TNBC,MT,Stage 3,ribosomal RNA,GSM4258817
SRR10868224,13777873,702671523,51,290,SRX7538247,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976911,SAMN13819092,simple,9606,Homo sapiens,GSM4258818,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_6 [VMT100],RMS_breast tumor,primary breast tumour,LumiNAl,MT,Stage 2,ribosomal RNA,GSM4258818
SRR10868225,11469516,584945316,51,242,SRX7538248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976912,SAMN13819098,simple,9606,Homo sapiens,GSM4258819,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_7 [VMT101],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 1,ribosomal RNA,GSM4258819
SRR10868226,10293716,524979516,51,217,SRX7538249,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976913,SAMN13819091,simple,9606,Homo sapiens,GSM4258820,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_8 [VMT102],RMS_breast tumor,primary breast tumour,LumiNAl,WT,Stage 2,ribosomal RNA,GSM4258820
SRR10868227,10894834,555636534,51,229,SRX7538250,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976914,SAMN13819090,simple,9606,Homo sapiens,GSM4258821,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_9 [VMT103],RMS_breast tumor,primary breast tumour,HER2,WT,Stage 3,ribosomal RNA,GSM4258821
SRR10868228,9506070,484809570,51,199,SRX7538251,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241165,PRJNA600412,34316693,"",SRS5976915,SAMN13819089,simple,9606,Homo sapiens,GSM4258822,GEO,SRA1023470,12,2020,Marcel,RMS_breast tumor,RMS_breast tumor_10 [VMT104],RMS_breast tumor,primary breast tumour,TNBC,NA,Stage 3,ribosomal RNA,GSM4258822
