Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,antibody,biological_replicate,dev_stage,genetic_modification,genotype,strain,tissue,treatment,time
DRR207304,19821418,1585713440,80,667,DRX197697,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214790,SAMD00202703,simple,10090,Mus musculus,SAMD00202703,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E11_Hes1+_neural_stem_cells_rep1,170315_E11_Input,Null,1,E11,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207305,19559419,1564753520,80,598,DRX197698,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214791,SAMD00202704,simple,10090,Mus musculus,SAMD00202704,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E11_Hes1+_neural_stem_cells_rep1,170909_E11_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,1,E11,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207306,36609887,2928790960,80,1183,DRX197699,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214792,SAMD00202705,simple,10090,Mus musculus,SAMD00202705,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E11_Hes1+_neural_stem_cells_rep1,170909_E11_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,1,E11,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207307,19286921,1542953680,80,642,DRX197700,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214793,SAMD00202706,simple,10090,Mus musculus,SAMD00202706,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E11_Hes1+_neural_stem_cells_rep2,170909_E11_Input,Null,2,E11,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207308,19049154,1523932320,80,580,DRX197701,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214794,SAMD00202707,simple,10090,Mus musculus,SAMD00202707,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E12_Hes1+_neural_stem_cells_rep1,170909_E12_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,1,E12,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207309,39195873,3135669840,80,1244,DRX197702,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214795,SAMD00202708,simple,10090,Mus musculus,SAMD00202708,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E12_Hes1+_neural_stem_cells_1,170909_E12_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,1,E12,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207310,19577542,1566203360,80,658,DRX197703,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214796,SAMD00202709,simple,10090,Mus musculus,SAMD00202709,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input_from_E12_Hes1+_neural_stem_cells_rep1,170909_E12_Input,Null,1,E12,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207311,16995924,1359673920,80,571,DRX197704,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214797,SAMD00202710,simple,10090,Mus musculus,SAMD00202710,RIKEN_BDR,DRA009567,12,2021,Makar,"",ChIP_Input from_E14_Hes1+_neural_stem_cells_rep1,170909_E14_Input,Null,1,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207312,18603722,1488297760,80,687,DRX197705,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214798,SAMD00202711,simple,10090,Mus musculus,SAMD00202711,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K4me3-ChIP_from_E14_Hes1+_neural_stem_cells_rep1,171003_E14_H3K4me3,Anti-trimethlHistone_H3_(Lys4)_mouse_monoclone_MABI0304_clone_ref_307-34813_MAB_Institute,1,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
DRR207313,34567503,2765400240,80,1223,DRX197706,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,DRP007972,PRJDB9278,1,"",DRS214799,SAMD00202712,simple,10090,Mus musculus,SAMD00202712,RIKEN_BDR,DRA009567,12,2021,Makar,"",H3K27me3-ChIP_from_E14_Hes1+_neural_stem_cells_rep1,171003_E14_H3K27me3,Anti-trimethlHistone_(Lys27)_(C36B11)_rabbit_mAb_#9733Cell_signaling_technology,1,E14,Yes,Hes1-d2-EGFPTg/+,ICR,Brain,,
