Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,gender,treatment,expressed protein,GEO Accession
SRR2096964,40053175,2002658750,50,1249,SRX1092012,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987649,SAMN03855826,simple,9606,Homo sapiens,GSM1819217,GEO,SRA276791,04,2016,Oh,HEK293,Rluc control ribosome profiling rep1,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,control,Rluc control,GSM1819217
SRR2096965,27500547,1375027350,50,852,SRX1092013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987648,SAMN03855827,simple,9606,Homo sapiens,GSM1819218,GEO,SRA276791,04,2016,Oh,HEK293,DDX3 WT ribosome profiling rep1,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,control,DDX3 WT,GSM1819218
SRR2096966,25807053,1290352650,50,800,SRX1092014,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987647,SAMN03855828,simple,9606,Homo sapiens,GSM1819219,GEO,SRA276791,04,2016,Oh,HEK293,DDX3 R534H ribosome profiling rep1,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,control,DDX3 R534H,GSM1819219
SRR2096967,27874521,1393726050,50,851,SRX1092015,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987646,SAMN03855829,simple,9606,Homo sapiens,GSM1819220,GEO,SRA276791,04,2016,Oh,HEK293,Rluc control ribosome profiling with sodium arsenite rep1,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,sodium arsenite,Rluc control,GSM1819220
SRR2096968,19408923,970446150,50,581,SRX1092016,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987645,SAMN03855830,simple,9606,Homo sapiens,GSM1819221,GEO,SRA276791,04,2016,Oh,HEK293,DDX3 WT ribosome profiling with sodium arsenite rep1,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,sodium arsenite,DDX3 WT,GSM1819221
SRR2096969,26932125,1346606250,50,823,SRX1092017,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987644,SAMN03855831,simple,9606,Homo sapiens,GSM1819222,GEO,SRA276791,04,2016,Oh,HEK293,DDX3 R534H ribosome profiling with sodium arsenite rep1,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,sodium arsenite,DDX3 R534H,GSM1819222
SRR2096970,32077723,1603886150,50,973,SRX1092018,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987643,SAMN03855832,simple,9606,Homo sapiens,GSM1819223,GEO,SRA276791,04,2016,Oh,HEK293,Rluc control ribosome profiling rep2,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,control,Rluc control,GSM1819223
SRR2096971,26066702,1303335100,50,782,SRX1092019,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987642,SAMN03855833,simple,9606,Homo sapiens,GSM1819224,GEO,SRA276791,04,2016,Oh,HEK293,DDX3 WT ribosome profiling rep2,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,control,DDX3 WT,GSM1819224
SRR2096972,20450140,1022507000,50,609,SRX1092020,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987641,SAMN03855834,simple,9606,Homo sapiens,GSM1819225,GEO,SRA276791,04,2016,Oh,HEK293,DDX3 R534H ribosome profiling rep2,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,control,DDX3 R534H,GSM1819225
SRR2096973,20927350,1046367500,50,624,SRX1092021,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP060676,PRJNA289569,27058758,"",SRS987640,SAMN03855835,simple,9606,Homo sapiens,GSM1819226,GEO,SRA276791,04,2016,Oh,HEK293,Rluc control ribosome profiling with sodium arsenite rep2,HEK293,Embryonic kidney,HEK293-Flp-In-T-Rex,female,sodium arsenite,Rluc control,GSM1819226
