Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,agent,time point,GEO Accession
SRR11548262,34078983,3441977283,101,1501,SRX8118312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483080,SAMN14600353,simple,9606,Homo sapiens,GSM4476721,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_untreated_01,HeLa cells,HeLa,untreated,untreated,GSM4476721
SRR11548263,30578483,3088426783,101,1345,SRX8118313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483081,SAMN14600352,simple,9606,Homo sapiens,GSM4476722,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_untreated_02,HeLa cells,HeLa,untreated,untreated,GSM4476722
SRR11548264,29475223,2976997523,101,1311,SRX8118314,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483082,SAMN14600351,simple,9606,Homo sapiens,GSM4476723,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_Penet_1hrs_01,HeLa cells,HeLa,Penetratin,1 hour,GSM4476723
SRR11548265,34529032,3487432232,101,1523,SRX8118315,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483083,SAMN14600350,simple,9606,Homo sapiens,GSM4476724,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_Penet_1hrs_02,HeLa cells,HeLa,Penetratin,1 hour,GSM4476724
SRR11548266,25712910,2597003910,101,1124,SRX8118316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483084,SAMN14600348,simple,9606,Homo sapiens,GSM4476725,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_Penet_4hrs_01,HeLa cells,HeLa,Penetratin,4 hours,GSM4476725
SRR11548267,35775636,3613339236,101,1563,SRX8118317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483085,SAMN14600346,simple,9606,Homo sapiens,GSM4476726,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_Penet_4hrs_02,HeLa cells,HeLa,Penetratin,4 hours,GSM4476726
SRR11548268,32887996,3321687596,101,1450,SRX8118318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483086,SAMN14600345,simple,9606,Homo sapiens,GSM4476727,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_PF14_4hrs_01,HeLa cells,HeLa,PF14,4 hours,GSM4476727
SRR11548269,44009618,4444971418,101,1938,SRX8118319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483087,SAMN14600344,simple,9606,Homo sapiens,GSM4476728,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_PF14_4hrs_02,HeLa cells,HeLa,PF14,4 hours,GSM4476728
SRR11548270,35610015,3596611515,101,1550,SRX8118320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483088,SAMN14600343,simple,9606,Homo sapiens,GSM4476729,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_mtCPP1_4hrs_01,HeLa cells,HeLa,mtCPP1,4 hours,GSM4476729
SRR11548271,30909368,3121846168,101,1347,SRX8118321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483089,SAMN14600342,simple,9606,Homo sapiens,GSM4476730,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_mtCPP1_4hrs_02,HeLa cells,HeLa,mtCPP1,4 hours,GSM4476730
SRR11548272,29758805,3005639305,101,1299,SRX8118322,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483090,SAMN14600341,simple,9606,Homo sapiens,GSM4476731,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_TP10_4hrs_01,HeLa cells,HeLa,TP10,4 hours,GSM4476731
SRR11548273,31766092,3208375292,101,1387,SRX8118323,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP256433,PRJNA625439,33213097,"",SRS6483091,SAMN14600340,simple,9606,Homo sapiens,GSM4476732,GEO,SRA1065546,07,2020,Venit,HeLa cells,Hela_TP10_4hrs_02,HeLa cells,HeLa,TP10,4 hours,GSM4476732
