Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,Sex,tissue,GEO Accession
SRR8156523,7507182,750718200,50,378,SRX4977426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015088,SAMN10374843,simple,10090,Mus musculus,GSM3455967,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,control exposure VNO IP rep1,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455967
SRR8156524,7660582,766058200,50,396,SRX4977426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015088,SAMN10374843,simple,10090,Mus musculus,GSM3455967,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,control exposure VNO IP rep1,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455968
SRR8156525,7173370,717337000,50,362,SRX4977427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015089,SAMN10374842,simple,10090,Mus musculus,GSM3455968,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,control exposure VNO IP rep2,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455969
SRR8156526,7328710,732871000,50,380,SRX4977427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015089,SAMN10374842,simple,10090,Mus musculus,GSM3455968,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,control exposure VNO IP rep2,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455970
SRR8156527,6905154,690515400,50,349,SRX4977428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015090,SAMN10374841,simple,10090,Mus musculus,GSM3455969,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,control exposure VNO IP rep3,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455971
SRR8156528,7069053,706905300,50,367,SRX4977428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015090,SAMN10374841,simple,10090,Mus musculus,GSM3455969,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,control exposure VNO IP rep3,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455972
SRR8156529,13558597,1355859700,50,799,SRX4977429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015091,SAMN10374840,simple,10090,Mus musculus,GSM3455970,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,pup exposure VNO IP rep1,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455967
SRR8156530,13639766,1363976600,50,803,SRX4977429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015091,SAMN10374840,simple,10090,Mus musculus,GSM3455970,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,pup exposure VNO IP rep1,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455968
SRR8156531,14178493,1417849300,50,835,SRX4977430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015092,SAMN10374839,simple,10090,Mus musculus,GSM3455971,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,pup exposure VNO IP rep2,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455969
SRR8156532,14279868,1427986800,50,841,SRX4977430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015092,SAMN10374839,simple,10090,Mus musculus,GSM3455971,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,pup exposure VNO IP rep2,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455970
SRR8156533,13630820,1363082000,50,807,SRX4977431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015093,SAMN10374838,simple,10090,Mus musculus,GSM3455972,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,pup exposure VNO IP rep3,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455971
SRR8156534,13748729,1374872900,50,813,SRX4977431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167832,PRJNA503820,30550786,"",SRS4015093,SAMN10374838,simple,10090,Mus musculus,GSM3455972,GEO,SRA802899,12,2018,Isogai,Vomeronasal organ,pup exposure VNO IP rep3,Vomeronasal organ,CD-1,male,Vomeronasal organ,GSM3455972
