Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,rna fraction,shRNA treatment,replicate,GEO Accession
SRR6841604,26746208,779690538,29,346,SRX3797431,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049489,SAMN08717857,simple,10090,Mus musculus,GSM3043640,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Ribosome-Protected Fragments - shCTL - Replicate A,B16 melanoma cell line,B16,melanoma cell line,Ribosome-protected fragments,shControl,A,GSM3043640
SRR6841605,28530369,810155236,28,361,SRX3797432,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049512,SAMN08717856,simple,10090,Mus musculus,GSM3043641,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Ribosome-Protected Fragments - shCTL - Replicate B,B16 melanoma cell line,B16,melanoma cell line,Ribosome-protected fragments,shControl,B,GSM3043641
SRR6841606,28749882,828591922,28,366,SRX3797433,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049490,SAMN08717855,simple,10090,Mus musculus,GSM3043642,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Ribosome-Protected Fragments - shCTL - Replicate C,B16 melanoma cell line,B16,melanoma cell line,Ribosome-protected fragments,shControl,C,GSM3043642
SRR6841607,27482279,791384157,28,351,SRX3797434,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049491,SAMN08717854,simple,10090,Mus musculus,GSM3043643,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Ribosome-Protected Fragments - sh309 - Replicate A,B16 melanoma cell line,B16,melanoma cell line,Ribosome-protected fragments,shELP3,A,GSM3043643
SRR6841608,31089580,885749399,28,394,SRX3797435,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049492,SAMN08717858,simple,10090,Mus musculus,GSM3043644,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Ribosome-Protected Fragments - sh309 - Replicate B,B16 melanoma cell line,B16,melanoma cell line,Ribosome-protected fragments,shELP3,B,GSM3043644
SRR6841609,31617013,871087196,27,393,SRX3797436,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049493,SAMN08717859,simple,10090,Mus musculus,GSM3043645,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Ribosome-Protected Fragments - sh309 - Replicate C,B16 melanoma cell line,B16,melanoma cell line,Ribosome-protected fragments,shELP3,C,GSM3043645
SRR6841610,30365051,1133718029,37,490,SRX3797437,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049494,SAMN08717860,simple,10090,Mus musculus,GSM3043646,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Total RNA - shCTL - Replicate A,B16 melanoma cell line,B16,melanoma cell line,Total RNA after rRNA depletion,shControl,A,GSM3043646
SRR6841611,26355967,1061897897,40,455,SRX3797438,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049495,SAMN08717861,simple,10090,Mus musculus,GSM3043647,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Total RNA - shCTL - Replicate B,B16 melanoma cell line,B16,melanoma cell line,Total RNA after rRNA depletion,shControl,B,GSM3043647
SRR6841612,28145139,1127253957,40,479,SRX3797439,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049496,SAMN08717862,simple,10090,Mus musculus,GSM3043648,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Total RNA - shCTL - Replicate C,B16 melanoma cell line,B16,melanoma cell line,Total RNA after rRNA depletion,shControl,C,GSM3043648
SRR6841613,30355192,1264375489,41,530,SRX3797440,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP135781,PRJNA438489,29925953,"",SRS3049497,SAMN08717863,simple,10090,Mus musculus,GSM3043649,GEO,SRA666803,06,2018,Rapino,B16 melanoma cell line,Total RNA - sh309 - Replicate A,B16 melanoma cell line,B16,melanoma cell line,Total RNA after rRNA depletion,shELP3,A,GSM3043649
