Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,photoactivatable ribonucleoside analog and crosslinking wavelength,antibody,strandedness,molecule subtype,spike-in,dsrna/rnai,GEO Accession
SRR6661158,42631483,2174205633,51,1286,SRX3638254,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904505,SAMN08450976,simple,7227,Drosophila melanogaster,GSM2975531,GEO,SRA654642,03,2020,Wessels,AGO1 HITSCLIP,AGO1 HITSCLIP replicate 1,AGO1 HITSCLIP,Schneider2 (S2) cells,254nm 400mJ/sqcm Spectrolinker,polyclonal anti-AGO1 (ab5070 Abcam),"stranded ++,-",AGO1-bound RNA fragments,,,GSM2975531
SRR6661159,42929880,2189423880,51,1295,SRX3638255,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904506,SAMN08450975,simple,7227,Drosophila melanogaster,GSM2975532,GEO,SRA654642,03,2020,Wessels,AGO1 HITSCLIP,AGO1 HITSCLIP replicate 2,AGO1 HITSCLIP,Schneider2 (S2) cells,254nm 400mJ/sqcm Spectrolinker,polyclonal anti-AGO1 (ab5070 Abcam),"stranded ++,-",AGO1-bound RNA fragments,,,GSM2975532
SRR6661160,40115395,2045885145,51,1231,SRX3638256,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904507,SAMN08450974,simple,7227,Drosophila melanogaster,GSM2975533,GEO,SRA654642,03,2020,Wessels,AGO1 PARCLIP,AGO1 PARCLIP replicate 1,AGO1 PARCLIP,Schneider2 (S2) cells,365nm 400mJ/sqcm Spectrolinker,polyclonal anti-AGO1 (ab5070 Abcam),"stranded ++,-",AGO1-bound RNA fragments,,,GSM2975533
SRR6661161,48237598,2460117498,51,1498,SRX3638257,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904508,SAMN08450973,simple,7227,Drosophila melanogaster,GSM2975534,GEO,SRA654642,03,2020,Wessels,AGO1 PARCLIP,AGO1 PARCLIP replicate 2,AGO1 PARCLIP,Schneider2 (S2) cells,365nm 400mJ/sqcm Spectrolinker,polyclonal anti-AGO1 (ab5070 Abcam),"stranded ++,-",AGO1-bound RNA fragments,,,GSM2975534
SRR6661162,9601549,729717724,76,250,SRX3638258,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904509,SAMN08450972,simple,7227,Drosophila melanogaster,GSM2975535,GEO,SRA654642,03,2020,Wessels,S2 cell (ExpressFive medium) smallRNA-seq,S2 cell (ExpressFive medium) smallRNA-seq replicate 1,S2 cell (ExpressFive medium) smallRNA-seq,Schneider2 (S2) cells,,,"stranded ++,-",5'-phosphorylated small RNAs,ERDN/SRQC spike-in,,GSM2975535
SRR6661163,13147397,999202172,76,347,SRX3638259,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904510,SAMN08451056,simple,7227,Drosophila melanogaster,GSM2975536,GEO,SRA654642,03,2020,Wessels,S2 cell (ExpressFive medium) smallRNA-seq,S2 cell (ExpressFive medium) smallRNA-seq replicate 2,S2 cell (ExpressFive medium) smallRNA-seq,Schneider2 (S2) cells,,,"stranded ++,-",5'-phosphorylated small RNAs,ERDN/SRQC spike-in,,GSM2975536
SRR6661164,13116521,996855596,76,344,SRX3638260,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904511,SAMN08451055,simple,7227,Drosophila melanogaster,GSM2975537,GEO,SRA654642,03,2020,Wessels,S2 cell (Schneider medium) smallRNA-seq,S2 cell (Schneider medium) smallRNA-seq replicate 1,S2 cell (Schneider medium) smallRNA-seq,Schneider2 (S2) cells,,,"stranded ++,-",5'-phosphorylated small RNAs,ERDN/SRQC spike-in,,GSM2975537
SRR6661165,11564841,878927916,76,305,SRX3638261,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131957,PRJNA432508,30967537,"",SRS2904518,SAMN08451054,simple,7227,Drosophila melanogaster,GSM2975538,GEO,SRA654642,03,2020,Wessels,S2 cell (Schneider medium) smallRNA-seq,S2 cell (Schneider medium) smallRNA-seq replicate 2,S2 cell (Schneider medium) smallRNA-seq,Schneider2 (S2) cells,,,"stranded ++,-",5'-phosphorylated small RNAs,ERDN/SRQC spike-in,,GSM2975538
SRR6661166,20525181,1559913756,76,521,SRX3638262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904512,SAMN08451053,simple,7227,Drosophila melanogaster,GSM2975539,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting mock-treated,S2 cell ribosomal footprinting mock-treated replicate 1,S2 cell ribosomal footprinting mock-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,,GSM2975539
SRR6661167,21043188,1599282288,76,524,SRX3638263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP131957,PRJNA432508,30967537,"",SRS2904513,SAMN08451052,simple,7227,Drosophila melanogaster,GSM2975540,GEO,SRA654642,03,2020,Wessels,S2 cell ribosomal footprinting mock-treated,S2 cell ribosomal footprinting mock-treated replicate 2,S2 cell ribosomal footprinting mock-treated,Schneider2 (S2) cells,,,"stranded ++,-",Ribosome-protected fragments,,,GSM2975540
