Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,fractions,GEO Accession
SRR6309599,93694689,28108406700,150,11518,SRX3409982,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703059,SAMN08045562,simple,9606,Homo sapiens,GSM2862007,GEO,SRA631997,01,2019,Zhang,HepG2,cell rep1,HepG2,HepG2,cell,GSM2862007
SRR6309600,77055274,23116582200,150,9880,SRX3409983,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703061,SAMN08045561,simple,9606,Homo sapiens,GSM2862008,GEO,SRA631997,01,2019,Zhang,HepG2,cell rep2,HepG2,HepG2,cell,GSM2862008
SRR6309601,86929994,26078998200,150,10547,SRX3409984,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703062,SAMN08045560,simple,9606,Homo sapiens,GSM2862009,GEO,SRA631997,01,2019,Zhang,HepG2,nucleus rep1,HepG2,HepG2,nucleus,GSM2862009
SRR6309602,78772418,23631725400,150,9588,SRX3409985,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703063,SAMN08045559,simple,9606,Homo sapiens,GSM2862010,GEO,SRA631997,01,2019,Zhang,HepG2,nucleus rep2,HepG2,HepG2,nucleus,GSM2862010
SRR6309603,103350553,31005165900,150,12504,SRX3409986,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703064,SAMN08045630,simple,9606,Homo sapiens,GSM2862011,GEO,SRA631997,01,2019,Zhang,HepG2,cytoplasm rep1,HepG2,HepG2,cytoplasm,GSM2862011
SRR6309604,78232367,23469710100,150,9534,SRX3409987,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703065,SAMN08045629,simple,9606,Homo sapiens,GSM2862012,GEO,SRA631997,01,2019,Zhang,HepG2,cytoplasm rep2,HepG2,HepG2,cytoplasm,GSM2862012
SRR6309605,96798805,29039641500,150,10420,SRX3409988,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703066,SAMN08045628,simple,9606,Homo sapiens,GSM2862013,GEO,SRA631997,01,2019,Zhang,HepG2,ribosome rep1,HepG2,HepG2,ribosome,GSM2862013
SRR6309606,70795628,21238688400,150,7317,SRX3409989,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703067,SAMN08045627,simple,9606,Homo sapiens,GSM2862014,GEO,SRA631997,01,2019,Zhang,HepG2,ribosome rep2,HepG2,HepG2,ribosome,GSM2862014
SRR6309607,94402455,28320736500,150,10074,SRX3409990,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703068,SAMN08045626,simple,9606,Homo sapiens,GSM2862015,GEO,SRA631997,01,2019,Zhang,HepG2,cytosol rep1,HepG2,HepG2,cytosol,GSM2862015
SRR6309608,104135791,31240737300,150,10306,SRX3409991,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703069,SAMN08045625,simple,9606,Homo sapiens,GSM2862016,GEO,SRA631997,01,2019,Zhang,HepG2,cytosol rep2,HepG2,HepG2,cytosol,GSM2862016
SRR6309609,123916234,37174870200,150,14474,SRX3409992,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703070,SAMN08045624,simple,9606,Homo sapiens,GSM2862017,GEO,SRA631997,01,2019,Zhang,HepG2,exosome rep1,HepG2,HepG2,exosome,GSM2862017
SRR6309610,131365444,39409633200,150,14767,SRX3409993,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703071,SAMN08045623,simple,9606,Homo sapiens,GSM2862018,GEO,SRA631997,01,2019,Zhang,HepG2,exosome rep2,HepG2,HepG2,exosome,GSM2862018
SRR6309611,74972975,22491892500,150,8535,SRX3409994,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP125321,PRJNA419198,30614753,"",SRS2703072,SAMN08045622,simple,9606,Homo sapiens,GSM2862019,GEO,SRA631997,01,2019,Zhang,HepG2,mitochondria rep1,HepG2,HepG2,mitochondria,GSM2862019
