Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,BioSampleModel,strain,host,isolation_source,collection_date,geo_loc_name,sample_type
SRR21672345,21215675,1803332375,85,733,SRX17670678,iCLIP2,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503300,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672343,4862371,437613390,90,168,SRX17670679,novel6,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503300,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672344,27972919,2377698115,85,952,SRX17670680,novel1-4,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503300,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672346,6404241,576381690,90,220,SRX17670681,novel5,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503300,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672342,5110346,459931140,90,174,SRX17670682,novel7,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503300,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672341,5879560,529160400,90,202,SRX17670683,novel8,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503300,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672360,3258511,293265990,90,123,SRX17670692,D5pmol,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503307,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672359,3226525,290387250,90,115,SRX17670693,D2pmol,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503307,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672358,4016166,361454940,90,143,SRX17670694,D1pmol,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503307,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672357,5220067,469806030,90,190,SRX17670695,D0.5pmol,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503307,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672356,4525699,407312910,90,158,SRX17670696,D0.2pmol,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503307,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672355,5514521,496306890,90,190,SRX17670697,D0.1pmol,RNA-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1503307,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR21672387,74387700,3793772700,51,1046,SRX17670721,WT1 Kim et al.,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398611,PRJNA883055,1,"",SRS15202700,SAMN30959045,simple,9606,Homo sapiens,HEK293 cultured cells,University of Regensburg,SRA1503318,05,2023,Makar,"","",-,-,-,-,-,HEK293,Human,,,,,,
SRR21672386,90538217,4617449067,51,1261,SRX17670722,WT2 Kim et al.,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398611,PRJNA883055,1,"",SRS15202700,SAMN30959045,simple,9606,Homo sapiens,HEK293 cultured cells,University of Regensburg,SRA1503318,05,2023,Makar,"","",-,-,-,-,-,HEK293,Human,,,,,,
SRR21672385,84548500,4311973500,51,1212,SRX17670723,WT1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398611,PRJNA883055,1,"",SRS15202700,SAMN30959045,simple,9606,Homo sapiens,HEK293 cultured cells,University of Regensburg,SRA1503318,05,2023,Makar,"","",-,-,-,-,-,HEK293,Human,,,,,,
SRR21672384,45480803,2319520953,51,663,SRX17670724,WT2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398611,PRJNA883055,1,"",SRS15202700,SAMN30959045,simple,9606,Homo sapiens,HEK293 cultured cells,University of Regensburg,SRA1503318,05,2023,Makar,"","",-,-,-,-,-,HEK293,Human,,,,,,
SRR21672391,7689305,692037450,90,276,SRX17670726,replicate 1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202702,SAMN30959502,simple,4932,Saccharomyces cerevisiae,"S.cerevisiae, strain BY4742",University of Regensburg,SRA1503319,05,2023,Makar,"","",-,,,,,,"Microbe, viral or environmental",BY4742,-,-,-,-,-
SRR21672390,7934019,714061710,90,285,SRX17670727,replicate 2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202702,SAMN30959502,simple,4932,Saccharomyces cerevisiae,"S.cerevisiae, strain BY4742",University of Regensburg,SRA1503319,05,2023,Makar,"","",-,,,,,,"Microbe, viral or environmental",BY4742,-,-,-,-,-
SRR21672389,9181185,826306650,90,334,SRX17670728,replicate 3,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP398611,PRJNA883055,1,"",SRS15202702,SAMN30959502,simple,4932,Saccharomyces cerevisiae,"S.cerevisiae, strain BY4742",University of Regensburg,SRA1503319,05,2023,Makar,"","",-,,,,,,"Microbe, viral or environmental",BY4742,-,-,-,-,-
SRR23944919,57684278,4730110796,82,1515,SRX19754032,McGlincy0.1pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944918,30553726,2505405532,82,813,SRX19754033,McGlincy0.2pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944917,41642864,3414714848,82,1020,SRX19754034,Meindl2pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944916,17939536,1471041952,82,439,SRX19754035,Meindl5pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944915,39881840,3270310880,82,1028,SRX19754036,McGlincy0.5pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944914,28654735,2349688270,82,736,SRX19754037,McGlincy1pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944913,33307082,2731180724,82,826,SRX19754038,McGlincy2pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944912,45601837,3739350634,82,1139,SRX19754039,McGlincy5pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944911,115929927,9506254014,82,2870,SRX19754040,Meindl0.1pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944910,52290003,4287780246,82,1274,SRX19754041,Meindl0.2pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944909,223875297,18357774354,82,5498,SRX19754042,Meindl0.5pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
SRR23944908,104694356,8584937192,82,2556,SRX19754043,Meindl1pmol,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP398611,PRJNA883055,1,"",SRS15202687,SAMN30959040,simple,9606,Homo sapiens,K562 cultured cells,University of Regensburg,SRA1609590,05,2023,Makar,"","",-,-,-,-,-,K562,Human,,,,,,
