Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,clip antibody,treatment,molecule subtype,GEO Accession
SRR14327719,23490427,3570544904,76,1256,SRX10682594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775749,SAMN18875506,simple,10090,Mus musculus,GSM5266646,GEO,SRA1224048,06,2022,Liu,4T1,RNA-Seq_Scr-LNA_1,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,total RNA,GSM5266646
SRR14327720,23107310,3512311120,76,1238,SRX10682595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775750,SAMN18875505,simple,10090,Mus musculus,GSM5266647,GEO,SRA1224048,06,2022,Liu,4T1,RNA-Seq_Scr-LNA_2,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,total RNA,GSM5266647
SRR14327721,20581801,3128433752,76,1158,SRX10682596,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775751,SAMN18875504,simple,10090,Mus musculus,GSM5266648,GEO,SRA1224048,06,2022,Liu,4T1,RNA-Seq_Scr-LNA_3,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,total RNA,GSM5266648
SRR14327722,23123891,3514831432,76,1232,SRX10682597,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775752,SAMN18875503,simple,10090,Mus musculus,GSM5266649,GEO,SRA1224048,06,2022,Liu,4T1,RNA-Seq_5'-Cys-LNA1_1,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,total RNA,GSM5266649
SRR14327723,21108897,3208552344,76,1132,SRX10682598,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775753,SAMN18875502,simple,10090,Mus musculus,GSM5266650,GEO,SRA1224048,06,2022,Liu,4T1,RNA-Seq_5'-Cys-LNA1_2,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,total RNA,GSM5266650
SRR14327724,23444589,3563577528,76,1254,SRX10682599,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775754,SAMN18875501,simple,10090,Mus musculus,GSM5266651,GEO,SRA1224048,06,2022,Liu,4T1,RNA-Seq_5'-Cys-LNA1_3,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,total RNA,GSM5266651
SRR14327725,53015634,1800867608,33,775,SRX10682600,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775755,SAMN18875500,simple,10090,Mus musculus,GSM5266652,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_Scr-LNA_1,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,ribosome protected fragment,GSM5266652
SRR14327726,33665466,1141099699,33,493,SRX10682601,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775756,SAMN18875499,simple,10090,Mus musculus,GSM5266653,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_Scr-LNA_2,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,ribosome protected fragment,GSM5266653
SRR14327727,36598285,1232543275,33,534,SRX10682602,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775757,SAMN18875498,simple,10090,Mus musculus,GSM5266654,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_Scr-LNA_3,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,ribosome protected fragment,GSM5266654
SRR14327728,32682638,1112070732,34,480,SRX10682603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775758,SAMN18875497,simple,10090,Mus musculus,GSM5266655,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_Scr-LNA_4,4T1,4T1,breast cancer cells,NA,transfected with Scr-LNA,ribosome protected fragment,GSM5266655
SRR14327729,41863859,1408683948,33,609,SRX10682604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775759,SAMN18875496,simple,10090,Mus musculus,GSM5266656,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_5'-Cys-LNA1_1,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,ribosome protected fragment,GSM5266656
SRR14327730,41978005,1424664233,33,615,SRX10682605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775760,SAMN18875495,simple,10090,Mus musculus,GSM5266657,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_5'-Cys-LNA1_2,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,ribosome protected fragment,GSM5266657
SRR14327731,30244875,1027090117,33,442,SRX10682606,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775761,SAMN18875494,simple,10090,Mus musculus,GSM5266658,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_5'-Cys-LNA1_3,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,ribosome protected fragment,GSM5266658
SRR14327732,32712518,1111419410,33,479,SRX10682607,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316437,PRJNA725264,35654044,"",SRS8775762,SAMN18875493,simple,10090,Mus musculus,GSM5266659,GEO,SRA1224048,06,2022,Liu,4T1,Ribo-Seq_5'-Cys-LNA1_4,4T1,4T1,breast cancer cells,NA,transfected with 5-Cys-LNA1,ribosome protected fragment,GSM5266659
SRR14327733,16973486,2495102442,147,1034,SRX10682608,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP316437,PRJNA725264,35654044,"",SRS8775763,SAMN18875522,simple,10090,Mus musculus,GSM5266660,GEO,SRA1224048,06,2022,Liu,4T1,Ncl-CLIP_Scr-LNA_1,4T1,4T1,breast cancer cells,Nucleolin,transfected with Scr-LNA,crosslinked RNA,GSM5266660
