Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,clip-antibody,GEO Accession
SRR2126510,21330185,1087839435,51,491,SRX1117786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010953,SAMN03922769,simple,10090,Mus musculus,GSM1832719,GEO,SRA280016,04,2016,Bennett,keratinocytes,"Ribo-Seq, Scrambled shRNA, rep.1",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832719
SRR2126511,30971905,1579567155,51,706,SRX1117787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010952,SAMN03922770,simple,10090,Mus musculus,GSM1832720,GEO,SRA280016,04,2016,Bennett,keratinocytes,"Ribo-Seq, Scrambled shRNA, rep.2",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832720
SRR2126512,14418386,735337686,51,326,SRX1117788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010951,SAMN03922771,simple,10090,Mus musculus,GSM1832721,GEO,SRA280016,04,2016,Bennett,keratinocytes,"Ribo-Seq, Scrambled shRNA, rep.3",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832721
SRR2126513,38448389,1960867839,51,864,SRX1117789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010950,SAMN03922772,simple,10090,Mus musculus,GSM1832722,GEO,SRA280016,04,2016,Bennett,keratinocytes,"Ribo-Seq, Msi2 shRNA, rep.1",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832722
SRR2126514,21734079,1108438029,51,489,SRX1117790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010948,SAMN03922773,simple,10090,Mus musculus,GSM1832723,GEO,SRA280016,04,2016,Bennett,keratinocytes,"Ribo-Seq, Msi2 shRNA, rep.2",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832723
SRR2126515,25236826,1287078126,51,574,SRX1117791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010949,SAMN03922774,simple,10090,Mus musculus,GSM1832724,GEO,SRA280016,04,2016,Bennett,keratinocytes,"Ribo-Seq, Msi2 shRNA, rep.3",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832724
SRR2126516,18678045,952580295,51,317,SRX1117792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010947,SAMN03922775,simple,10090,Mus musculus,GSM1832725,GEO,SRA280016,04,2016,Bennett,keratinocytes,"RNA-Seq, Msi2 shRNA, rep.1",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832725
SRR2126517,25786006,1315086306,51,434,SRX1117793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010946,SAMN03922776,simple,10090,Mus musculus,GSM1832726,GEO,SRA280016,04,2016,Bennett,keratinocytes,"RNA-Seq, Msi2 shRNA, rep.2",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832726
SRR2126518,56068489,2859492939,51,938,SRX1117794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010954,SAMN03922777,simple,10090,Mus musculus,GSM1832727,GEO,SRA280016,04,2016,Bennett,keratinocytes,"RNA-Seq, Msi2 shRNA, rep.3",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832727
SRR2126519,34915136,1780671936,51,589,SRX1117795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061564,PRJNA290912,27034466,"",SRS1010945,SAMN03922778,simple,10090,Mus musculus,GSM1832728,GEO,SRA280016,04,2016,Bennett,keratinocytes,"RNA-Seq, Scrambled shRNA, rep.1",keratinocytes,Spontaneously Immortalized Mouse Keratinocyte Culture,C57BL/6,,GSM1832728
