Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,mouse strain,passage,cell type,genotype,transduction,GEO Accession
SRR12507487,100389803,5019490150,50,1555,SRX8998523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251304,SAMN15893577,simple,10090,Mus musculus,GSM4743445,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RNAseq_WT_shSCR_replicate_1,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shSCR,GSM4743445
SRR12507488,57328700,2866435000,50,891,SRX8998524,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251305,SAMN15893588,simple,10090,Mus musculus,GSM4743446,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RNAseq_WT_shSCR_replicate_2,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shSCR,GSM4743446
SRR12507489,78414960,3920748000,50,1234,SRX8998525,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251306,SAMN15893587,simple,10090,Mus musculus,GSM4743447,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RNAseq_WT_shARF_replicate_1,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shARF,GSM4743447
SRR12507490,92553350,4627667500,50,1435,SRX8998526,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251307,SAMN15893586,simple,10090,Mus musculus,GSM4743448,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RNAseq_WT_shARF_replicate_2,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shARF,GSM4743448
SRR12507491,88611115,4430555750,50,1385,SRX8998527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251308,SAMN15893585,simple,10090,Mus musculus,GSM4743449,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RNAseq_ArfKO_shSCR_replicate_1,embryonic fibroblast,B6.129X1-Cdkn2atm1Cjs/KaiJ,4,embryonic fibroblast,ArfKO,shSCR,GSM4743449
SRR12507492,114096368,5704818400,50,1792,SRX8998528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251309,SAMN15893584,simple,10090,Mus musculus,GSM4743450,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RNAseq_ArfKO_shSCR_replicate_2,embryonic fibroblast,B6.129X1-Cdkn2atm1Cjs/KaiJ,4,embryonic fibroblast,ArfKO,shSCR,GSM4743450
SRR12507493,56167192,2808359600,50,859,SRX8998529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251310,SAMN15893583,simple,10090,Mus musculus,GSM4743451,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RiboSeq_WT_shSCR_replicate_1,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shSCR,GSM4743451
SRR12507494,37474465,1873723250,50,567,SRX8998530,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251311,SAMN15893582,simple,10090,Mus musculus,GSM4743452,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RiboSeq_WT_shSCR_replicate_2,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shSCR,GSM4743452
SRR12507495,42269172,2113458600,50,645,SRX8998531,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251312,SAMN15893581,simple,10090,Mus musculus,GSM4743453,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RiboSeq_WT_shARF_replicate_1,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shARF,GSM4743453
SRR12507496,53178568,2658928400,50,810,SRX8998532,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP278615,PRJNA658965,33335292,"",SRS7251313,SAMN15893580,simple,10090,Mus musculus,GSM4743454,GEO,SRA1116403,12,2020,Cottrell,embryonic fibroblast,RiboSeq_WT_shARF_replicate_2,embryonic fibroblast,C57BL/6J,4,embryonic fibroblast,WT,shARF,GSM4743454
