Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,pairing type,social condition,timepoint
SRR17335413,6595617,501266892,76,193,SRX13510735,GSM5754164,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404976,SAMN24439541,simple,79684,Microtus ochrogaster,GSM5754164,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2756,Nucleus accumbens,same-sex,Paired,48 hours
SRR17335414,7970293,605742268,76,233,SRX13510735,GSM5754164,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404976,SAMN24439541,simple,79684,Microtus ochrogaster,GSM5754164,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2756,Nucleus accumbens,same-sex,Paired,48 hours
SRR17335415,7957508,604770608,76,231,SRX13510735,GSM5754164,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404976,SAMN24439541,simple,79684,Microtus ochrogaster,GSM5754164,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2756,Nucleus accumbens,same-sex,Paired,48 hours
SRR17335410,5943686,451720136,76,174,SRX13510736,GSM5754165,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404978,SAMN24439540,simple,79684,Microtus ochrogaster,GSM5754165,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2766,Nucleus accumbens,same-sex,Paired,48 hours
SRR17335411,7399980,562398480,76,216,SRX13510736,GSM5754165,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404978,SAMN24439540,simple,79684,Microtus ochrogaster,GSM5754165,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2766,Nucleus accumbens,same-sex,Paired,48 hours
SRR17335412,7385844,561324144,76,215,SRX13510736,GSM5754165,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404978,SAMN24439540,simple,79684,Microtus ochrogaster,GSM5754165,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2766,Nucleus accumbens,same-sex,Paired,48 hours
SRR17335407,6091645,462965020,76,178,SRX13510737,GSM5754166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404977,SAMN24439539,simple,79684,Microtus ochrogaster,GSM5754166,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2887,Nucleus accumbens,same-sex,Separated,48 hours
SRR17335408,5954324,452528624,76,173,SRX13510737,GSM5754166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404977,SAMN24439539,simple,79684,Microtus ochrogaster,GSM5754166,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2887,Nucleus accumbens,same-sex,Separated,48 hours
SRR17335409,5961255,453055380,76,173,SRX13510737,GSM5754166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404977,SAMN24439539,simple,79684,Microtus ochrogaster,GSM5754166,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2887,Nucleus accumbens,same-sex,Separated,48 hours
SRR17335404,5151054,391480104,76,150,SRX13510738,GSM5754167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP352580,PRJNA792575,36852906,"",SRS11404979,SAMN24439538,simple,79684,Microtus ochrogaster,GSM5754167,"Zoe Donaldson, MCDB, University of Colorado Boulder",SRA1349226,04,2023,Sadino,Nucleus accumbens,2911,Nucleus accumbens,same-sex,Separated,48 hours
