Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,growth_condition,assay,tissue,GEO Accession
SRR12228381,56944081,2904148131,51,978,SRX8736970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009681,SAMN15543348,simple,5476,Candida albicans,GSM4672120,GEO,SRA1099370,12,2020,Mundodi,fungal cells,ribo_30C_1,fungal cells,YEPD at 30°C,Ribo,fungal cells,GSM4672120
SRR12228382,66648535,3399075285,51,1272,SRX8736971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009578,SAMN15543347,simple,5476,Candida albicans,GSM4672121,GEO,SRA1099370,12,2020,Mundodi,fungal cells,ribo_30C_2,fungal cells,YEPD at 30°C,Ribo,fungal cells,GSM4672121
SRR12228383,79018028,4029919428,51,1442,SRX8736972,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009579,SAMN15543346,simple,5476,Candida albicans,GSM4672122,GEO,SRA1099370,12,2020,Mundodi,fungal cells,ribo_30C_3,fungal cells,YEPD at 30°C,Ribo,fungal cells,GSM4672122
SRR12228384,197322254,10063434954,51,3699,SRX8736973,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009580,SAMN15543345,simple,5476,Candida albicans,GSM4672123,GEO,SRA1099370,12,2020,Mundodi,fungal cells,ribo_37C_1,fungal cells,YEPD + serum at 37°C,Ribo,fungal cells,GSM4672123
SRR12228385,234321427,11950392777,51,4526,SRX8736974,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009581,SAMN15543344,simple,5476,Candida albicans,GSM4672124,GEO,SRA1099370,12,2020,Mundodi,fungal cells,ribo_37C_2,fungal cells,YEPD + serum at 37°C,Ribo,fungal cells,GSM4672124
SRR12228386,625524379,31901743329,51,12306,SRX8736975,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009582,SAMN15543343,simple,5476,Candida albicans,GSM4672125,GEO,SRA1099370,12,2020,Mundodi,fungal cells,ribo_37C_3,fungal cells,YEPD + serum at 37°C,Ribo,fungal cells,GSM4672125
SRR12228387,64129455,3270602205,51,1163,SRX8736976,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009583,SAMN15543342,simple,5476,Candida albicans,GSM4672126,GEO,SRA1099370,12,2020,Mundodi,fungal cells,rna_30C_1,fungal cells,YEPD at 30°C,RNA,fungal cells,GSM4672126
SRR12228388,32462411,1655582961,51,659,SRX8736977,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009584,SAMN15543341,simple,5476,Candida albicans,GSM4672127,GEO,SRA1099370,12,2020,Mundodi,fungal cells,rna_30C_2,fungal cells,YEPD at 30°C,RNA,fungal cells,GSM4672127
SRR12228389,18904840,964146840,51,365,SRX8736978,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009585,SAMN15543340,simple,5476,Candida albicans,GSM4672128,GEO,SRA1099370,12,2020,Mundodi,fungal cells,rna_30C_3,fungal cells,YEPD at 30°C,RNA,fungal cells,GSM4672128
SRR12228390,67002150,3417109650,51,1186,SRX8736979,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009586,SAMN15543339,simple,5476,Candida albicans,GSM4672129,GEO,SRA1099370,12,2020,Mundodi,fungal cells,rna_37C_1,fungal cells,YEPD + serum at 37°C,RNA,fungal cells,GSM4672129
SRR12228391,53792500,2743417500,51,1083,SRX8736980,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009587,SAMN15543338,simple,5476,Candida albicans,GSM4672130,GEO,SRA1099370,12,2020,Mundodi,fungal cells,rna_37C_2,fungal cells,YEPD + serum at 37°C,RNA,fungal cells,GSM4672130
SRR12228392,113032543,5764659693,51,2400,SRX8736981,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP272074,PRJNA646470,33585865,"",SRS7009588,SAMN15543337,simple,5476,Candida albicans,GSM4672131,GEO,SRA1099370,12,2020,Mundodi,fungal cells,rna_37C_3,fungal cells,YEPD + serum at 37°C,RNA,fungal cells,GSM4672131
