Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,cell type,genotype,treatment
SRR22382776,48768976,7412884352,76,2897,SRX18352957,GSM6752811,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840467,SAMN31840654,simple,10090,Mus musculus,GSM6752811,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,NPAS Positive biol rep 1,ventral pallidum,ventral pallidum,male,NPAS+ VP,Npas-Cre::Rpl22HA,Npas-Cre:: Ribotag Mouse Line
SRR22382775,40882871,6214196392,76,2455,SRX18352958,GSM6752812,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840466,SAMN31840653,simple,10090,Mus musculus,GSM6752812,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,NPAS Positive biol rep 2,ventral pallidum,ventral pallidum,male,NPAS+ VP,Npas-Cre::Rpl22HA,Npas-Cre:: Ribotag Mouse Line
SRR22382774,48268683,7336839816,76,2862,SRX18352959,GSM6752813,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840468,SAMN31840652,simple,10090,Mus musculus,GSM6752813,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,NPAS Positive biol rep 3,ventral pallidum,ventral pallidum,male,NPAS+ VP,Npas-Cre::Rpl22HA,Npas-Cre:: Ribotag Mouse Line
SRR22382773,46413394,7054835888,76,2801,SRX18352960,GSM6752814,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840469,SAMN31840651,simple,10090,Mus musculus,GSM6752814,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,NPAS Positive biol rep 4,ventral pallidum,ventral pallidum,male,NPAS+ VP,Npas-Cre::Rpl22HA,Npas-Cre:: Ribotag Mouse Line
SRR22382772,55186750,8388386000,76,3354,SRX18352961,GSM6752815,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840470,SAMN31840650,simple,10090,Mus musculus,GSM6752815,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,Control VP biol rep 1,ventral pallidum,ventral pallidum,male,Bulk VP: Control VP,Rpl22HA,AAV-Rg-Cre and Ribotag Mouse Line
SRR22382771,46349450,7045116400,76,2750,SRX18352962,GSM6752816,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840471,SAMN31840649,simple,10090,Mus musculus,GSM6752816,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,Control VP biol rep 2,ventral pallidum,ventral pallidum,male,Bulk VP: Control VP,Rpl22HA,AAV-Rg-Cre and Ribotag Mouse Line
SRR22382770,49504325,7524657400,76,2977,SRX18352963,GSM6752817,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840472,SAMN31840648,simple,10090,Mus musculus,GSM6752817,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,Control VP biol rep 3,ventral pallidum,ventral pallidum,male,Bulk VP: Control VP,Rpl22HA,AAV-Rg-Cre and Ribotag Mouse Line
SRR22382769,42571466,6470862832,76,2458,SRX18352964,GSM6752818,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840473,SAMN31840647,simple,10090,Mus musculus,GSM6752818,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,Control VP biol rep 4,ventral pallidum,ventral pallidum,male,Bulk VP: Control VP,Rpl22HA,AAV-Rg-Cre and Ribotag Mouse Line
SRR22382768,47015703,7146386856,76,2811,SRX18352965,GSM6752819,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840474,SAMN31840646,simple,10090,Mus musculus,GSM6752819,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,Habneula Projecting VP Biol rep 1,ventral pallidum,ventral pallidum,male,Hb Proj VP,Rpl22HA,AAV-Rg-Cre and Ribotag Mouse Line
SRR22382767,37364389,5679387128,76,2531,SRX18352966,GSM6752820,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP409281,PRJNA904347,1,"",SRS15840475,SAMN31840645,simple,10090,Mus musculus,GSM6752820,Institute for Genome Sciences,SRA1545608,11,2022,Makar,ventral pallidum,Habneula Projecting VP Biol rep 2,ventral pallidum,ventral pallidum,male,Hb Proj VP,Rpl22HA,AAV-Rg-Cre and Ribotag Mouse Line
