Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,reporter,genotype,footprint library type,GEO Accession
SRR17017190,70387633,7038763300,100,1948,SRX13207264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133367,SAMN23407584,simple,4932,Saccharomyces cerevisiae,GSM5701072,GEO,SRA1333717,08,2022,Veltri,wt_non_di_r1,wt_non_di_r1,wt_non_di_r1,minNONOPT,wild type,disome,GSM5701072
SRR17017191,45752786,4575278600,100,1275,SRX13207265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133370,SAMN23407585,simple,4932,Saccharomyces cerevisiae,GSM5701073,GEO,SRA1333717,08,2022,Veltri,wt_non_di_r2,wt_non_di_r2,wt_non_di_r2,minNONOPT,wild type,disome,GSM5701073
SRR17017192,52507675,5250767500,100,1453,SRX13207266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133368,SAMN23407586,simple,4932,Saccharomyces cerevisiae,GSM5701074,GEO,SRA1333717,08,2022,Veltri,wt_cga_di_r1,wt_cga_di_r1,wt_cga_di_r1,minCGA,wild type,disome,GSM5701074
SRR17017193,47319303,4731930300,100,1326,SRX13207267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133369,SAMN23407587,simple,4932,Saccharomyces cerevisiae,GSM5701075,GEO,SRA1333717,08,2022,Veltri,wt_cga_di_r2,wt_cga_di_r2,wt_cga_di_r2,minCGA,wild type,disome,GSM5701075
SRR17017194,60383409,6038340900,100,1680,SRX13207268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133371,SAMN23407588,simple,4932,Saccharomyces cerevisiae,GSM5701076,GEO,SRA1333717,08,2022,Veltri,hel2_cga_di_r1,hel2_cga_di_r1,hel2_cga_di_r1,minCGA,hel2delta,disome,GSM5701076
SRR17017195,78433951,7843395100,100,2179,SRX13207269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133372,SAMN23407589,simple,4932,Saccharomyces cerevisiae,GSM5701077,GEO,SRA1333717,08,2022,Veltri,hel2_cga_di_r2,hel2_cga_di_r2,hel2_cga_di_r2,minCGA,hel2delta,disome,GSM5701077
SRR17017174,66630571,3398159121,51,1301,SRX13207270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP347428,PRJNA782905,35894211,"",SRS11133373,SAMN23407566,simple,4932,Saccharomyces cerevisiae,GSM5701056,GEO,SRA1333717,08,2022,Veltri,wt_opt_mono_r1,wt_opt_mono_r1,wt_opt_mono_r1,minOPT,wild type,monosome,GSM5701056
SRR17017175,45595709,4559570900,100,1302,SRX13207271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133374,SAMN23407568,simple,4932,Saccharomyces cerevisiae,GSM5701057,GEO,SRA1333717,08,2022,Veltri,wt_opt_mono_r2,wt_opt_mono_r2,wt_opt_mono_r2,minOPT,wild type,monosome,GSM5701057
SRR17017176,47448549,2419875999,51,919,SRX13207272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP347428,PRJNA782905,35894211,"",SRS11133375,SAMN23407570,simple,4932,Saccharomyces cerevisiae,GSM5701058,GEO,SRA1333717,08,2022,Veltri,wt_non_mono_r1,wt_non_mono_r1,wt_non_mono_r1,minNONOPT,wild type,monosome,GSM5701058
SRR17017177,56822480,5682248000,100,1619,SRX13207273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347428,PRJNA782905,35894211,"",SRS11133376,SAMN23407571,simple,4932,Saccharomyces cerevisiae,GSM5701059,GEO,SRA1333717,08,2022,Veltri,wt_non_mono_r2,wt_non_mono_r2,wt_non_mono_r2,minNONOPT,wild type,monosome,GSM5701059
