Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype,tissue,GEO Accession
SRR11218272,192661005,9825711255,51,3905,SRX7830448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241097,SAMN14266701,simple,10090,Mus musculus,GSM4371534,GEO,SRA538456,03,2020,Wang,E15.5_Kidney_Ribo,E15.5_Kidney_Ribo_rep1,E15.5_Kidney_Ribo,C57BL/6,Embryonic day 15.5,wild type,Kidney,GSM4371534
SRR11218273,107256833,5470098483,51,1831,SRX7830449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241098,SAMN14266700,simple,10090,Mus musculus,GSM4371536,GEO,SRA538456,03,2020,Wang,E15.5_Kidney_Ribo,E15.5_Kidney_Ribo_rep2,E15.5_Kidney_Ribo,C57BL/6,Embryonic day 15.5,wild type,Kidney,GSM4371536
SRR11218256,36467042,1859819142,51,681,SRX7830450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241099,SAMN14266693,simple,10090,Mus musculus,GSM4371495,GEO,SRA538456,03,2020,Wang,E15.5_Brain_mRNA,E15.5_Brain_mRNA_rep1,E15.5_Brain_mRNA,C57BL/6,Embryonic day 15.5,wild type,Brain,GSM4371495
SRR11218257,42515490,2168289990,51,798,SRX7830451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241100,SAMN14266692,simple,10090,Mus musculus,GSM4371498,GEO,SRA538456,03,2020,Wang,E15.5_Brain_mRNA,E15.5_Brain_mRNA_rep2,E15.5_Brain_mRNA,C57BL/6,Embryonic day 15.5,wild type,Brain,GSM4371498
SRR11218258,58587030,2987938530,51,1131,SRX7830452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241101,SAMN14266691,simple,10090,Mus musculus,GSM4371500,GEO,SRA538456,03,2020,Wang,E15.5_Heart_mRNA,E15.5_Heart_mRNA_rep1,E15.5_Heart_mRNA,C57BL/6,Embryonic day 15.5,wild type,Heart,GSM4371500
SRR11218259,49663316,2532829116,51,961,SRX7830453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241102,SAMN14266681,simple,10090,Mus musculus,GSM4371503,GEO,SRA538456,03,2020,Wang,E15.5_Heart_mRNA,E15.5_Heart_mRNA_rep2,E15.5_Heart_mRNA,C57BL/6,Embryonic day 15.5,wild type,Heart,GSM4371503
SRR11218260,37619882,1918613982,51,707,SRX7830454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241103,SAMN14266680,simple,10090,Mus musculus,GSM4371505,GEO,SRA538456,03,2020,Wang,E15.5_Kidney_mRNA,E15.5_Kidney_mRNA_rep1,E15.5_Kidney_mRNA,C57BL/6,Embryonic day 15.5,wild type,Kidney,GSM4371505
SRR11218261,38672491,1972297041,51,726,SRX7830455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241104,SAMN14266679,simple,10090,Mus musculus,GSM4371507,GEO,SRA538456,03,2020,Wang,E15.5_Kidney_mRNA,E15.5_Kidney_mRNA_rep2,E15.5_Kidney_mRNA,C57BL/6,Embryonic day 15.5,wild type,Kidney,GSM4371507
SRR11218262,54762736,2738136800,50,879,SRX7830456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241105,SAMN14266678,simple,10090,Mus musculus,GSM4371510,GEO,SRA538456,03,2020,Wang,E15.5_Liver_mRNA,E15.5_Liver_mRNA_rep1,E15.5_Liver_mRNA,C57BL/6,Embryonic day 15.5,wild type,Liver,GSM4371510
SRR11218263,52415094,2620754700,50,845,SRX7830457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP100063,PRJNA375080,34107020,"",SRS6241106,SAMN14266677,simple,10090,Mus musculus,GSM4371513,GEO,SRA538456,03,2020,Wang,E15.5_Liver_mRNA,E15.5_Liver_mRNA_rep2,E15.5_Liver_mRNA,C57BL/6,Embryonic day 15.5,wild type,Liver,GSM4371513
