Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype,age,tissue,molecule subtype,GEO Accession
SRR11050314,53593329,8146186008,76,3262,SRX7700276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124546,SAMN14073909,simple,10090,Mus musculus,GSM4304086,GEO,SRA1040368,02,2020,Makar,Rpl-249-ChAT-Cre_spinal cord,Rpl-249-ChAT-Cre-17409-7,Rpl-249-ChAT-Cre_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/-;P278KY+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304086
SRR11050315,56305405,8558421560,76,3443,SRX7700277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124547,SAMN14073908,simple,10090,Mus musculus,GSM4304087,GEO,SRA1040368,02,2020,Makar,Rpl-ChAT-Cre_spinal cord,Rpl-ChAT-Cre-17410-2,Rpl-ChAT-Cre_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/-;P278KY+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304087
SRR11050316,47838887,7271510824,76,2925,SRX7700278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124548,SAMN14073907,simple,10090,Mus musculus,GSM4304088,GEO,SRA1040368,02,2020,Makar,Rpl-ChAT-Cre_spinal cord,Rpl-ChAT-Cre-18402-5,Rpl-ChAT-Cre_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/-;P278KY+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304088
SRR11050317,42536774,6465589648,76,2561,SRX7700279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124551,SAMN14073839,simple,10090,Mus musculus,GSM4304089,GEO,SRA1040368,02,2020,Makar,NegCtrl-WT_spinal cord,NegCtrl-WT-17410-3,NegCtrl-WT_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/+;P278KY+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304089
SRR11050318,37356940,5678254880,76,2241,SRX7700280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124549,SAMN14073838,simple,10090,Mus musculus,GSM4304090,GEO,SRA1040368,02,2020,Makar,NegCtrl-WT_spinal cord,NegCtrl-WT-17408-4,NegCtrl-WT_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/+;P278KY+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304090
SRR11050319,44487654,6762123408,76,2671,SRX7700281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124550,SAMN14073837,simple,10090,Mus musculus,GSM4304091,GEO,SRA1040368,02,2020,Makar,NegCtrl_spinal cord,NegCtrl-249-17401-1,NegCtrl_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/+;P278KY+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304091
SRR11050320,41624710,6326955920,76,2500,SRX7700282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124552,SAMN14073836,simple,10090,Mus musculus,GSM4304092,GEO,SRA1040368,02,2020,Makar,NegCtrl_spinal cord,NegCtrl-249-17402-1,NegCtrl_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/+;P278KY+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304092
SRR11050321,41930042,6373366384,76,2500,SRX7700283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124553,SAMN14073835,simple,10090,Mus musculus,GSM4304093,GEO,SRA1040368,02,2020,Makar,NegCtrl_spinal cord,NegCtrl-249-17402-3,NegCtrl_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/+;P278KY+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304093
SRR11050322,46905808,7129682816,76,2824,SRX7700284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124554,SAMN14073834,simple,10090,Mus musculus,GSM4304094,GEO,SRA1040368,02,2020,Makar,Rpl-249-ChAT-Cre_spinal cord,Rpl-249-ChAT-Cre-17405-3,Rpl-249-ChAT-Cre_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/-;P278KY+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304094
SRR11050323,50628445,7695523640,76,3054,SRX7700285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124555,SAMN14073833,simple,10090,Mus musculus,GSM4304095,GEO,SRA1040368,02,2020,Makar,Rpl-249-ChAT-Cre_spinal cord,Rpl-249-ChAT-Cre-17409-6,Rpl-249-ChAT-Cre_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/-;P278KY+/-,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304095
SRR11050324,51375966,7809146832,76,3005,SRX7700286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247868,PRJNA605662,1,"",SRS6124556,SAMN14073832,simple,10090,Mus musculus,GSM4304096,GEO,SRA1040368,02,2020,Makar,Rpl-ChAT-Cre_spinal cord,Rpl-ChAT-Cre-17409-4,Rpl-ChAT-Cre_spinal cord,B6;CASTxB6.129,Rpl+/-;Chat+/-;P278KY+/+,8 weeks,spinal cord,Ribosome-associated mRNA,GSM4304096
