Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,day,sirna,tissue,GEO Accession
SRR7667892,52893801,3967035075,75,1591,SRX4528458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP157047,PRJNA485439,31855834,"",SRS3646327,SAMN09791447,simple,10090,Mus musculus,GSM3327719,GEO,SRA756812,07,2020,Smekalova,liver,d190042.ES34-1.RNAseq: d9.cont replicate 1,liver,FVB/N,9,luciferase,liver,GSM3327719
SRR7667893,68570074,5142755550,75,2025,SRX4528459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP157047,PRJNA485439,31855834,"",SRS3646326,SAMN09791446,simple,10090,Mus musculus,GSM3327720,GEO,SRA756812,07,2020,Smekalova,liver,d190043.ES34-2.RNAseq: d9.cont replicate 2,liver,FVB/N,9,luciferase,liver,GSM3327720
SRR7667894,56855532,4264164900,75,1688,SRX4528460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP157047,PRJNA485439,31855834,"",SRS3646331,SAMN09791445,simple,10090,Mus musculus,GSM3327721,GEO,SRA756812,07,2020,Smekalova,liver,d190044.ES34-3.RNAseq: d9.cont replicate 3,liver,FVB/N,9,luciferase,liver,GSM3327721
SRR7667895,65622506,4921687950,75,1951,SRX4528461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP157047,PRJNA485439,31855834,"",SRS3646328,SAMN09791443,simple,10090,Mus musculus,GSM3327722,GEO,SRA756812,07,2020,Smekalova,liver,d190045.ES34-4.RNAseq: d9.Eif3m replicate 1,liver,FVB/N,9,Eif3m,liver,GSM3327722
SRR7667896,69880012,5241000900,75,2085,SRX4528462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP157047,PRJNA485439,31855834,"",SRS3646329,SAMN09791442,simple,10090,Mus musculus,GSM3327723,GEO,SRA756812,07,2020,Smekalova,liver,d190046.ES34-5.RNAseq: d9.Eif3m replicate 2,liver,FVB/N,9,Eif3m,liver,GSM3327723
SRR7667897,62127656,4659574200,75,1845,SRX4528463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP157047,PRJNA485439,31855834,"",SRS3646330,SAMN09791441,simple,10090,Mus musculus,GSM3327724,GEO,SRA756812,07,2020,Smekalova,liver,d190047.ES34-6.RNAseq: d9.Eif3m replicate 3,liver,FVB/N,9,Eif3m,liver,GSM3327724
SRR7667898,9314403,465720150,50,292,SRX4528464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP157047,PRJNA485439,31855834,"",SRS3646332,SAMN09791439,simple,10090,Mus musculus,GSM3327725,GEO,SRA756812,07,2020,Smekalova,liver,d1487.ES11-1.RNAseq: d13.cont replicate 1,liver,FVB/N,13,luciferase,liver,GSM3327725
SRR7667899,8919969,445998450,50,279,SRX4528465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP157047,PRJNA485439,31855834,"",SRS3646333,SAMN09791438,simple,10090,Mus musculus,GSM3327726,GEO,SRA756812,07,2020,Smekalova,liver,d1488.ES11-2.RNAseq: d13.cont replicate 2,liver,FVB/N,13,luciferase,liver,GSM3327726
SRR7667900,10466716,523335800,50,328,SRX4528466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP157047,PRJNA485439,31855834,"",SRS3646334,SAMN09791436,simple,10090,Mus musculus,GSM3327727,GEO,SRA756812,07,2020,Smekalova,liver,d1496.ES11-3.RNAseq: d13.cont replicate 3,liver,FVB/N,13,luciferase,liver,GSM3327727
SRR7667901,14151244,707562200,50,448,SRX4528467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP157047,PRJNA485439,31855834,"",SRS3646336,SAMN09791435,simple,10090,Mus musculus,GSM3327728,GEO,SRA756812,07,2020,Smekalova,liver,d1489.ES11-9.RNAseq: d13.Eif3m replicate 1,liver,FVB/N,13,Eif3m,liver,GSM3327728
