Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,rna type,cell line,GEO Accession
SRR1173905,24061850,794041050,33,375,SRX474109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP038695,PRJNA238879,25621764,"",SRS560099,SAMN02646670,simple,9606,Homo sapiens,GSM1331342,GEO,SRA141675,01,2015,Andreev,Hek293T,"Control riboseq, replicate 1",Hek293T,vehicle,ribosome protected fragment,Hek293T,GSM1331342
SRR1173906,8664796,285938268,33,155,SRX474110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP038695,PRJNA238879,25621764,"",SRS560100,SAMN02646669,simple,9606,Homo sapiens,GSM1331343,GEO,SRA141675,01,2015,Andreev,Hek293T,"Control mRNAseq, replicate 1",Hek293T,vehicle,“naked” mRNAseq,Hek293T,GSM1331343
SRR1173907,23747956,783682548,33,392,SRX474111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP038695,PRJNA238879,25621764,"",SRS560101,SAMN02646676,simple,9606,Homo sapiens,GSM1331344,GEO,SRA141675,01,2015,Andreev,Hek293T,"Arsenite riboseq, replicate 1",Hek293T,0.5 hour arsenite,ribosome protected fragment,Hek293T,GSM1331344
SRR1173908,8148354,268895682,33,144,SRX474112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP038695,PRJNA238879,25621764,"",SRS560102,SAMN02646672,simple,9606,Homo sapiens,GSM1331345,GEO,SRA141675,01,2015,Andreev,Hek293T,"Arsenite mRNAseq, replicate 1",Hek293T,0.5 hour arsenite,“naked” mRNAseq,Hek293T,GSM1331345
SRR1173909,93335557,4573442293,49,3820,SRX474113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP038695,PRJNA238879,25621764,"",SRS560103,SAMN02646671,simple,9606,Homo sapiens,GSM1331346,GEO,SRA141675,01,2015,Andreev,Hek293T,"Control riboseq, replicate 2",Hek293T,vehicle,ribosome protected fragment,Hek293T,GSM1331346
SRR1173910,8605112,645383400,75,343,SRX474113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP038695,PRJNA238879,25621764,"",SRS560103,SAMN02646671,simple,9606,Homo sapiens,GSM1331346,GEO,SRA141675,01,2015,Andreev,Hek293T,"Control riboseq, replicate 2",Hek293T,vehicle,“naked” mRNAseq,Hek293T,GSM1331347
SRR1173911,26145092,1281109508,49,1054,SRX474114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP038695,PRJNA238879,25621764,"",SRS560105,SAMN02646675,simple,9606,Homo sapiens,GSM1331347,GEO,SRA141675,01,2015,Andreev,Hek293T,"Control mRNAseq, replicate 2",Hek293T,0.5 hour arsenite,ribosome protected fragment,Hek293T,GSM1331348
SRR1173912,3932465,294934875,75,152,SRX474114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP038695,PRJNA238879,25621764,"",SRS560105,SAMN02646675,simple,9606,Homo sapiens,GSM1331347,GEO,SRA141675,01,2015,Andreev,Hek293T,"Control mRNAseq, replicate 2",Hek293T,0.5 hour arsenite,“naked” mRNAseq,Hek293T,GSM1331349
SRR1173913,120615172,5910143428,49,4941,SRX474115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP038695,PRJNA238879,25621764,"",SRS560104,SAMN02646674,simple,9606,Homo sapiens,GSM1331348,GEO,SRA141675,01,2015,Andreev,Hek293T,"Arsenite riboseq, replicate 2",Hek293T,vehicle,ribosome protected fragment,Hek293T,GSM1331342
SRR1173914,8999609,674970675,75,366,SRX474115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP038695,PRJNA238879,25621764,"",SRS560104,SAMN02646674,simple,9606,Homo sapiens,GSM1331348,GEO,SRA141675,01,2015,Andreev,Hek293T,"Arsenite riboseq, replicate 2",Hek293T,vehicle,“naked” mRNAseq,Hek293T,GSM1331343
