Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,age,dev_stage,geo_loc_name,tissue,ID,BioSampleModel
SRR18747072,44395170,13318551000,150,4709,SRX14847004,s240-big,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP370115,PRJNA821340,1,"",SRS12601729,SAMN27067551,simple,4577,Zea mays,s240-big,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,16DAP embryo and endosperm,China:Wuhan,embryo and endosperm,1,Plant
SRR18747071,47262809,14178842700,150,5005,SRX14847005,s240-small,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP370115,PRJNA821340,1,"",SRS12601730,SAMN27067552,simple,4577,Zea mays,s240-small,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,16DAP embryo and endosperm,China:Wuhan,embryo and endosperm,2,Plant
SRR18747070,5027852,1508355600,150,437,SRX14847006,sample1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601731,SAMN27067561,simple,4577,Zea mays,sample1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,11,Plant
SRR18747069,3313895,994168500,150,287,SRX14847007,sample2_1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601732,SAMN27067562,simple,4577,Zea mays,sample2_1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,12,Plant
SRR18747068,18856263,5656878900,150,1668,SRX14847008,sample2_2,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601733,SAMN27067563,simple,4577,Zea mays,sample2_2,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,13,Plant
SRR18747067,2205428,661628400,150,191,SRX14847009,sample3_1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601734,SAMN27067564,simple,4577,Zea mays,sample3_1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,14,Plant
SRR18747066,4379832,1313949600,150,382,SRX14847010,sample3_2,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601735,SAMN27067565,simple,4577,Zea mays,sample3_2,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,15,Plant
SRR18747065,20931831,6279549300,150,1857,SRX14847011,sample3_3,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601736,SAMN27067566,simple,4577,Zea mays,sample3_3,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,16,Plant
SRR18747064,2199542,659862600,150,191,SRX14847012,sample4_1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601737,SAMN27067567,simple,4577,Zea mays,sample4_1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,17,Plant
SRR18747063,5029406,1508821800,150,440,SRX14847013,sample4_2,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601738,SAMN27067568,simple,4577,Zea mays,sample4_2,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,18,Plant
SRR18747062,20292020,6087606000,150,1803,SRX14847014,sample4_3,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601739,SAMN27067569,simple,4577,Zea mays,sample4_3,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,19,Plant
SRR18747061,2209440,662832000,150,192,SRX14847015,sample5_1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601740,SAMN27067570,simple,4577,Zea mays,sample5_1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,20,Plant
SRR18747060,49313247,14793974100,150,4455,SRX14847016,RNA_S_B_14,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601741,SAMN27067553,simple,4577,Zea mays,RNA_S_B_14,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,14DAP kernel,China:Sanya,kernel,3,Plant
SRR18747059,4324475,1297342500,150,379,SRX14847017,sample5_2,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601742,SAMN27067571,simple,4577,Zea mays,sample5_2,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,21,Plant
SRR18747058,23093944,6928183200,150,2058,SRX14847018,sample5_3,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601743,SAMN27067572,simple,4577,Zea mays,sample5_3,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,22,Plant
SRR18747057,1242039,372611700,150,108,SRX14847019,sample6_1,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601744,SAMN27067573,simple,4577,Zea mays,sample6_1,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,23,Plant
SRR18747056,2759577,827873100,150,242,SRX14847020,sample6_2,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601745,SAMN27067574,simple,4577,Zea mays,sample6_2,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,24,Plant
SRR18747055,19280318,5784095400,150,1717,SRX14847021,sample6_3,Targeted-Capture,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP370115,PRJNA821340,1,"",SRS12601746,SAMN27067575,simple,4577,Zea mays,sample6_3,Huazhong Agricultural University,SRA1396358,11,2022,Makar,"","",not collected,not collected,not collected,not collected,15day leaf,China:Wuhan,leaf,25,Plant
