Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment time,library type,GEO Accession
SRR5227288,42082855,2104142750,50,874,SRX2536403,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956353,SAMN06293487,simple,9606,Homo sapiens,GSM2475997,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_10 min_ribo-seq,"1.5 µM PF-067446846, 10 min, rep 1",Huh7_1.5 µM PF-067446846_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2475997
SRR5227289,41657461,2082873050,50,1297,SRX2536404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956354,SAMN06293486,simple,9606,Homo sapiens,GSM2475998,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_10 min_ribo-seq,"1.5 µM PF-067446846, 10 min, rep 2",Huh7_1.5 µM PF-067446846_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2475998
SRR5227290,40462973,2023148650,50,1227,SRX2536405,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956355,SAMN06293485,simple,9606,Homo sapiens,GSM2475999,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_10 min_ribo-seq,"1.5 µM PF-067446846, 10 min, rep 3",Huh7_1.5 µM PF-067446846_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2475999
SRR5227291,41143319,2057165950,50,804,SRX2536406,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956356,SAMN06293484,simple,9606,Homo sapiens,GSM2476000,GEO,SRA535320,06,2017,Lintner,Huh7_0.3 µM PF-067446846_10 min_ribo-seq,"0.3 µM PF-067446846, 10 min, rep 1",Huh7_0.3 µM PF-067446846_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2476000
SRR5227292,60552437,3027621850,50,1789,SRX2536407,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956357,SAMN06293483,simple,9606,Homo sapiens,GSM2476001,GEO,SRA535320,06,2017,Lintner,Huh7_0.3 µM PF-067446846_10 min_ribo-seq,"0.3 µM PF-067446846, 10 min, rep 2",Huh7_0.3 µM PF-067446846_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2476001
SRR5227293,42709138,2135456900,50,1276,SRX2536408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956358,SAMN06293482,simple,9606,Homo sapiens,GSM2476002,GEO,SRA535320,06,2017,Lintner,Huh7_0.3 µM PF-067446846_10 min_ribo-seq,"0.3 µM PF-067446846, 10 min, rep 3",Huh7_0.3 µM PF-067446846_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2476002
SRR5227294,76002122,3800106100,50,1480,SRX2536409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956359,SAMN06293481,simple,9606,Homo sapiens,GSM2476003,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_10 min_ribo-seq,"vehicle, 10 min rep 1",Huh7_vehicle_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2476003
SRR5227295,46137148,2306857400,50,1388,SRX2536410,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956360,SAMN06293480,simple,9606,Homo sapiens,GSM2476004,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_10 min_ribo-seq,"vehicle, 10 min rep 2",Huh7_vehicle_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2476004
SRR5227296,52737784,2636889200,50,1568,SRX2536411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956361,SAMN06293479,simple,9606,Homo sapiens,GSM2476005,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_10 min_ribo-seq,"vehicle, 10 min rep 3",Huh7_vehicle_10 min_ribo-seq,Huh7,10 min,ribo-seq,GSM2476005
SRR5227297,60381365,3019068250,50,1717,SRX2536412,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956362,SAMN06293478,simple,9606,Homo sapiens,GSM2476006,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_60 min_ribo-seq,"1.5 µM PF-067446846, 60 min, rep 1",Huh7_1.5 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476006
SRR5227298,49334392,2466719600,50,1407,SRX2536413,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956363,SAMN06293477,simple,9606,Homo sapiens,GSM2476007,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_60 min_ribo-seq,"1.5 µM PF-067446846, 60 min, rep 2",Huh7_1.5 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476007
SRR5227299,48766213,2438310650,50,1459,SRX2536414,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956364,SAMN06293476,simple,9606,Homo sapiens,GSM2476008,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_60 min_ribo-seq,"1.5 µM PF-067446846, 60 min, rep 3",Huh7_1.5 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476008
SRR5227300,30043362,1502168100,50,862,SRX2536415,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956365,SAMN06293475,simple,9606,Homo sapiens,GSM2476009,GEO,SRA535320,06,2017,Lintner,Huh7_0.3 µM PF-067446846_60 min_ribo-seq,"0.3 µM PF-067446846, 60 min, rep 1",Huh7_0.3 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476009
SRR5227301,49129512,2456475600,50,1464,SRX2536416,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956366,SAMN06293474,simple,9606,Homo sapiens,GSM2476010,GEO,SRA535320,06,2017,Lintner,Huh7_0.3 µM PF-067446846_60 min_ribo-seq,"0.3 µM PF-067446846, 60 min, rep 2",Huh7_0.3 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476010
SRR5227302,44258180,2212909000,50,1339,SRX2536417,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956367,SAMN06293473,simple,9606,Homo sapiens,GSM2476011,GEO,SRA535320,06,2017,Lintner,Huh7_0.3 µM PF-067446846_60 min_ribo-seq,"0.3 µM PF-067446846, 60 min, rep 3",Huh7_0.3 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476011
SRR5227303,50956178,2547808900,50,1426,SRX2536418,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956368,SAMN06293472,simple,9606,Homo sapiens,GSM2476012,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_60 min_ribo-seq,"vehicle, 60 min rep 1",Huh7_vehicle_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476012
SRR5227304,47139057,2356952850,50,1420,SRX2536419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956369,SAMN06293471,simple,9606,Homo sapiens,GSM2476013,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_60 min_ribo-seq,"vehicle, 60 min rep 2",Huh7_vehicle_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476013
SRR5227305,48405034,2420251700,50,1459,SRX2536420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP098789,PRJNA369742,28323820,"",SRS1956370,SAMN06293470,simple,9606,Homo sapiens,GSM2476014,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_60 min_ribo-seq,"vehicle, 60 min rep 3",Huh7_vehicle_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476014
SRR5227306,57588015,2936988765,51,1294,SRX2536421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP098789,PRJNA369742,28323820,"",SRS1956371,SAMN06293469,simple,9606,Homo sapiens,GSM2476015,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_60 min_ribo-seq,"1.5 µM PF-067446846, 60 min, rep 4 -riboseq",Huh7_1.5 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476015
SRR5227307,66480991,3390530541,51,1492,SRX2536422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP098789,PRJNA369742,28323820,"",SRS1956372,SAMN06293468,simple,9606,Homo sapiens,GSM2476016,GEO,SRA535320,06,2017,Lintner,Huh7_Veh_60 min_Ribo-seq,"Vehicle, 60 min, rep 4-ribo-seq",Huh7_Veh_60 min_Ribo-seq,Huh7,60 min,Ribo-seq,GSM2476016
SRR5227308,65591217,3345152067,51,1430,SRX2536423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP098789,PRJNA369742,28323820,"",SRS1956373,SAMN06293467,simple,9606,Homo sapiens,GSM2476017,GEO,SRA535320,06,2017,Lintner,Huh7_1.5 µM PF-067446846_60 min_ribo-seq,"1.5 µM PF-067446846, 60 min, rep 5 -riboseq",Huh7_1.5 µM PF-067446846_60 min_ribo-seq,Huh7,60 min,ribo-seq,GSM2476017
SRR5227309,40062613,2043193263,51,862,SRX2536424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP098789,PRJNA369742,28323820,"",SRS1956374,SAMN06293466,simple,9606,Homo sapiens,GSM2476018,GEO,SRA535320,06,2017,Lintner,Huh7_vehcile_60 min_Ribo-seq,"vehicle, 60 min, rep 5-Ribo-seq",Huh7_vehcile_60 min_Ribo-seq,Huh7,60 min,Ribo-seq,GSM2476018
SRR5227310,66363585,3384542835,51,1414,SRX2536425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP098789,PRJNA369742,28323820,"",SRS1956375,SAMN06293497,simple,9606,Homo sapiens,GSM2476019,GEO,SRA535320,06,2017,Lintner,Huh7_PF-06446846_60 min_mRNA-seq,"PF-06446846, 60 min, rep 4 -mRNA-seq",Huh7_PF-06446846_60 min_mRNA-seq,Huh7,60 min,mRNA-seq,GSM2476019
SRR5227311,63720205,3249730455,51,1351,SRX2536426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP098789,PRJNA369742,28323820,"",SRS1956376,SAMN06293496,simple,9606,Homo sapiens,GSM2476020,GEO,SRA535320,06,2017,Lintner,Huh7_vehicle_60 min_RNA-seq,"vehicle, 60 min, rep 4-mRNAseq",Huh7_vehicle_60 min_RNA-seq,Huh7,60 min,polyA-seq,GSM2476020
