Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,individual,cell type,treatment,cell line,GEO Accession
SRR17598643,29048666,1547571721,53,572,SRX13767454,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647477,SAMN24923291,simple,9606,Homo sapiens,GSM5814891,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier female 26#6, chx treated",iPSCs,C9ORF72 mutation carrier female 26#6,iPSCs,chx and RNAse A+T,,GSM5814891
SRR17598644,26260377,1411666626,53,523,SRX13767455,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647478,SAMN24923292,simple,9606,Homo sapiens,GSM5814892,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier female 26#6, hht treated",iPSCs,C9ORF72 mutation carrier female 26#6,iPSCs,hht and RNAse A+T,,GSM5814892
SRR17598645,30487597,1612514715,52,596,SRX13767456,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647479,SAMN24923293,simple,9606,Homo sapiens,GSM5814893,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier male 27#11, chx treated",iPSCs,C9ORF72 mutation carrier male 27#11,iPSCs,chx and RNAse A+T,,GSM5814893
SRR17598646,33002506,1771879486,53,659,SRX13767457,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647480,SAMN24923294,simple,9606,Homo sapiens,GSM5814894,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier male 27#11, hht treated",iPSCs,C9ORF72 mutation carrier male 27#11,iPSCs,hht and RNAse A+T,,GSM5814894
SRR17598647,26214500,1382848100,52,511,SRX13767458,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647481,SAMN24923295,simple,9606,Homo sapiens,GSM5814895,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier male 28ALS, chx treated",iPSCs,C9ORF72 mutation carrier male 28ALS,iPSCs,chx and RNAse A+T,,GSM5814895
SRR17598648,26148528,1398710987,53,531,SRX13767459,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647483,SAMN24923270,simple,9606,Homo sapiens,GSM5814896,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier male 28ALS, hht treated",iPSCs,C9ORF72 mutation carrier male 28ALS,iPSCs,hht and RNAse A+T,,GSM5814896
SRR17598649,35606812,1855416215,52,694,SRX13767460,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647482,SAMN24923271,simple,9606,Homo sapiens,GSM5814897,GEO,SRA1245303,05,2022,van,iPSCs,"control male 2#20, chx treated",iPSCs,control male 2#20,iPSCs,chx and RNAse A+T,,GSM5814897
SRR17598650,31575739,1668542810,52,621,SRX13767461,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647484,SAMN24923272,simple,9606,Homo sapiens,GSM5814898,GEO,SRA1245303,05,2022,van,iPSCs,"control male 2#20, hht treated",iPSCs,control male 2#20,iPSCs,hht and RNAse A+T,,GSM5814898
SRR17598651,32222722,1711166380,53,631,SRX13767462,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647485,SAMN24923273,simple,9606,Homo sapiens,GSM5814899,GEO,SRA1245303,05,2022,van,iPSCs,"control male 35#11, chx treated",iPSCs,control male 35#11,iPSCs,chx and RNAse A+T,,GSM5814899
SRR17598652,24512623,1308686007,53,488,SRX13767463,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647486,SAMN24923274,simple,9606,Homo sapiens,GSM5814900,GEO,SRA1245303,05,2022,van,iPSCs,"control male 35#11, hht treated",iPSCs,control male 35#11,iPSCs,hht and RNAse A+T,,GSM5814900
SRR17598653,28568516,1485893619,52,553,SRX13767464,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647487,SAMN24923275,simple,9606,Homo sapiens,GSM5814901,GEO,SRA1245303,05,2022,van,iPSCs,"control female 37#20, chx treated",iPSCs,control female 37#20,iPSCs,chx and RNAse A+T,,GSM5814901
SRR17598654,29207580,1568785797,53,588,SRX13767465,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647489,SAMN24923276,simple,9606,Homo sapiens,GSM5814902,GEO,SRA1245303,05,2022,van,iPSCs,"control female 37#20, hht treated",iPSCs,control female 37#20,iPSCs,hht and RNAse A+T,,GSM5814902
SRR17598655,96131580,5177038628,53,1936,SRX13767466,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647488,SAMN24923277,simple,9606,Homo sapiens,GSM5814903,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier female 26#6, hht combined",iPSCs,C9ORF72 mutation carrier female 26#6,"iPSCs, induced neurons",harr,,GSM5814903
SRR17598656,120287705,6470683739,53,2410,SRX13767467,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647490,SAMN24923278,simple,9606,Homo sapiens,GSM5814904,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier male 27#11, hht combined",iPSCs,C9ORF72 mutation carrier male 27#11,"iPSCs, induced neurons",harr,,GSM5814904
SRR17598657,92343751,4946140084,53,1896,SRX13767468,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647491,SAMN24923279,simple,9606,Homo sapiens,GSM5814905,GEO,SRA1245303,05,2022,van,iPSCs,"C9ORF72 mutation carrier male 28ALS, hht combined",iPSCs,C9ORF72 mutation carrier male 28ALS,"iPSCs, induced neurons",harr,,GSM5814905
SRR17598658,112460599,5951288365,52,2219,SRX13767469,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP324134,PRJNA737801,34848561,"",SRS11647493,SAMN24923280,simple,9606,Homo sapiens,GSM5814906,GEO,SRA1245303,05,2022,van,iPSCs,"control male 2#20, hht combined",iPSCs,control male 2#20,"iPSCs, induced neurons",harr,,GSM5814906
