Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,metastatic capacity,genotype/variation
SRR22192996,107042372,4292277934,40,1764,SRX18171409,GSM6710476,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670631,SAMN31608430,simple,9606,Homo sapiens,GSM6710476,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-Par_rep1 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,
SRR22192995,71166205,2863384147,40,1180,SRX18171410,GSM6710477,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670632,SAMN31608429,simple,9606,Homo sapiens,GSM6710477,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-Par_rep2 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,
SRR22192994,69749719,2766850723,39,1149,SRX18171411,GSM6710478,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670634,SAMN31608428,simple,9606,Homo sapiens,GSM6710478,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-Par_rep3 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,
SRR22192993,73513376,2766001057,37,1174,SRX18171412,GSM6710479,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670633,SAMN31608427,simple,9606,Homo sapiens,GSM6710479,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-LM2_rep1 (Ribo-seq),breast cancer cell line,MDA-MB-231,highly metastatic to lungs,
SRR22192992,104047695,4040988799,38,1676,SRX18171413,GSM6710480,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670635,SAMN31608426,simple,9606,Homo sapiens,GSM6710480,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-LM2_rep2 (Ribo-seq),breast cancer cell line,MDA-MB-231,highly metastatic to lungs,
SRR22192991,99745308,3843146716,38,1603,SRX18171414,GSM6710481,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670636,SAMN31608425,simple,9606,Homo sapiens,GSM6710481,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-LM2_rep3 (Ribo-seq),breast cancer cell line,MDA-MB-231,highly metastatic to lungs,
SRR22192990,71054524,2715494068,38,1142,SRX18171415,GSM6710482,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670637,SAMN31608424,simple,9606,Homo sapiens,GSM6710482,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rep1 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,control
SRR22192989,61836717,2370682411,38,1000,SRX18171416,GSM6710483,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670638,SAMN31608423,simple,9606,Homo sapiens,GSM6710483,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rep2 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,control
SRR22192988,73509441,2842555634,38,1186,SRX18171417,GSM6710484,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670639,SAMN31608422,simple,9606,Homo sapiens,GSM6710484,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgCTRL_rep3 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,control
SRR22192987,104986276,4067426713,38,1689,SRX18171418,GSM6710485,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406317,PRJNA898352,1,"",SRS15670640,SAMN31608421,simple,9606,Homo sapiens,GSM6710485,"Biochemistry and Biophysics, UCSF",SRA1534786,02,2023,Makar,breast cancer cell line,MDA-sgHNRNPC_rep1 (Ribo-seq),breast cancer cell line,MDA-MB-231,poorly metastatic,HNRNPC knockdown
