Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,anonymized name,bio material,collection date,common name,geographic location (country and/or sea),host,note,sample name
ERR358524,6967,2693755,4,6,ERX331296,ZF5p1,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362581,SAMEA2242042,simple,7955,Danio rerio,SAMEA2242042,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242042,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF5p1,ZF5p1,whole fish,2011 5days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF5p1
ERR358525,5431,2125847,4,5,ERX331297,ZF5p2,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362582,SAMEA2242043,simple,7955,Danio rerio,SAMEA2242043,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242043,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF5p2,ZF5p2,whole fish,2011 5days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF5p2
ERR358526,6707,2517380,4,6,ERX331298,ZF7pB2,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362583,SAMEA2242044,simple,7955,Danio rerio,SAMEA2242044,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242044,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF7pB2,ZF7pB2,whole fish,2011 7days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF7pB2
ERR358527,7615,2943795,4,7,ERX331299,ZF7pE3,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362584,SAMEA2242045,simple,7955,Danio rerio,SAMEA2242045,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242045,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF7pE3,ZF7pE3,whole fish,2011 7days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF7pE3
ERR358528,7017,2738183,4,6,ERX331300,ZF7pB4,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362585,SAMEA2242046,simple,7955,Danio rerio,SAMEA2242046,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242046,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF7pB4,ZF7pB4,whole fish,2011 7days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF7pB4
ERR358529,4058,1523440,4,3,ERX331301,ZF7pE5,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362586,SAMEA2242047,simple,7955,Danio rerio,SAMEA2242047,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242047,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF7pE5,ZF7pE5,whole fish,2011 7days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF7pE5
ERR358530,7557,2978302,4,7,ERX331302,ZF14E1,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362587,SAMEA2242048,simple,7955,Danio rerio,SAMEA2242048,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242048,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF14E1,ZF14E1,whole fish,2011 14days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF14E1
ERR358531,6873,2591314,4,6,ERX331303,ZF14B2,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362588,SAMEA2242049,simple,7955,Danio rerio,SAMEA2242049,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242049,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF14B2,ZF14B2,whole fish,2011 14days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF14B2
ERR358532,7801,2880545,4,7,ERX331304,ZF14E3,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362589,SAMEA2242050,simple,7955,Danio rerio,SAMEA2242050,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242050,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF14E3,ZF14E3,whole fish,2011 14days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF14E3
ERR358533,5694,2123712,4,5,ERX331305,ZF14B6,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362590,SAMEA2242051,simple,7955,Danio rerio,SAMEA2242051,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242051,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF14B6,ZF14B6,whole fish,2011 14days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF14B6
ERR358534,6426,2416936,4,5,ERX331306,ZF21B2,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362591,SAMEA2242052,simple,7955,Danio rerio,SAMEA2242052,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242052,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21B2,ZF21B2,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF21B2
ERR358535,7269,2680469,4,6,ERX331307,ZF21E2,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362592,SAMEA2242053,simple,7955,Danio rerio,SAMEA2242053,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242053,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21E2,ZF21E2,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF21E2
ERR358536,6825,2616295,4,5,ERX331308,ZF21B1,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362593,SAMEA2242054,simple,7955,Danio rerio,SAMEA2242054,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242054,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21B1,ZF21B1,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF21B1
ERR358537,2009,785989,4,1,ERX331309,ZF21E1,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362594,SAMEA2242055,simple,7955,Danio rerio,SAMEA2242055,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242055,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21E1,ZF21E1,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from whole Danio rerio,ZF21E1
ERR358538,10731,4111858,4,9,ERX331310,ZF21B1R,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362595,SAMEA2242056,simple,7955,Danio rerio,SAMEA2242056,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242056,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21B1R,ZF21B1R,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from cDNA from whole Danio rerio,ZF21B1R
ERR358539,3768,1445384,4,3,ERX331311,ZF21B2R,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362596,SAMEA2242057,simple,7955,Danio rerio,SAMEA2242057,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242057,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21B2R,ZF21B2R,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from cDNA from whole Danio rerio,ZF21B2R
ERR358540,5287,2033414,4,4,ERX331312,ZF21E1R,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,LS454,454 GS FLX,ERP004104,PRJEB4784,1,"",ERS362597,SAMEA2242058,simple,7955,Danio rerio,SAMEA2242058,WUR,ERA259875,12,2013,Makar,"",Zebrafish microbiota,2013-12-16,2016-10-21,SAMEA2242058,WUR,Wageningen University,2013-12-16T18:01:04Z,2016-10-21T09:48:18Z,public,ZF21E1R,ZF21E1R,whole fish,2011 21days_post_fertilization,zebrafish,Netherlands: Wageningen University,Danio rerio,16S rRNA genes from cDNA from whole Danio rerio,ZF21E1R
