Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,fraction,library prep_kit,geo_loc_name,collection_date
SRR24422542,35733981,10791662262,151,3146,SRX20210204,GSM7291528,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534311,SAMN34571386,simple,10090,Mus musculus,GSM7291528,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF1Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422541,41337163,12483823226,151,3607,SRX20210205,GSM7291529,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534312,SAMN34571385,simple,10090,Mus musculus,GSM7291529,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF1Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422540,31082360,9386872720,151,2725,SRX20210206,GSM7291530,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534313,SAMN34571384,simple,10090,Mus musculus,GSM7291530,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF2Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422539,45231513,13659916926,151,3966,SRX20210207,GSM7291531,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534314,SAMN34571383,simple,10090,Mus musculus,GSM7291531,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF2Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422538,49622636,14986036072,151,4340,SRX20210208,GSM7291532,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534315,SAMN34571382,simple,10090,Mus musculus,GSM7291532,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF3Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422537,47543613,14358171126,151,4160,SRX20210209,GSM7291533,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534316,SAMN34571381,simple,10090,Mus musculus,GSM7291533,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF3Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422536,36127847,10910609794,151,3174,SRX20210210,GSM7291534,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534318,SAMN34571380,simple,10090,Mus musculus,GSM7291534,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF4Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422535,31340374,9464792948,151,2741,SRX20210211,GSM7291535,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534317,SAMN34571379,simple,10090,Mus musculus,GSM7291535,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADF4Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422534,30752889,9287372478,151,2801,SRX20210212,GSM7291536,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534319,SAMN34571378,simple,10090,Mus musculus,GSM7291536,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM1Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422533,34814532,10513988664,151,3043,SRX20210213,GSM7291537,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534320,SAMN34571377,simple,10090,Mus musculus,GSM7291537,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM1Pos,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Positive,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
SRR24422532,25713692,7765534984,151,2253,SRX20210214,GSM7291538,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP435792,PRJNA966986,1,"",SRS17534321,SAMN34571376,simple,10090,Mus musculus,GSM7291538,Oklahoma Medical Research Foundation,SRA1632139,07,2023,Makar,Hippocampus,ADM2Input,Hippocampus,Hippocampus,Microglia,APP129/PSEN1,Input,NEBNext Ultra II Directional RNA Library Prep Kit for Illumina,missing,missing
