Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,infect,sample name,sequencing protocol,time point,common name,Experimental Factor: Vero E6,Experimental Factor: C6/36
ERR1802070,32991341,1030531389,31,425,ERX1865801,Sample 1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508486,SAMEA52778668,simple,60711,Chlorocebus sabaeus,SAMEA52778668,ERA789926,07,2018,Makar,"",Sample 1,2018-06-30,2017-01-19,SAMEA52778668,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 1,ArrayExpress,Vero E6,ZIKV-PE243 virus,E-MTAB-5418:Sample 1,Ribo-Seq,24,,cell line,
ERR1802071,32655516,1036495741,31,447,ERX1865802,Sample 10_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508487,SAMEA52779418,simple,7160,Aedes albopictus,SAMEA52779418,ERA789926,07,2018,Makar,"",Sample 10,2018-06-30,2017-01-19,SAMEA52779418,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 10,ArrayExpress,C6/36,ZIKV-PE243 virus,E-MTAB-5418:Sample 10,RNA-Seq,24,Asian tiger mosquito,,cell line
ERR1802072,37859333,1233151851,32,487,ERX1865803,Sample 2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508488,SAMEA52780168,simple,60711,Chlorocebus sabaeus,SAMEA52780168,ERA789926,07,2018,Makar,"",Sample 2,2018-06-30,2017-01-19,SAMEA52780168,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 2,ArrayExpress,Vero E6,ZIKV-PE243 virus,E-MTAB-5418:Sample 2,Ribo-Seq,24,,cell line,
ERR1802073,23378265,748417766,32,302,ERX1865804,Sample 3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508489,SAMEA52780918,simple,60711,Chlorocebus sabaeus,SAMEA52780918,ERA789926,07,2018,Makar,"",Sample 3,2018-06-30,2017-01-19,SAMEA52780918,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 3,ArrayExpress,Vero E6,ZIKV-PE243 virus,E-MTAB-5418:Sample 3,RNA-Seq,24,,cell line,
ERR1802074,19273387,614792063,31,248,ERX1865805,Sample 4_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508490,SAMEA52781668,simple,60711,Chlorocebus sabaeus,SAMEA52781668,ERA789926,07,2018,Makar,"",Sample 4,2018-06-30,2017-01-19,SAMEA52781668,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 4,ArrayExpress,Vero E6,ZIKV-PE243 virus,E-MTAB-5418:Sample 4,RNA-Seq,24,,cell line,
ERR1802075,30830839,1009143241,32,407,ERX1865806,Sample 5_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508491,SAMEA52782418,simple,7160,Aedes albopictus,SAMEA52782418,ERA789926,07,2018,Makar,"",Sample 5,2018-06-30,2017-01-19,SAMEA52782418,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 5,ArrayExpress,C6/36,ZIKV-PE243 virus,E-MTAB-5418:Sample 5,Ribo-Seq,24,Asian tiger mosquito,,cell line
ERR1802076,26929369,882916179,32,361,ERX1865807,Sample 6_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508492,SAMEA52783168,simple,7160,Aedes albopictus,SAMEA52783168,ERA789926,07,2018,Makar,"",Sample 6,2018-06-30,2017-01-19,SAMEA52783168,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 6,ArrayExpress,C6/36,ZIKV-PE243 virus,E-MTAB-5418:Sample 6,Ribo-Seq,24,Asian tiger mosquito,,cell line
ERR1802077,12627212,397075719,31,194,ERX1865808,Sample 7_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508493,SAMEA52783918,simple,7160,Aedes albopictus,SAMEA52783918,ERA789926,07,2018,Makar,"",Sample 7,2018-06-30,2017-01-19,SAMEA52783918,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 7,ArrayExpress,C6/36,ZIKV-PE243 virus,E-MTAB-5418:Sample 7,Ribo-Seq,24,Asian tiger mosquito,,cell line
ERR1802078,17629538,542405945,30,264,ERX1865809,Sample 8_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508494,SAMEA52784668,simple,7160,Aedes albopictus,SAMEA52784668,ERA789926,07,2018,Makar,"",Sample 8,2018-06-30,2017-01-19,SAMEA52784668,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 8,ArrayExpress,C6/36,ZIKV-PE243 virus,E-MTAB-5418:Sample 8,Ribo-Seq,24,Asian tiger mosquito,,cell line
ERR1802079,40647908,1316636689,32,561,ERX1865810,Sample 9_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP021092,PRJEB19102,1,"",ERS1508495,SAMEA52785418,simple,7160,Aedes albopictus,SAMEA52785418,ERA789926,07,2018,Makar,"",Sample 9,2018-06-30,2017-01-19,SAMEA52785418,University of Cambridge,University of Cambridge,2018-06-30T17:02:37Z,2017-01-19T20:41:53Z,public,E-MTAB-5418:Sample 9,ArrayExpress,C6/36,ZIKV-PE243 virus,E-MTAB-5418:Sample 9,RNA-Seq,24,Asian tiger mosquito,,cell line
