Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,replicate,experiment_type,BioSampleModel
SRR10174384,30646754,2298506550,75,875,SRX6895779,2dayRNArep1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428356,SAMN12831185,simple,7227,Drosophila melanogaster,2dayRNA_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,2 days,stage 14,female,mature oocyte,biological replicate 1,RNA-seq,Model organism or animal
SRR10174383,63175726,4738179450,75,1778,SRX6895780,2dayRNArep2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428357,SAMN12831186,simple,7227,Drosophila melanogaster,2dayRNA_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,2 days,stage 14,female,mature oocyte,biological replicate 2,RNA-seq,Model organism or animal
SRR10174382,57951230,4346342250,75,1670,SRX6895781,2dayRFPrep2,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428358,SAMN12831195,simple,7227,Drosophila melanogaster,2dayRFP_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,2 days,stage 14,female,mature oocyte,biological replicate 2,Ribo-seq,Model organism or animal
SRR10174381,34313653,2573523975,75,999,SRX6895782,2dayRFPrep3,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428359,SAMN12831196,simple,7227,Drosophila melanogaster,2dayRFP_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,2 days,stage 14,female,mature oocyte,biological replicate 3,Ribo-seq,Model organism or animal
SRR10174380,37912988,2843474100,75,1113,SRX6895783,8dayRFPrep1,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428360,SAMN12831197,simple,7227,Drosophila melanogaster,8dayRFP_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,8 days,stage 14,female,mature oocyte,biological replicate 1,Ribo-seq,Model organism or animal
SRR10174379,83683932,6276294900,75,2361,SRX6895784,8dayRFPrep2,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428361,SAMN12831198,simple,7227,Drosophila melanogaster,8dayRFP_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,8 days,stage 14,female,mature oocyte,biological replicate 2,Ribo-seq,Model organism or animal
SRR10174378,83368394,6252629550,75,2400,SRX6895785,8dayRFPrep3,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428362,SAMN12831199,simple,7227,Drosophila melanogaster,8dayRFP_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,8 days,stage 14,female,mature oocyte,biological replicate 3,Ribo-seq,Model organism or animal
SRR10174377,49155765,3686682375,75,1432,SRX6895786,12dayRFPrep1,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428363,SAMN12831200,simple,7227,Drosophila melanogaster,12dayRFP_A,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,12 days,stage 14,female,mature oocyte,biological replicate 1,Ribo-seq,Model organism or animal
SRR10174376,41691393,3126854475,75,1184,SRX6895787,12dayRFPrep2,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428364,SAMN12831201,simple,7227,Drosophila melanogaster,12dayRFP_B,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,12 days,stage 14,female,mature oocyte,biological replicate 2,Ribo-seq,Model organism or animal
SRR10174375,63692380,4776928500,75,1880,SRX6895788,12dayRFPrep3,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP223102,PRJNA573922,1,"",SRS5428365,SAMN12831202,simple,7227,Drosophila melanogaster,12dayRFP_C,Carnegie Institute for Science,SRA967518,11,2019,Makar,"","",Oregon R,n/a,n/a,n/a,n/a,12 days,stage 14,female,mature oocyte,biological replicate 3,Ribo-seq,Model organism or animal
