Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,antibody,cell type,GEO Accession
SRR606181,31384725,5021556000,80,3250,SRX200652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372387,SAMN01779609,simple,10090,Mus musculus,GSM1024291,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of control-depleted,GFP_2.4_mRNASeq,mRNA-Seq analysis of control-depleted,v6.5,N/A,Embryonic stem cells,GSM1024291
SRR606182,29263430,4682148800,80,3020,SRX200653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372388,SAMN01779610,simple,10090,Mus musculus,GSM1024292,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of control-depleted,GFP_2.6_mRNASeq,mRNA-Seq analysis of control-depleted,v6.5,N/A,Embryonic stem cells,GSM1024292
SRR606183,14401791,2304286560,80,1557,SRX200654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372389,SAMN01779611,simple,10090,Mus musculus,GSM1024293,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of Upf1-depleted,Upf1-1_4.4_mRNASeq,mRNA-Seq analysis of Upf1-depleted,v6.5,N/A,Embryonic stem cells,GSM1024293
SRR606184,31942899,5110863840,80,3440,SRX200655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372390,SAMN01779612,simple,10090,Mus musculus,GSM1024294,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of Upf1-depleted,Upf1-1_4.7_mRNASeq,mRNA-Seq analysis of Upf1-depleted,v6.5,N/A,Embryonic stem cells,GSM1024294
SRR606185,12266760,1962681600,80,1324,SRX200656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372391,SAMN01779613,simple,10090,Mus musculus,GSM1024295,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of Upf1-depleted,Upf1-2_5.2_mRNASeq,mRNA-Seq analysis of Upf1-depleted,v6.5,N/A,Embryonic stem cells,GSM1024295
SRR606186,16015371,2562459360,80,1728,SRX200657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372392,SAMN01779614,simple,10090,Mus musculus,GSM1024296,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of Upf1-depleted,Upf1-2_5.7_mRNASeq,mRNA-Seq analysis of Upf1-depleted,v6.5,N/A,Embryonic stem cells,GSM1024296
SRR606187,25848297,2067863760,40,1031,SRX200658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372393,SAMN01779615,simple,10090,Mus musculus,GSM1024297,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of wildtype,v6.5_p22_mRNASeq,mRNA-Seq analysis of wildtype,v6.5,N/A,Embryonic stem cells,GSM1024297
SRR606188,24621608,1969728640,40,987,SRX200659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372394,SAMN01779616,simple,10090,Mus musculus,GSM1024298,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of wildtype,v6.5_p24_mRNASeq,mRNA-Seq analysis of wildtype,v6.5,N/A,Embryonic stem cells,GSM1024298
SRR606189,23021414,1841713120,40,931,SRX200660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372395,SAMN01779617,simple,10090,Mus musculus,GSM1024299,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of translationally inhibited (by cycloheximide treatment),v6.5_CHX_p22_mRNASeq,mRNA-Seq analysis of translationally inhibited (by cycloheximide treatment),v6.5,N/A,Embryonic stem cells,GSM1024299
SRR606190,22512229,1800978320,40,909,SRX200661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372396,SAMN01779618,simple,10090,Mus musculus,GSM1024300,GEO,SRA060331,07,2015,Hurt,mRNA-Seq analysis of translationally inhibited (by cycloheximide treatment),v6.5_CHX_p24_mRNASeq,mRNA-Seq analysis of translationally inhibited (by cycloheximide treatment),v6.5,N/A,Embryonic stem cells,GSM1024300
SRR606191,21964400,790718400,36,533,SRX200662,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016625,PRJNA178171,23766421,"",SRS372397,SAMN01779619,simple,10090,Mus musculus,GSM1024301,GEO,SRA060331,07,2015,Hurt,CLIP-Seq analysis of Upf1,Upf1.A1_CLIPSeq,CLIP-Seq analysis of Upf1,v6.5,rabbit anti-Upf1 (Bethyl Labs Cat. No. A301-902A),Embryonic stem cells,GSM1024301
SRR606192,47015537,1880621480,40,1065,SRX200663,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372398,SAMN01779620,simple,10090,Mus musculus,GSM1024302,GEO,SRA060331,07,2015,Hurt,CLIP-Seq analysis of Upf1,Upf1.A2_CLIPSeq,CLIP-Seq analysis of Upf1,v6.5,rabbit anti-Upf1 (Bethyl Labs Cat. No. A301-902A),Embryonic stem cells,GSM1024302
SRR606193,20802379,748885644,36,526,SRX200664,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP016625,PRJNA178171,23766421,"",SRS372399,SAMN01779621,simple,10090,Mus musculus,GSM1024303,GEO,SRA060331,07,2015,Hurt,CLIP-Seq analysis of Upf1,Upf1.I_CLIPSeq,CLIP-Seq analysis of Upf1,v6.5,rabbit anti-Upf1 (Bethyl Labs Cat. No. A301-902A),Embryonic stem cells,GSM1024303
SRR606194,43755619,1750224760,40,996,SRX200665,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372400,SAMN01779622,simple,10090,Mus musculus,GSM1024304,GEO,SRA060331,07,2015,Hurt,CLIP-Seq analysis of Upf1,Upf1.CHX.A1_CLIPSeq,CLIP-Seq analysis of Upf1,v6.5,rabbit anti-Upf1 (Bethyl Labs Cat. No. A301-902A),Embryonic stem cells,GSM1024304
SRR606195,21799001,871960040,40,498,SRX200666,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372401,SAMN01779623,simple,10090,Mus musculus,GSM1024305,GEO,SRA060331,07,2015,Hurt,CLIP-Seq analysis of Upf1,Upf1.CHX.A2_CLIPSeq,CLIP-Seq analysis of Upf1,v6.5,rabbit anti-Upf1 (Bethyl Labs Cat. No. A301-902A),Embryonic stem cells,GSM1024305
SRR606196,20767204,830688160,40,478,SRX200666,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016625,PRJNA178171,23766421,"",SRS372401,SAMN01779623,simple,10090,Mus musculus,GSM1024305,GEO,SRA060331,07,2015,Hurt,CLIP-Seq analysis of Upf1,Upf1.CHX.A2_CLIPSeq,IgG control CLIP-Seq,v6.5,rabbit IgG (Upstate Antibodies Cat No. 12-370),Embryonic stem cells,GSM1024306
