Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,age,geo_loc_name,tissue,harvest_condition,replicate,sample_type,BioSampleModel
SRR12765229,23726821,2396408921,101,1176,SRX9235858,"ribo-seq of maize mesophyll rep 1, run 1",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765228,23272637,2350536337,101,1151,SRX9235859,"ribo-seq of maize mesophyll rep 1, run 2",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765227,13572455,1370817955,101,674,SRX9235860,"ribo-seq of maize mesophyll rep 3, run 1",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765226,13331574,1346488974,101,661,SRX9235861,"ribo-seq of maize mesophyll rep 3, run 2",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765225,12915448,1304460248,101,435,SRX9235862,"ribo-seq of maize mesophyll rep 3, run 3",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765224,15840110,2391856610,151,904,SRX9235863,"ribo-seq of maize mesophyll rep 3, run 4",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765223,16529299,2495924149,151,945,SRX9235864,"ribo-seq of maize mesophyll rep 3, run 5",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765222,41063637,4147427337,101,2040,SRX9235865,"ribo-seq of maize bundle sheath rep 1, run 1",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765221,40543028,4094845828,101,2010,SRX9235866,"ribo-seq of maize bundle sheath rep 1, run 2",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765220,3336504,336986904,101,114,SRX9235867,"ribo-seq of maize bundle sheath rep 1, run 3",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765219,3938542,594719842,151,227,SRX9235868,"ribo-seq of maize bundle sheath rep 1, run 4",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765218,4119410,622030910,151,238,SRX9235869,"ribo-seq of maize bundle sheath rep 1, run 5",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR12765217,8609496,869559096,101,290,SRX9235870,"ribo-seq of maize mesophyll rep 1, run 3",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765216,16576657,1674242357,101,813,SRX9235871,"ribo-seq of maize bundle sheath rep 2, run 1",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765215,16399335,1656332835,101,802,SRX9235872,"ribo-seq of maize bundle sheath rep 2, run 2",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765214,17676935,1785370435,101,602,SRX9235873,"ribo-seq of maize bundle sheath rep 2, run 3",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765213,20840029,3146844379,151,1205,SRX9235874,"ribo-seq of maize bundle sheath rep 2, run 4",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765212,21712566,3278597466,151,1257,SRX9235875,"ribo-seq of maize bundle sheath rep 2, run 5",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765211,20389417,2059331117,101,1000,SRX9235876,"ribo-seq of maize bundle sheath rep 3, run 1",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765210,20170085,2037178585,101,986,SRX9235877,"ribo-seq of maize bundle sheath rep 3, run 2",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765209,18332429,1851575329,101,614,SRX9235878,"ribo-seq of maize bundle sheath rep 3, run 3",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765208,22187784,3350355384,151,1275,SRX9235879,"ribo-seq of maize bundle sheath rep 3, run 4",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765207,23117463,3490736913,151,1329,SRX9235880,"ribo-seq of maize bundle sheath rep 3, run 5",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765206,10217280,1542809280,151,581,SRX9235881,"ribo-seq of maize mesophyll rep 1, run 4",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765205,17083693,1725452993,101,874,SRX9235882,"RNA-seq of maize mesophyll rep 1, run 1",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765204,16491066,1665597666,101,842,SRX9235883,"RNA-seq of maize mesophyll rep 1, run 2",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765203,30466229,3077089129,101,1105,SRX9235884,"RNA-seq of maize mesophyll rep 1, run 3",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765202,32271710,4873028210,151,1764,SRX9235885,"RNA-seq of maize mesophyll rep 1, run 4",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765201,35069279,5295461129,151,1912,SRX9235886,"RNA-seq of maize mesophyll rep 1, run 5",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765200,20789664,2099756064,101,1057,SRX9235887,"RNA-seq of maize mesophyll rep 2, run 1",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765199,20155198,2035674998,101,1022,SRX9235888,"RNA-seq of maize mesophyll rep 2, run 2",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765198,21222415,2143463915,101,750,SRX9235889,"RNA-seq of maize mesophyll rep 2, run 3",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765197,22376235,3378811485,151,1196,SRX9235890,"RNA-seq of maize mesophyll rep 2, run 4",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765196,24441257,3690629807,151,1305,SRX9235891,"RNA-seq of maize mesophyll rep 2, run 5",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765195,10689751,1614152401,151,609,SRX9235892,"ribo-seq of maize mesophyll rep 1, run 5",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR12765194,14232284,1437460684,101,726,SRX9235893,"RNA-seq of maize mesophyll rep 3, run 1",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR12765193,13822968,1396119768,101,703,SRX9235894,"RNA-seq of maize mesophyll rep 3, run 2",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
