Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,dev_stage,geo_loc_name,tissue,BioSampleModel
SRR18361001,125175276,3594407319,28,1375,SRX14495566,Ribo_CK_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294757,SAMN26806637,simple,4530,Oryza sativa,Ribo_CK_1,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_1,not collected,leaf,Plant
SRR18361000,124663734,3614542091,28,1386,SRX14495567,Ribo_CK_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294758,SAMN26806638,simple,4530,Oryza sativa,Ribo_CK_2,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_2,not collected,leaf,Plant
SRR18360999,23801764,7133577306,149,2127,SRX14495568,RNA_seq_IF_2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294760,SAMN26806647,simple,4530,Oryza sativa,RNA_seq_IF_2,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_11,not collected,leaf,Plant
SRR18360998,21129343,6334197610,149,1877,SRX14495569,RNA_seq_IF_3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294759,SAMN26806648,simple,4530,Oryza sativa,RNA_seq_IF_3,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_12,not collected,leaf,Plant
SRR18360997,124995914,3564088745,28,1378,SRX14495570,Ribo_CK_3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294761,SAMN26806639,simple,4530,Oryza sativa,Ribo_CK_3,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_3,not collected,leaf,Plant
SRR18360996,128877512,3887279621,30,1465,SRX14495571,Ribo_IF_1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294762,SAMN26806640,simple,4530,Oryza sativa,Ribo_IF_1,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_4,not collected,leaf,Plant
SRR18360995,123931179,3778449850,30,1418,SRX14495572,Ribo_IF_2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294764,SAMN26806641,simple,4530,Oryza sativa,Ribo_IF_2,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_5,not collected,leaf,Plant
SRR18360994,101821715,3071849952,30,1165,SRX14495573,Ribo_IF_3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294763,SAMN26806642,simple,4530,Oryza sativa,Ribo_IF_3,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_6,not collected,leaf,Plant
SRR18360993,22737949,6753269391,148,2034,SRX14495574,RNA_seq_CK1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294765,SAMN26806643,simple,4530,Oryza sativa,RNA_seq_CK1,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_7,not collected,leaf,Plant
SRR18360992,24188981,7252171148,149,2162,SRX14495575,RNA_seq_CK2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP364728,PRJNA817730,1,"",SRS12294767,SAMN26806644,simple,4530,Oryza sativa,RNA_seq_CK2,Huazhong angricaltual university,SRA1388524,12,2022,Makar,"","",not collected,Japanica,not collected,Seedling_8,not collected,leaf,Plant
