Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype/variation,antibody,GEO Accession
SRR7240709,19015710,950785500,50,439,SRX4146490,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360107,SAMN09288571,simple,9606,Homo sapiens,GSM3168220,GEO,SRA713134,08,2018,Zhang,WT Ago2 eCLIP-seq,WT Ago2 eCLIP-seq rep1,WT Ago2 eCLIP-seq,HeLa,cervical adenocarcinoma cells,WT,Ago2,GSM3168220
SRR7240710,32724664,1636233200,50,578,SRX4146491,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360109,SAMN09288588,simple,9606,Homo sapiens,GSM3168221,GEO,SRA713134,08,2018,Zhang,WT Ago2 eCLIP-seq,WT Ago2 eCLIP-seq rep2,WT Ago2 eCLIP-seq,HeLa,cervical adenocarcinoma cells,WT,Ago2,GSM3168221
SRR7240711,18964800,948240000,50,437,SRX4146492,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360108,SAMN09288587,simple,9606,Homo sapiens,GSM3168222,GEO,SRA713134,08,2018,Zhang,OE Ago2 eCLIP-seq,OE Ago2 eCLIP-seq rep1,OE Ago2 eCLIP-seq,HeLa,cervical adenocarcinoma cells,miR17/20a OE,Ago2,GSM3168222
SRR7240712,41824095,2091204750,50,760,SRX4146493,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360110,SAMN09288586,simple,9606,Homo sapiens,GSM3168223,GEO,SRA713134,08,2018,Zhang,OE Ago2 eCLIP-seq,OE Ago2 eCLIP-seq rep2,OE Ago2 eCLIP-seq,HeLa,cervical adenocarcinoma cells,miR17/20a OE,Ago2,GSM3168223
SRR7240713,22910321,1145516050,50,529,SRX4146494,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360111,SAMN09288585,simple,9606,Homo sapiens,GSM3168224,GEO,SRA713134,08,2018,Zhang,WT Ago2 eCLIP-seq input,WT Ago2 eCLIP-seq input rep1,WT Ago2 eCLIP-seq input,HeLa,cervical adenocarcinoma cells,WT,,GSM3168224
SRR7240714,29892751,1494637550,50,515,SRX4146495,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360113,SAMN09288584,simple,9606,Homo sapiens,GSM3168225,GEO,SRA713134,08,2018,Zhang,WT Ago2 eCLIP-seq input,WT Ago2 eCLIP-seq input rep2,WT Ago2 eCLIP-seq input,HeLa,cervical adenocarcinoma cells,WT,,GSM3168225
SRR7240715,20796801,1039840050,50,480,SRX4146496,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360112,SAMN09288583,simple,9606,Homo sapiens,GSM3168226,GEO,SRA713134,08,2018,Zhang,OE Ago2 eCLIP-seq input,OE Ago2 eCLIP-seq input rep1,OE Ago2 eCLIP-seq input,HeLa,cervical adenocarcinoma cells,miR17/20a OE,,GSM3168226
SRR7240716,32694694,1634734700,50,563,SRX4146497,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149426,PRJNA473925,30297778,"",SRS3360114,SAMN09288582,simple,9606,Homo sapiens,GSM3168227,GEO,SRA713134,08,2018,Zhang,OE Ago2 eCLIP-seq input,OE Ago2 eCLIP-seq input rep2,OE Ago2 eCLIP-seq input,HeLa,cervical adenocarcinoma cells,miR17/20a OE,,GSM3168227
SRR7240717,65814687,19744406100,150,7557,SRX4146498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP149426,PRJNA473925,30297778,"",SRS3360116,SAMN09288581,simple,9606,Homo sapiens,GSM3168228,GEO,SRA713134,08,2018,Zhang,WT RNAseq,WT RNAseq rep1,WT RNAseq,HeLa,cervical adenocarcinoma cells,WT,,GSM3168228
SRR7240718,72292792,21687837600,150,8286,SRX4146499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP149426,PRJNA473925,30297778,"",SRS3360117,SAMN09288580,simple,9606,Homo sapiens,GSM3168229,GEO,SRA713134,08,2018,Zhang,WT RNAseq,WT RNAseq rep2,WT RNAseq,HeLa,cervical adenocarcinoma cells,WT,,GSM3168229
