Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,condition,GEO Accession
SRR810095,38376326,3914385252,51,2544,SRX260240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408262,SAMN01999137,simple,9606,Homo sapiens,GSM1115083,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,C.rna,Immortalized primary fibroblasts,BJ cells,Control sample,GSM1115083
SRR810096,42862125,4371936750,51,2846,SRX260241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408263,SAMN01999138,simple,9606,Homo sapiens,GSM1115084,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.2h.rna,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 2h",GSM1115084
SRR810097,38918042,3969640284,51,2583,SRX260242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408264,SAMN01999139,simple,9606,Homo sapiens,GSM1115085,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.4h.rna,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 4h",GSM1115085
SRR810098,43905961,4478408022,51,2914,SRX260243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408265,SAMN01999140,simple,9606,Homo sapiens,GSM1115086,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.6h.rna,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 6h",GSM1115086
SRR810099,42308685,4315485870,51,2824,SRX260244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408266,SAMN01999141,simple,9606,Homo sapiens,GSM1115087,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.19h.rna,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 19h",GSM1115087
SRR810100,166137136,8472993936,51,5634,SRX260245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408267,SAMN01999142,simple,9606,Homo sapiens,GSM1115204,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,C.rp,Immortalized primary fibroblasts,BJ cells,Control sample,GSM1115204
SRR810101,169352799,8636992749,51,5693,SRX260246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408268,SAMN01999143,simple,9606,Homo sapiens,GSM1115207,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.2h.rp,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 2h",GSM1115207
SRR810102,175029118,8926485018,51,6034,SRX260247,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408269,SAMN01999144,simple,9606,Homo sapiens,GSM1115210,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.4h.rp,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 4h",GSM1115210
SRR810103,127701204,6512761404,51,4157,SRX260248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408270,SAMN01999145,simple,9606,Homo sapiens,GSM1115213,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.6h.rp,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 6h",GSM1115213
SRR810104,120936988,6167786388,51,3989,SRX260249,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020544,PRJNA196335,23594524,"",SRS408271,SAMN01999146,simple,9606,Homo sapiens,GSM1115216,GEO,SRA072609,06,2013,Loayza-Puch,Immortalized primary fibroblasts,Nutlin.19h.rp,Immortalized primary fibroblasts,BJ cells,"Nutlin-3a, 19h",GSM1115216
