Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,nuclease,GEO Accession
SRR5719996,162013026,7614612222,47,2954,SRX2937075,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298865,SAMN07258470,simple,9606,Homo sapiens,GSM2676351,GEO,SRA577294,06,2017,Solomon,S1_control_PARSseq,S1_control_replicate1,S1_control_PARSseq,HepG2,scrambled,S1,GSM2676351
SRR5719997,200027398,9401287706,47,3667,SRX2937077,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298866,SAMN07258469,simple,9606,Homo sapiens,GSM2676352,GEO,SRA577294,06,2017,Solomon,S1_KD_PARSseq,S1_ADAR_KD_replicate1,S1_KD_PARSseq,HepG2,siADAR1,S1,GSM2676352
SRR5719998,177321816,8334125352,47,3245,SRX2937078,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298868,SAMN07258468,simple,9606,Homo sapiens,GSM2676353,GEO,SRA577294,06,2017,Solomon,S1_control_PARSseq,S1_control_replicate2,S1_control_PARSseq,HepG2,scrambled,S1,GSM2676353
SRR5719999,144927534,6811594098,47,2663,SRX2937079,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298867,SAMN07258467,simple,9606,Homo sapiens,GSM2676354,GEO,SRA577294,06,2017,Solomon,S1_KD_PARSseq,S1_ADAR_KD_replicate2,S1_KD_PARSseq,HepG2,siADAR1,S1,GSM2676354
SRR5720000,161370627,7584419469,47,2983,SRX2937080,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298869,SAMN07258466,simple,9606,Homo sapiens,GSM2676355,GEO,SRA577294,06,2017,Solomon,V1_control_PARSseq,V1_control_replicate1,V1_control_PARSseq,HepG2,scrambled,RNase V1,GSM2676355
SRR5720001,308546034,14501663598,47,5754,SRX2937081,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298870,SAMN07258465,simple,9606,Homo sapiens,GSM2676356,GEO,SRA577294,06,2017,Solomon,V1_KD_PARSseq,V1_ADAR_KD_replicate1,V1_KD_PARSseq,HepG2,siADAR1,RNase V1,GSM2676356
SRR5720002,181532970,8532049590,47,3384,SRX2937082,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298871,SAMN07258464,simple,9606,Homo sapiens,GSM2676357,GEO,SRA577294,06,2017,Solomon,V1_control_PARSseq,V1_control_replicate2,V1_control_PARSseq,HepG2,scrambled,RNase V1,GSM2676357
SRR5720003,188882153,8877461191,47,3510,SRX2937083,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298872,SAMN07258463,simple,9606,Homo sapiens,GSM2676358,GEO,SRA577294,06,2017,Solomon,V1_KD_PARSseq,V1_ADAR_KD_replicate2,V1_KD_PARSseq,HepG2,siADAR1,RNase V1,GSM2676358
SRR5720004,61760569,9264085350,50,3818,SRX2937084,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298873,SAMN07258462,simple,9606,Homo sapiens,GSM2676359,GEO,SRA577294,06,2017,Solomon,control_RNAseq,control_RNAseq,control_RNAseq,HepG2,scrambled,,GSM2676359
SRR5720005,49432802,7414920300,50,3025,SRX2937085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298874,SAMN07258461,simple,9606,Homo sapiens,GSM2676360,GEO,SRA577294,06,2017,Solomon,KD_RNAseq,ADAR_KD_RNAseq,KD_RNAseq,HepG2,siADAR1,,GSM2676360
SRR5720006,18410068,2761510200,,1178,SRX2937086,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298875,SAMN07258460,simple,9606,Homo sapiens,GSM2676361,GEO,SRA577294,06,2017,Solomon,control_Riboseq,control_Riboseq_replicate1,control_Riboseq,HepG2,scrambled,,GSM2676361
SRR5720007,16210757,2431613550,50,1058,SRX2937087,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298876,SAMN07258459,simple,9606,Homo sapiens,GSM2676362,GEO,SRA577294,06,2017,Solomon,KD_Riboseq,ADAR_KD_Riboseq_replicate1,KD_Riboseq,HepG2,siADAR1,,GSM2676362
SRR5720008,29822088,1481280014,49,607,SRX2937088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298877,SAMN07258458,simple,9606,Homo sapiens,GSM2676363,GEO,SRA577294,06,2017,Solomon,control_Riboseq,control_Riboseq_replicate2,control_Riboseq,HepG2,scrambled,,GSM2676363
SRR5720009,35932206,1777360004,49,686,SRX2937089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109827,PRJNA391171,29129909,"",SRS2298879,SAMN07258457,simple,9606,Homo sapiens,GSM2676364,GEO,SRA577294,06,2017,Solomon,KD_Riboseq,ADAR_KD_Riboseq_replicate2,KD_Riboseq,HepG2,siADAR1,,GSM2676364
