Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,GEO Accession
SRR6792605,40370368,2018518400,50,1220,SRX3751783,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007992,SAMN08623617,simple,4932,Saccharomyces cerevisiae,GSM3027234,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_dbp1Δ replicate 1_37 deg,Whole cells,GSM3027234
SRR6792606,38018060,1900903000,50,1133,SRX3751784,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007993,SAMN08623616,simple,4932,Saccharomyces cerevisiae,GSM3027235,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_dbp1Δ replicate 2_37 deg,Whole cells,GSM3027235
SRR6792607,37738177,1886908850,50,1122,SRX3751785,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007994,SAMN08623615,simple,4932,Saccharomyces cerevisiae,GSM3027236,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1tsdbp1Δ replicate 1_37 deg,Whole cells,GSM3027236
SRR6792608,37267357,1863367850,50,1106,SRX3751786,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007995,SAMN08623614,simple,4932,Saccharomyces cerevisiae,GSM3027237,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_ded1tsdbp1Δ replicate 2_37 deg,Whole cells,GSM3027237
SRR6792609,27062178,1353108900,50,866,SRX3751787,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007996,SAMN08623613,simple,4932,Saccharomyces cerevisiae,GSM3027238,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_dbp1Δ replicate 1_37 deg,Whole cells,GSM3027238
SRR6792610,20830348,1041517400,50,660,SRX3751788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007997,SAMN08623639,simple,4932,Saccharomyces cerevisiae,GSM3027239,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_dbp1Δ replicate 2_37 deg,Whole cells,GSM3027239
SRR6792611,28005539,1400276950,50,901,SRX3751789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007998,SAMN08623638,simple,4932,Saccharomyces cerevisiae,GSM3027240,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-tsdbp1Δ replicate 1_37 deg,Whole cells,GSM3027240
SRR6792612,25571273,1278563650,50,815,SRX3751790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008000,SAMN08623637,simple,4932,Saccharomyces cerevisiae,GSM3027241,GEO,SRA662945,03,2018,Sen,Whole cells,mRNA_ded1-tsdbp1Δ replicate 2_37 deg,Whole cells,GSM3027241
SRR6792613,141368437,7068421850,50,2002,SRX3751791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3007999,SAMN08623636,simple,4932,Saccharomyces cerevisiae,GSM3027242,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_DED1-CS_ replicate 1_15 deg,Whole cells,GSM3027242
SRR6792614,157146296,7857314800,50,2257,SRX3751792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP133670,PRJNA436358,31299079,"",SRS3008001,SAMN08623633,simple,4932,Saccharomyces cerevisiae,GSM3027243,GEO,SRA662945,03,2018,Sen,Whole cells,ribo_DED1-CS_ replicate 2_15 deg,Whole cells,GSM3027243
