Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,geo_loc_name,collection_date
SRR25548687,5508016,354473072,64,132,SRX21277916,GSM7688373,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529354,SAMN36871415,simple,9606,Homo sapiens,GSM7688373,Harbin medical university,SRA1688353,08,2023,Makar,colon,841CON_INPUT-1,colon,colon,841-CON,normal colon epithelium cell,WT,missing,missing
SRR25548686,19823813,1495526603,75,443,SRX21277917,GSM7688374,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529355,SAMN36871414,simple,9606,Homo sapiens,GSM7688374,Harbin medical university,SRA1688353,08,2023,Makar,colon,841CON_INPUT-2,colon,colon,841-CON,normal colon epithelium cell,WT,missing,missing
SRR25548685,9080068,318064899,35,139,SRX21277918,GSM7688375,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529356,SAMN36871413,simple,9606,Homo sapiens,GSM7688375,Harbin medical university,SRA1688353,08,2023,Makar,colon,841CON_RPF-1,colon,colon,841-CON,normal colon epithelium cell,WT,missing,missing
SRR25548684,4050379,141933624,35,64,SRX21277919,GSM7688376,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529357,SAMN36871412,simple,9606,Homo sapiens,GSM7688376,Harbin medical university,SRA1688353,08,2023,Makar,colon,841CON_RPF-2,colon,colon,841-CON,normal colon epithelium cell,WT,missing,missing
SRR25548682,7448012,462973438,62,198,SRX21277920,GSM7688377,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529358,SAMN36871411,simple,9606,Homo sapiens,GSM7688377,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT116_INPUT-1,colon,colon,HCT116,colon cancer cell,WT,missing,missing
SRR25548681,8911103,617377571,69,180,SRX21277921,GSM7688378,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529359,SAMN36871410,simple,9606,Homo sapiens,GSM7688378,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT116_INPUT-2,colon,colon,HCT116,colon cancer cell,WT,missing,missing
SRR25548680,12642322,416910188,32,221,SRX21277922,GSM7688379,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529360,SAMN36871409,simple,9606,Homo sapiens,GSM7688379,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT116_RPF-1,colon,colon,HCT116,colon cancer cell,WT,missing,missing
SRR25548683,12663196,416383409,32,215,SRX21277923,GSM7688380,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529361,SAMN36871408,simple,9606,Homo sapiens,GSM7688380,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT116_RPF-2,colon,colon,HCT116,colon cancer cell,WT,missing,missing
SRR25548679,11234319,871627765,77,212,SRX21277924,GSM7688381,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529362,SAMN36871407,simple,9606,Homo sapiens,GSM7688381,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15_INPUT-1,colon,colon,HCT15,colon cancer cell,WT,missing,missing
SRR25548678,5153227,356242494,69,107,SRX21277925,GSM7688382,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP453707,PRJNA1002994,1,"",SRS18529363,SAMN36871406,simple,9606,Homo sapiens,GSM7688382,Harbin medical university,SRA1688353,08,2023,Makar,colon,HCT15_INPUT-2,colon,colon,HCT15,colon cancer cell,WT,missing,missing
