Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,GEO Accession
SRR16295482,36007099,10802129700,150,3274,SRX12574437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530927,SAMN22223617,simple,9606,Homo sapiens,GSM5621689,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_ctrl_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621689
SRR16295483,19118722,5735616600,150,1708,SRX12574437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530927,SAMN22223617,simple,9606,Homo sapiens,GSM5621689,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_ctrl_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621690
SRR16295484,62592390,18777717000,150,5416,SRX12574438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530928,SAMN22223618,simple,9606,Homo sapiens,GSM5621690,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC_ctrl_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621691
SRR16295485,31632088,9489626400,150,2902,SRX12574439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530929,SAMN22223619,simple,9606,Homo sapiens,GSM5621691,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg1_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621692
SRR16295486,22244455,6673336500,150,2000,SRX12574439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530929,SAMN22223619,simple,9606,Homo sapiens,GSM5621691,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg1_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621693
SRR16295487,63967705,19190311500,150,5573,SRX12574440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530930,SAMN22223620,simple,9606,Homo sapiens,GSM5621692,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg1_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621694
SRR16295488,9916154,2974846200,150,884,SRX12574441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530931,SAMN22223621,simple,9606,Homo sapiens,GSM5621693,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg4_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621695
SRR16295489,39285995,11785798500,150,3409,SRX12574441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530931,SAMN22223621,simple,9606,Homo sapiens,GSM5621693,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg4_rep1,glioma stem cells,patient-derived glioma stem cell,,GSM5621696
SRR16295490,41791151,12537345300,150,3781,SRX12574442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530932,SAMN22223622,simple,9606,Homo sapiens,GSM5621694,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg4_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621697
SRR16295491,11078078,3323423400,150,986,SRX12574442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340943,PRJNA770523,1,"",SRS10530932,SAMN22223622,simple,9606,Homo sapiens,GSM5621694,GEO,SRA1309435,09,2023,Makar,glioma stem cells,3565_GSC__FBL_sg4_rep2,glioma stem cells,patient-derived glioma stem cell,,GSM5621698
