Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,cell_type,culture_collection,disease,treatment,replicate,extraction,BioSampleModel
SRR13781505,43943630,4394363000,100,1257,SRX10166978,mRNA_01,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317484,SAMN18055025,simple,9606,Homo sapiens,mRNA_01_uninfected_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,uninfected_24hr,1,total RNA,Human
SRR13781504,36038803,3603880300,100,1034,SRX10166979,mRNA_02,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317485,SAMN18055026,simple,9606,Homo sapiens,mRNA_02_uninfected_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,uninfected_24hr,2,total RNA,Human
SRR13781503,77230095,7723009500,100,2413,SRX10166980,sRNA_02,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317486,SAMN18055035,simple,9606,Homo sapiens,sRNA_02_uninfected_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,uninfected_24hr,2,ribosome protected,Human
SRR13781502,77440018,7744001800,100,2394,SRX10166981,sRNA_03,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317487,SAMN18055036,simple,9606,Homo sapiens,sRNA_03_uninfected_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,uninfected_24hr,3,ribosome protected,Human
SRR13781501,46900775,4690077500,100,1524,SRX10166982,sRNA_04,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317488,SAMN18055037,simple,9606,Homo sapiens,sRNA_04_SARSCOV2_6hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,SARSCOV2_6hr,1,ribosome protected,Human
SRR13781500,42891311,4289131100,100,1424,SRX10166983,sRNA_05,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317489,SAMN18055038,simple,9606,Homo sapiens,sRNA_05_SARSCOV2_6hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,SARSCOV2_6hr,2,ribosome protected,Human
SRR13781499,123883739,12388373900,100,3761,SRX10166984,sRNA_06,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317490,SAMN18055039,simple,9606,Homo sapiens,sRNA_06_SARSCOV2_6hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,SARSCOV2_6hr,3,ribosome protected,Human
SRR13781498,76540367,7654036700,100,2408,SRX10166985,sRNA_07,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317491,SAMN18055040,simple,9606,Homo sapiens,sRNA_07_SARSCOV2_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,SARSCOV2_24hr,1,ribosome protected,Human
SRR13781497,95175564,9517556400,100,2922,SRX10166986,sRNA_08,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317492,SAMN18055041,simple,9606,Homo sapiens,sRNA_08_SARSCOV2_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,SARSCOV2_24hr,2,ribosome protected,Human
SRR13781496,88379175,8837917500,100,2691,SRX10166987,sRNA_09,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP308047,PRJNA704763,1,"",SRS8317493,SAMN18055042,simple,9606,Homo sapiens,sRNA_09_SARSCOV2_24hr,CSIRO,SRA1199975,11,2021,Makar,"","",lung adenocarcinoma,25 years,ATCC HTB-55,male,lung,Calu3,epithelial,ATCC:HTB-55,lung adenocarcinoma,SARSCOV2_24hr,3,ribosome protected,Human
