Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,drug treatment,rrna depletion,GEO Accession
SRR4045263,110322605,5516130250,50,3572,SRX2036156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630025,SAMN05597748,simple,9606,Homo sapiens,GSM2285896,GEO,SRA453680,09,2016,Mills,platelet,Primary_PLT_Ribo_Rest,platelet,primary cell type,vehicle,RiboZero-Gold rRNA depletion,GSM2285896
SRR4045264,48736545,2436827250,50,1574,SRX2036157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630026,SAMN05597747,simple,9606,Homo sapiens,GSM2285897,GEO,SRA453680,09,2016,Mills,platelet,Primary_PLT_Ribo_Thr1,platelet,primary cell type,0.01U/ml thrombin for 60 min at 37C - replicate 1,RiboZero-Gold rRNA depletion,GSM2285897
SRR4045265,61586060,3079303000,50,1998,SRX2036158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630027,SAMN05597746,simple,9606,Homo sapiens,GSM2285898,GEO,SRA453680,09,2016,Mills,platelet,Primary_PLT_Ribo_Thr2,platelet,primary cell type,0.01U/ml thrombin for 60 min at 37C - replicate 2,RiboZero-Gold rRNA depletion,GSM2285898
SRR4045266,30473759,1523687950,50,700,SRX2036159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630028,SAMN05597745,simple,9606,Homo sapiens,GSM2285899,GEO,SRA453680,09,2016,Mills,reticulocyte,Retic_Ribo_Gold_rep1,reticulocyte,primary cell type,,RiboZero-Gold rRNA depletion,GSM2285899
SRR4045267,24401934,1220096700,50,560,SRX2036160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630029,SAMN05597744,simple,9606,Homo sapiens,GSM2285900,GEO,SRA453680,09,2016,Mills,reticulocyte,Retic_Ribo_Gold_rep2,reticulocyte,primary cell type,,RiboZero-Gold rRNA depletion,GSM2285900
SRR4045268,28417834,1420891700,50,650,SRX2036161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630030,SAMN05597743,simple,9606,Homo sapiens,GSM2285901,GEO,SRA453680,09,2016,Mills,reticulocyte,Retic_Ribo_Globin_rep1,reticulocyte,primary cell type,,Globin RNA depletion,GSM2285901
SRR4045269,33293679,1664683950,50,766,SRX2036162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630031,SAMN05597742,simple,9606,Homo sapiens,GSM2285902,GEO,SRA453680,09,2016,Mills,reticulocyte,Retic_Ribo_Globin_rep2,reticulocyte,primary cell type,,Globin RNA depletion,GSM2285902
SRR4045270,38866550,1982194050,51,1184,SRX2036163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630032,SAMN05597741,simple,9606,Homo sapiens,GSM2285903,GEO,SRA453680,09,2016,Mills,K562 cells,flowcell276_lane3_pair1_ACGACT.fastq.tar.gz,K562 cells,cell line,untreated - 0 days - replicate 1,RiboZero-Gold rRNA depletion,GSM2285903
SRR4045271,29619421,1510590471,51,919,SRX2036164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630033,SAMN05597740,simple,9606,Homo sapiens,GSM2285904,GEO,SRA453680,09,2016,Mills,K562 cells,flowcell276_lane3_pair1_ATCAGT.fastq.tar.gz,K562 cells,cell line,untreated - 0 days - replicate 2,RiboZero-Gold rRNA depletion,GSM2285904
SRR4045272,27114297,1382829147,51,837,SRX2036165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630034,SAMN05597739,simple,9606,Homo sapiens,GSM2285905,GEO,SRA453680,09,2016,Mills,K562 cells,flowcell276_lane3_pair1_CAGCAT.fastq.tar.gz,K562 cells,cell line,50 micromolar hemin - replicate 1,RiboZero-Gold rRNA depletion,GSM2285905
SRR4045273,22581683,1151665833,51,696,SRX2036166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630035,SAMN05597749,simple,9606,Homo sapiens,GSM2285906,GEO,SRA453680,09,2016,Mills,K562 cells,flowcell276_lane3_pair1_CGACGT.fastq.tar.gz,K562 cells,cell line,50 micromolar hemin - replicate 2,RiboZero-Gold rRNA depletion,GSM2285906
SRR4045274,29478595,1503408345,51,957,SRX2036167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630036,SAMN05597750,simple,9606,Homo sapiens,GSM2285907,GEO,SRA453680,09,2016,Mills,K562 cells,flowcell276_lane3_pair1_GCAGCT.fastq.tar.gz,K562 cells,cell line,50 micromolar hemin - replicate 1,RiboZero-Gold rRNA depletion,GSM2285907
SRR4045275,26066426,1329387726,51,840,SRX2036168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630037,SAMN05597738,simple,9606,Homo sapiens,GSM2285908,GEO,SRA453680,09,2016,Mills,K562 cells,flowcell276_lane3_pair1_TACGAT.fastq.tar.gz,K562 cells,cell line,50 micromolar hemin - replicate 2,RiboZero-Gold rRNA depletion,GSM2285908
SRR4045276,66083789,3304189450,50,2053,SRX2036169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630038,SAMN05597737,simple,9606,Homo sapiens,GSM2285909,GEO,SRA453680,09,2016,Mills,Meg01 cells,Meg01_Ribo,Meg01 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285909
SRR4045277,80489523,4024476150,50,2561,SRX2036170,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630039,SAMN05597768,simple,9606,Homo sapiens,GSM2285910,GEO,SRA453680,09,2016,Mills,Meg01 cells,PLP_Ribo,Meg01 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285910
SRR4045278,28296200,1414810000,50,886,SRX2036171,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630040,SAMN05597767,simple,9606,Homo sapiens,GSM2285911,GEO,SRA453680,09,2016,Mills,Meg01 cells,PLP_highsalt_Ribo,Meg01 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285911
SRR4045279,18469910,497486134,26,233,SRX2036172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630041,SAMN05597766,simple,9606,Homo sapiens,GSM2285912,GEO,SRA453680,09,2016,Mills,K562 cells,K562_GFP_shABCE1,K562 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285912
SRR4045280,27466130,738195026,26,360,SRX2036173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630042,SAMN05597765,simple,9606,Homo sapiens,GSM2285913,GEO,SRA453680,09,2016,Mills,K562 cells,K562_PH_shABCE1,K562 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285913
SRR4045281,10661522,292937238,27,141,SRX2036174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630043,SAMN05597764,simple,9606,Homo sapiens,GSM2285914,GEO,SRA453680,09,2016,Mills,K562 cells,K562_GFP_shCtrl,K562 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285914
SRR4045282,22136655,611699576,27,295,SRX2036175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630044,SAMN05597763,simple,9606,Homo sapiens,GSM2285915,GEO,SRA453680,09,2016,Mills,K562 cells,K562_PH_shCtrl,K562 cells,cell line,,RiboZero-Gold rRNA depletion,GSM2285915
SRR4045283,107866178,5393308900,50,2881,SRX2036176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630045,SAMN05597762,simple,9606,Homo sapiens,GSM2285916,GEO,SRA453680,09,2016,Mills,K562 cells,K562_GFP_0d,K562 cells,cell line,untreated - 0 days,RiboZero-Gold rRNA depletion,GSM2285916
SRR4045284,43712153,1194830082,27,851,SRX2036177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630046,SAMN05597761,simple,9606,Homo sapiens,GSM2285917,GEO,SRA453680,09,2016,Mills,K562 cells,K562_GFP_2d,K562 cells,cell line,50 micromolar hemin - 2 days,RiboZero-Gold rRNA depletion,GSM2285917
SRR4045285,37723150,1031637332,27,733,SRX2036178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630047,SAMN05597760,simple,9606,Homo sapiens,GSM2285918,GEO,SRA453680,09,2016,Mills,K562 cells,K562_GFP_4d,K562 cells,cell line,50 micromolar hemin - 4 days,RiboZero-Gold rRNA depletion,GSM2285918
SRR4045286,122186753,2654094400,21,1509,SRX2036179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630048,SAMN05597759,simple,9606,Homo sapiens,GSM2285919,GEO,SRA453680,09,2016,Mills,K562 cells,K562_GFP_6d,K562 cells,cell line,50 micromolar hemin - 6 days,RiboZero-Gold rRNA depletion,GSM2285919
SRR4045287,111510701,5575535050,50,2983,SRX2036180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630049,SAMN05597758,simple,9606,Homo sapiens,GSM2285920,GEO,SRA453680,09,2016,Mills,K562 cells,K562_PH_0d,K562 cells,cell line,untreated - 0 days,RiboZero-Gold rRNA depletion,GSM2285920
SRR4045288,21735707,592042059,27,422,SRX2036181,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP082436,PRJNA339577,27681415,"",SRS1630050,SAMN05597756,simple,9606,Homo sapiens,GSM2285921,GEO,SRA453680,09,2016,Mills,K562 cells,K562_PH_2d,K562 cells,cell line,50 micromolar hemin - 2 days,RiboZero-Gold rRNA depletion,GSM2285921
