Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment
SRR19178808,58942220,5894222000,100,1827,SRX15244120,GSM6135049,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977048,SAMN28207090,simple,9606,Homo sapiens,GSM6135049,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shPKM Rep1, ribo-seq",kidney,kidney,HEK293T,embryonic kidney cells,PKM depletion,shPKM-treated
SRR19178809,55528582,5552858200,100,1707,SRX15244121,GSM6135050,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977049,SAMN28207089,simple,9606,Homo sapiens,GSM6135050,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shPKM Rep2, ribo-seq",kidney,kidney,HEK293T,embryonic kidney cells,PKM depletion,shPKM-treated
SRR19178810,52529501,5252950100,100,1612,SRX15244122,GSM6135051,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977050,SAMN28207088,simple,9606,Homo sapiens,GSM6135051,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shPKM Rep3, ribo-seq",kidney,kidney,HEK293T,embryonic kidney cells,PKM depletion,shPKM-treated
SRR19178811,52126337,5212633700,100,1543,SRX15244123,GSM6135052,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977051,SAMN28207087,simple,9606,Homo sapiens,GSM6135052,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shPKM B, RNA-seq",kidney,kidney,HEK293T,embryonic kidney cells,PKM depletion,shPKM-treated
SRR19178812,41745631,4174563100,100,1242,SRX15244124,GSM6135053,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977052,SAMN28207086,simple,9606,Homo sapiens,GSM6135053,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shPKM C, RNA-seq",kidney,kidney,HEK293T,embryonic kidney cells,PKM depletion,shPKM-treated
SRR19178813,68626851,6862685100,100,2105,SRX15244125,GSM6135054,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977053,SAMN28207085,simple,9606,Homo sapiens,GSM6135054,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shCtrl Rep1, ribo-seq",kidney,kidney,HEK293T,embryonic kidney cells,WT,shCtrl-treated
SRR19178814,69220705,6922070500,100,2129,SRX15244126,GSM6135055,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977054,SAMN28207084,simple,9606,Homo sapiens,GSM6135055,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shCtrl Rep2, ribo-seq",kidney,kidney,HEK293T,embryonic kidney cells,WT,shCtrl-treated
SRR19178815,62200620,6220062000,100,1914,SRX15244127,GSM6135056,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977055,SAMN28207083,simple,9606,Homo sapiens,GSM6135056,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shCtrl Rep3, ribo-seq",kidney,kidney,HEK293T,embryonic kidney cells,WT,shCtrl-treated
SRR19178816,52390674,5239067400,100,1562,SRX15244128,GSM6135057,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977056,SAMN28207082,simple,9606,Homo sapiens,GSM6135057,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shCtrl A, RNA-seq",kidney,kidney,HEK293T,embryonic kidney cells,WT,shCtrl-treated
SRR19178817,41221566,4122156600,100,1221,SRX15244129,GSM6135058,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP374956,PRJNA837585,1,"",SRS12977057,SAMN28207081,simple,9606,Homo sapiens,GSM6135058,"Palazzo Lab, Biochemistry, University of Toronto",SRA1419466,05,2022,Makar,kidney,"HEK293T Cells, shCtrl C, RNA-seq",kidney,kidney,HEK293T,embryonic kidney cells,WT,shCtrl-treated
