Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,dev_stage,sex,tissue,cell_line,treatment,replicate,BioSampleModel
SRR12999001,36565881,10969764300,150,3847,SRX9450401,CT1CHX_totRNA,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663369,SAMN16686860,simple,7177,Culex tarsalis,CT1CHX,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,CHX,biological replicate 1,Model organism or animal
SRR12999000,36337453,10901235900,150,3825,SRX9450402,CT2nodrug_totRNA,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663368,SAMN16686861,simple,7177,Culex tarsalis,CT2nodrug,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,nodrug,biological replicate 2,Model organism or animal
SRR12998999,38864171,11659251300,150,4105,SRX9450403,CT2CHX_totRNA,RNA-Seq,RANDOM,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663370,SAMN16686862,simple,7177,Culex tarsalis,CT2CHX,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,CHX,biological replicate 2,Model organism or animal
SRR12998998,1607490,482247000,150,170,SRX9450404,CT_cDNAlig-543,OTHER,other,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663371,SAMN16686858,simple,7177,Culex tarsalis,CT-parental,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,none,,Model organism or animal
SRR12998997,1606592,481977600,150,172,SRX9450405,CT_cDNAlig-544,OTHER,other,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663371,SAMN16686858,simple,7177,Culex tarsalis,CT-parental,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,none,,Model organism or animal
SRR12998996,1064753,319425900,150,112,SRX9450406,CT_RNAlig-542,OTHER,other,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663371,SAMN16686858,simple,7177,Culex tarsalis,CT-parental,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,none,,Model organism or animal
SRR12998995,1921470,576441000,150,197,SRX9450407,CT_RNAlig-543,OTHER,other,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663371,SAMN16686858,simple,7177,Culex tarsalis,CT-parental,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,none,,Model organism or animal
SRR12998994,1583573,475071900,150,174,SRX9450408,CT_RNAlig-545,OTHER,other,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP291418,PRJNA675022,1,"",SRS7663371,SAMN16686858,simple,7177,Culex tarsalis,CT-parental,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,none,,Model organism or animal
SRR12998993,28175991,1103995119,39,426,SRX9450409,CT1nodrug_ribo,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP291418,PRJNA675022,1,"",SRS7663372,SAMN16686859,simple,7177,Culex tarsalis,CT1nodrug,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,nodrug,biological replicate 1,Model organism or animal
SRR12998992,164870578,6767333731,41,2646,SRX9450410,CT1CHX_ribo,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP291418,PRJNA675022,1,"",SRS7663369,SAMN16686860,simple,7177,Culex tarsalis,CT1CHX,"University of California, San Francisco",SRA1155134,03,2021,Makar,"","",CT cell line,embryonic,not determined,not applicable,CT,CHX,biological replicate 1,Model organism or animal
