Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,developmental stage,sex,tissue,genotype,BioSampleModel,dev_stage
SRR11174246,6509866,989499632,76,365,SRX7795315,TEJA04,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210706,SAMN14165849,simple,6239,Caenorhabditis elegans,unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(cc4092),WJA0438,Young adult,hermaphrodite,Whole body,unc-54(cc4092),Model organism or animal,
SRR11174245,22630444,3439827488,76,1288,SRX7795316,TEJA05,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210706,SAMN14165849,simple,6239,Caenorhabditis elegans,unc-54(cc4092),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(cc4092),WJA0438,Young adult,hermaphrodite,Whole body,unc-54(cc4092),Model organism or animal,
SRR11174244,828194,125885488,76,49,SRX7795317,TEJA11,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210707,SAMN14165854,simple,6239,Caenorhabditis elegans,nonu-1(srf0780) unc-54(srf0788),UC Santa Cruz,SRA1047379,02,2020,Makar,"",nonu-1(srf0780) unc-54(srf0788),WJA0789,Young adult,hermaphrodite,Whole body,nonu-1(srf0780) unc-54(srf0788),Model organism or animal,
SRR11174243,893562,135821424,76,53,SRX7795318,TEJA12,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP201630,PRJNA548154,1,"",SRS6210708,SAMN14165855,simple,6239,Caenorhabditis elegans,skih-2(cc2854) unc-54(srf0788),UC Santa Cruz,SRA1047379,02,2020,Makar,"",skih-2(cc2854) unc-54(srf0788),WJA0790,Young adult,hermaphrodite,Whole body,skih-2(cc2854) unc-54(srf0788),Model organism or animal,
SRR11174242,10868839,554310789,51,202,SRX7795319,SMLG3,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210709,SAMN14165856,simple,6239,Caenorhabditis elegans,WJA0675 WGS,UC Santa Cruz,SRA1047379,02,2020,Makar,"",WJA0675 WGS,WJA0675,Asynchronous,hermaphrodite,Whole body,unc-54(cc4092) nonu-1(srf0675),Model organism or animal,
SRR11174241,13314015,679014765,51,249,SRX7795320,SMLG4,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210710,SAMN14165857,simple,6239,Caenorhabditis elegans,WJA0641 WGS,UC Santa Cruz,SRA1047379,02,2020,Makar,"",WJA0641 WGS,WJA0641,Asynchronous,hermaphrodite,Whole body,unc-54(cc4093) nonu-1 (srf0641),Model organism or animal,
SRR11174240,5023136,256179936,51,67,SRX7795321,JA275,RNA-Seq,RACE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210711,SAMN14165858,simple,6239,Caenorhabditis elegans,"unc-54(srf0788), unc-54(srf0788) nonu-1(srf0791), unc-54(srf0788) nonu-1(srf0802)",UC Santa Cruz,SRA1047379,02,2020,Makar,"","unc-54(srf0788), unc-54(srf0788) nonu-1(srf0791), unc-54(srf0788) nonu-1(srf0802)","WJA0788, WJA0791, WJA0802",Asynchronous,hermaphrodite,Whole body,"unc-54(srf0788), unc-54(srf0788) nonu-1(srf0791), unc-54(srf0788) nonu-1(srf0802)",Model organism or animal,
SRR11174239,2241,114291,51,0,SRX7795322,SJA242,RNA-Seq,RACE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210712,SAMN14165865,simple,6239,Caenorhabditis elegans,unc-54(srf0788)  pelo-1(cc2849) skih-2(cc2854),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788)  pelo-1(cc2849) skih-2(cc2854),WJA1002,,hermaphrodite,Whole body,unc-54(srf0788) pelo-1(cc2849) skih-2(cc2854),Model organism or animal,Asynchronous
SRR11174238,42056757,2144894607,51,681,SRX7795323,SJA243,RNA-Seq,RACE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210713,SAMN14165860,simple,6239,Caenorhabditis elegans,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),WJA0815,Asynchronous,hermaphrodite,Whole body,unc-54(srf0788) nonu-1(srf2138) pelo-1(cc2849) skih-2(cc2854),Model organism or animal,
SRR11174237,66037132,3367893732,51,1053,SRX7795324,SJA244,RNA-Seq,RACE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP201630,PRJNA548154,1,"",SRS6210714,SAMN14165859,simple,6239,Caenorhabditis elegans,unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849),UC Santa Cruz,SRA1047379,02,2020,Makar,"",unc-54(cc4092) skih-2(cc2854) pelo-1(cc2849),WJA0579,Asynchronous,hermaphrodite,Whole body,unc-54(cc4092) skih-2(cc2854) pelo-1 (cc2849),Model organism or animal,
