Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,age,stimulation,ribosome inhibitor treatment,rrna subtraction strategy,strain,GEO Accession
SRR2724708,997801214,50887861914,51,31864,SRX1354278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120862,SAMN04194188,simple,10090,Mus musculus,GSM1911093,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, harringtonine-treated, LPS stimulated",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,"Mix of 0, 2, 4, 6, and 9 h LPS","1 ug/mL harringtonine, 5 min",Subtractive hybridization,C57BL/6J,GSM1911093
SRR2724709,369186400,18828506400,51,11822,SRX1354279,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120861,SAMN04194189,simple,10090,Mus musculus,GSM1911094,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, lactimidomycin-treated, LPS stimulated",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,"Mix of 0, 1, 2, 4, 6, 8, 9, and 12 h LPS","50 ug/mL lactimidomycin, 30 min",RiboZero,C57BL/6J,GSM1911094
SRR2724710,65048484,3317472684,51,2193,SRX1354280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120860,SAMN04194190,simple,10090,Mus musculus,GSM1911095,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, naïve",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,None,None,RiboZero,C57BL/6J,GSM1911095
SRR2724711,57145331,2914411881,51,1905,SRX1354281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120858,SAMN04194191,simple,10090,Mus musculus,GSM1911096,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 0.5 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,0.5 h LPS,None,RiboZero,C57BL/6J,GSM1911096
SRR2724712,67012122,3417618222,51,2243,SRX1354282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120859,SAMN04194192,simple,10090,Mus musculus,GSM1911097,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 1 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,1 h LPS,None,RiboZero,C57BL/6J,GSM1911097
SRR2724713,56507955,2881905705,51,1880,SRX1354283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120857,SAMN04194193,simple,10090,Mus musculus,GSM1911098,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 2 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,2 h LPS,None,RiboZero,C57BL/6J,GSM1911098
SRR2724714,56952517,2904578367,51,1902,SRX1354284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120856,SAMN04194194,simple,10090,Mus musculus,GSM1911099,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 4 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,4 h LPS,None,RiboZero,C57BL/6J,GSM1911099
SRR2724715,54616280,2785430280,51,1820,SRX1354285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120855,SAMN04194195,simple,10090,Mus musculus,GSM1911100,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 6 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,6 h LPS,None,RiboZero,C57BL/6J,GSM1911100
SRR2724716,57170514,2915696214,51,1906,SRX1354286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120854,SAMN04194196,simple,10090,Mus musculus,GSM1911101,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 8 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,8 h LPS,None,RiboZero,C57BL/6J,GSM1911101
SRR2724717,54740127,2791746477,51,1833,SRX1354287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064972,PRJNA299160,26638175,"",SRS1120853,SAMN04194197,simple,10090,Mus musculus,GSM1911102,GEO,SRA305989,12,2015,Fields,Dendritic cells,"BMDC footprints, no drug treatment, 9 h LPS",Dendritic cells,Bone marrow-derived dendritic cells,6-8 weeks,9 h LPS,None,RiboZero,C57BL/6J,GSM1911102
